# Force coefficients
# liftDir     : (-2.588190e-01 9.659258e-01 0.000000e+00)
# dragDir     : (9.659258e-01 2.588190e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 5.148150e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e-02
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	6.039018e+00	1.048311e+01	2.688599e+01	1.948201e+01	7.403978e+00
2             	2.828415e+00	4.918637e+00	1.401734e+01	9.837087e+00	4.180258e+00
3             	-2.328248e+00	-3.730555e+00	-8.239783e+00	-6.448139e+00	-1.791644e+00
4             	-3.435840e+00	-6.430426e+00	-1.506269e+01	-1.096718e+01	-4.095504e+00
5             	-6.025643e-01	-2.175676e+00	-4.541952e+00	-2.873540e+00	-1.668412e+00
6             	1.966192e+00	2.941732e+00	7.403948e+00	5.668166e+00	1.735782e+00
7             	1.866161e+00	4.277032e+00	9.068572e+00	6.400447e+00	2.668125e+00
8             	-1.834561e-01	2.546699e+00	2.125608e+00	8.793481e-01	1.246260e+00
9             	-1.406526e+00	-1.140098e+00	-4.154433e+00	-3.483743e+00	-6.706902e-01
10            	-7.712551e-01	-3.354917e+00	-3.809192e+00	-2.675851e+00	-1.133341e+00
11            	5.135038e-01	-2.074174e+00	6.634112e-01	8.452094e-01	-1.817982e-01
12            	9.414341e-01	6.665125e-01	3.587466e+00	2.735167e+00	8.522990e-01
13            	3.610434e-01	1.795246e+00	2.724147e+00	1.723117e+00	1.001030e+00
14            	-3.876145e-01	1.015018e+00	1.600506e-01	-3.075892e-01	4.676398e-01
15            	-5.157338e-01	-4.490393e-01	-1.110892e+00	-1.071180e+00	-3.971229e-02
16            	-8.335118e-02	-1.243175e+00	-2.914227e-01	-2.290625e-01	-6.236015e-02
17            	3.554008e-01	-7.679517e-01	1.203922e+00	9.573620e-01	2.465604e-01
18            	3.703564e-01	4.115555e-01	1.749754e+00	1.245233e+00	5.045206e-01
19            	8.255972e-02	8.326784e-01	1.158001e+00	6.615601e-01	4.964407e-01
20            	-1.415314e-01	4.301362e-01	3.749438e-01	4.594051e-02	3.290033e-01
21            	-1.162124e-01	-1.124774e-01	2.073360e-01	-1.254440e-02	2.198804e-01
22            	5.852976e-02	-3.316816e-01	5.896537e-01	3.533566e-01	2.362971e-01
23            	1.531733e-01	-8.379420e-03	1.053487e+00	6.799168e-01	3.735702e-01
24            	1.130607e-01	3.461637e-01	1.078892e+00	6.525066e-01	4.263852e-01
25            	7.247762e-04	4.191988e-01	8.590785e-01	4.302640e-01	4.288145e-01
