# Force coefficient bins
# bins        : 31
# start       : 3.447870e-05
# delta       : 3.211437e-02
# direction   : (1.000000e+00 0.000000e+00 0.000000e+00)
# x co-ords  :	3.214885e-02	6.426322e-02	9.637760e-02	1.284920e-01	1.606063e-01	1.927207e-01	2.248351e-01	2.569495e-01	2.890638e-01	3.211782e-01	3.532926e-01	3.854070e-01	4.175213e-01	4.496357e-01	4.817501e-01	5.138644e-01	5.459788e-01	5.780932e-01	6.102076e-01	6.423219e-01	6.744363e-01	7.065507e-01	7.386651e-01	7.707794e-01	8.028938e-01	8.350082e-01	8.671226e-01	8.992369e-01	9.313513e-01	9.634657e-01	9.955800e-01
# y co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# z co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# Time        	Cm(0)         	Cd(0)         	Cl(0)         	Cm(1)         	Cd(1)         	Cl(1)         	Cm(2)         	Cd(2)         	Cl(2)         	Cm(3)         	Cd(3)         	Cl(3)         	Cm(4)         	Cd(4)         	Cl(4)         	Cm(5)         	Cd(5)         	Cl(5)         	Cm(6)         	Cd(6)         	Cl(6)         	Cm(7)         	Cd(7)         	Cl(7)         	Cm(8)         	Cd(8)         	Cl(8)         	Cm(9)         	Cd(9)         	Cl(9)         	Cm(10)        	Cd(10)        	Cl(10)        	Cm(11)        	Cd(11)        	Cl(11)        	Cm(12)        	Cd(12)        	Cl(12)        	Cm(13)        	Cd(13)        	Cl(13)        	Cm(14)        	Cd(14)        	Cl(14)        	Cm(15)        	Cd(15)        	Cl(15)        	Cm(16)        	Cd(16)        	Cl(16)        	Cm(17)        	Cd(17)        	Cl(17)        	Cm(18)        	Cd(18)        	Cl(18)        	Cm(19)        	Cd(19)        	Cl(19)        	Cm(20)        	Cd(20)        	Cl(20)        	Cm(21)        	Cd(21)        	Cl(21)        	Cm(22)        	Cd(22)        	Cl(22)        	Cm(23)        	Cd(23)        	Cl(23)        	Cm(24)        	Cd(24)        	Cl(24)        	Cm(25)        	Cd(25)        	Cl(25)        	Cm(26)        	Cd(26)        	Cl(26)        	Cm(27)        	Cd(27)        	Cl(27)        	Cm(28)        	Cd(28)        	Cl(28)        	Cm(29)        	Cd(29)        	Cl(29)        	Cm(30)        	Cd(30)        	Cl(30)        
1             	-1.983318e-01	2.031203e+00	3.910671e-01	-4.081962e-01	2.680857e+00	1.355173e+00	-5.967644e-01	3.177535e+00	2.432977e+00	-7.585469e-01	3.613201e+00	3.602317e+00	-8.749220e-01	3.978284e+00	4.721002e+00	-9.524900e-01	4.305030e+00	5.808147e+00	-9.858869e-01	4.534339e+00	6.605636e+00	-9.970400e-01	4.770068e+00	7.453014e+00	-9.671565e-01	5.104650e+00	8.689644e+00	-9.177324e-01	5.320941e+00	9.500171e+00	-8.456610e-01	5.534011e+00	1.030133e+01	-7.517255e-01	5.744890e+00	1.109342e+01	-5.715550e-01	6.058464e+00	1.226444e+01	-4.264763e-01	6.266182e+00	1.303323e+01	-1.736248e-01	6.576095e+00	1.416737e+01	1.706044e-02	6.781597e+00	1.490995e+01	3.337744e-01	7.087956e+00	1.600203e+01	5.638280e-01	7.290676e+00	1.671458e+01	9.344498e-01	7.591876e+00	1.775837e+01	1.196843e+00	7.790360e+00	1.843650e+01	1.610263e+00	8.083816e+00	1.942518e+01	2.043511e+00	8.371095e+00	2.037726e+01	2.491867e+00	8.650918e+00	2.128995e+01	2.950272e+00	8.921892e+00	2.216020e+01	3.413235e+00	9.182474e+00	2.298463e+01	3.874806e+00	9.430994e+00	2.375950e+01	4.328363e+00	9.665567e+00	2.448041e+01	4.766218e+00	9.883931e+00	2.514186e+01	5.309056e+00	1.014480e+01	2.591822e+01	5.668198e+00	1.031214e+01	2.640599e+01	6.039018e+00	1.048311e+01	2.688599e+01
2             	-7.928078e-02	7.378768e-01	1.757848e-01	-1.766552e-01	1.023797e+00	6.285365e-01	-2.774645e-01	1.268434e+00	1.211192e+00	-3.697441e-01	1.499677e+00	1.883178e+00	-4.375040e-01	1.701985e+00	2.537216e+00	-4.822370e-01	1.885240e+00	3.164789e+00	-5.012539e-01	2.014840e+00	3.620581e+00	-5.080388e-01	2.156348e+00	4.138937e+00	-4.900202e-01	2.356919e+00	4.887294e+00	-4.609363e-01	2.484260e+00	5.364249e+00	-4.193822e-01	2.607699e+00	5.825975e+00	-3.661971e-01	2.727876e+00	6.274179e+00	-2.662194e-01	2.902894e+00	6.923821e+00	-1.871041e-01	3.016418e+00	7.342941e+00	-5.140845e-02	3.182278e+00	7.951744e+00	4.942598e-02	3.289977e+00	8.344639e+00	2.145078e-01	3.447191e+00	8.914543e+00	3.327268e-01	3.549016e+00	9.281308e+00	5.204643e-01	3.697079e+00	9.811256e+00	6.514653e-01	3.792526e+00	1.015077e+01	8.548234e-01	3.930545e+00	1.063881e+01	1.064139e+00	4.062087e+00	1.110074e+01	1.276941e+00	4.186892e+00	1.153608e+01	1.490715e+00	4.304671e+00	1.194423e+01	1.702852e+00	4.415085e+00	1.232441e+01	1.910624e+00	4.517744e+00	1.267568e+01	2.111189e+00	4.612232e+00	1.299696e+01	2.301422e+00	4.698029e+00	1.328677e+01	2.532533e+00	4.797643e+00	1.362040e+01	2.681853e+00	4.859434e+00	1.382530e+01	2.828415e+00	4.918637e+00	1.401734e+01
3             	6.355789e-02	-9.282692e-01	-5.057105e-02	1.271696e-01	-1.176360e+00	-3.287690e-01	1.793211e-01	-1.345873e+00	-6.179705e-01	2.218325e-01	-1.481756e+00	-9.195288e-01	2.524035e-01	-1.589392e+00	-1.210649e+00	2.745902e-01	-1.687480e+00	-1.522479e+00	2.851602e-01	-1.759095e+00	-1.771300e+00	2.875118e-01	-1.811370e+00	-1.942498e+00	2.807815e-01	-1.889473e+00	-2.216792e+00	2.689731e-01	-1.941269e+00	-2.411103e+00	2.514451e-01	-1.991681e+00	-2.606876e+00	2.282894e-01	-2.041315e+00	-2.803189e+00	1.828802e-01	-2.116059e+00	-3.099822e+00	1.452518e-01	-2.167070e+00	-3.300224e+00	7.742197e-02	-2.246300e+00	-3.605681e+00	2.446234e-02	-2.301209e+00	-3.812650e+00	-6.679243e-02	-2.386966e+00	-4.128075e+00	-1.355176e-01	-2.446415e+00	-4.341339e+00	-2.501468e-01	-2.538760e+00	-4.664444e+00	-3.343253e-01	-2.602538e+00	-4.882040e+00	-4.716281e-01	-2.701045e+00	-5.210152e+00	-6.207918e-01	-2.801933e+00	-5.537448e+00	-7.799629e-01	-2.903992e+00	-5.860763e+00	-9.472724e-01	-3.006181e+00	-6.177535e+00	-1.120577e+00	-3.107413e+00	-6.485182e+00	-1.297610e+00	-3.206660e+00	-6.781336e+00	-1.475571e+00	-3.302691e+00	-7.063140e+00	-1.651174e+00	-3.394135e+00	-7.327383e+00	-1.878251e+00	-3.508192e+00	-7.650712e+00	-2.056318e+00	-3.596018e+00	-7.891049e+00	-2.328248e+00	-3.730555e+00	-8.239783e+00
4             	1.625726e-01	-1.720483e+00	-2.904895e-01	2.689839e-01	-2.096249e+00	-7.675689e-01	3.704806e-01	-2.383697e+00	-1.342844e+00	4.610225e-01	-2.636903e+00	-1.995319e+00	5.285263e-01	-2.851939e+00	-2.644025e+00	5.767990e-01	-3.053977e+00	-3.324097e+00	5.980665e-01	-3.197041e+00	-3.824714e+00	6.040220e-01	-3.328664e+00	-4.278504e+00	5.872147e-01	-3.520353e+00	-4.971757e+00	5.595600e-01	-3.641803e+00	-5.426532e+00	5.202195e-01	-3.756967e+00	-5.865102e+00	4.700644e-01	-3.867384e+00	-6.289288e+00	3.757304e-01	-4.027146e+00	-6.904461e+00	3.006402e-01	-4.131173e+00	-7.303662e+00	1.705278e-01	-4.284869e+00	-7.889249e+00	7.255245e-02	-4.386300e+00	-8.272121e+00	-9.059094e-02	-4.537527e+00	-8.836672e+00	-2.097517e-01	-4.638030e+00	-9.207101e+00	-4.029528e-01	-4.788231e+00	-9.753190e+00	-5.411312e-01	-4.888308e+00	-1.011159e+01	-7.610665e-01	-5.037944e+00	-1.063939e+01	-9.939327e-01	-5.186105e+00	-1.115288e+01	-1.237114e+00	-5.331879e+00	-1.164958e+01	-1.487531e+00	-5.474144e+00	-1.212658e+01	-1.741986e+00	-5.611848e+00	-1.258123e+01	-1.997489e+00	-5.744208e+00	-1.301159e+01	-2.250985e+00	-5.870507e+00	-1.341581e+01	-2.499951e+00	-5.990459e+00	-1.379304e+01	-2.830097e+00	-6.145690e+00	-1.426589e+01	-3.069784e+00	-6.256460e+00	-1.459153e+01	-3.435840e+00	-6.430426e+00	-1.506269e+01
5             	1.148798e-01	-9.352037e-01	-2.705834e-01	1.433176e-01	-1.026890e+00	-4.006713e-01	1.752520e-01	-1.107533e+00	-5.847920e-01	2.077245e-01	-1.188154e+00	-8.219284e-01	2.340869e-01	-1.264125e+00	-1.077769e+00	2.548013e-01	-1.344103e+00	-1.372329e+00	2.621185e-01	-1.391887e+00	-1.538044e+00	2.639863e-01	-1.437405e+00	-1.689715e+00	2.571584e-01	-1.515244e+00	-1.971059e+00	2.465252e-01	-1.562479e+00	-2.146377e+00	2.318987e-01	-1.606265e+00	-2.309487e+00	2.137708e-01	-1.647411e+00	-2.462699e+00	1.809461e-01	-1.704849e+00	-2.676665e+00	1.558724e-01	-1.740517e+00	-2.809859e+00	1.145227e-01	-1.790127e+00	-2.996047e+00	8.500896e-02	-1.820659e+00	-3.111496e+00	3.831610e-02	-1.863055e+00	-3.273515e+00	5.960711e-03	-1.889177e+00	-3.374488e+00	-4.397389e-02	-1.925460e+00	-3.516455e+00	-7.796779e-02	-1.947867e+00	-3.605276e+00	-1.295553e-01	-1.978966e+00	-3.730248e+00	-1.811844e-01	-2.007108e+00	-3.845442e+00	-2.324370e-01	-2.032604e+00	-3.951600e+00	-2.823232e-01	-2.055301e+00	-4.048196e+00	-3.297609e-01	-2.075008e+00	-4.134606e+00	-3.742580e-01	-2.091951e+00	-4.211234e+00	-4.153749e-01	-2.106364e+00	-4.278458e+00	-4.515172e-01	-2.117778e+00	-4.334863e+00	-5.021249e-01	-2.135027e+00	-4.409054e+00	-5.324721e-01	-2.144693e+00	-4.451546e+00	-6.025643e-01	-2.175676e+00	-4.541952e+00
6             	-3.546581e-02	5.086519e-01	3.702034e-02	-9.941774e-02	7.282165e-01	3.239616e-01	-1.506396e-01	8.769959e-01	6.127176e-01	-1.916940e-01	9.992794e-01	9.059936e-01	-2.191289e-01	1.094378e+00	1.166862e+00	-2.354852e-01	1.170847e+00	1.393948e+00	-2.458636e-01	1.240432e+00	1.648508e+00	-2.490716e-01	1.302931e+00	1.878125e+00	-2.425911e-01	1.376844e+00	2.148894e+00	-2.314322e-01	1.424838e+00	2.331215e+00	-2.142153e-01	1.473840e+00	2.522792e+00	-1.915184e-01	1.522081e+00	2.714755e+00	-1.477994e-01	1.593390e+00	3.000017e+00	-1.122974e-01	1.640990e+00	3.188922e+00	-4.965976e-02	1.713188e+00	3.470937e+00	-1.731739e-03	1.762099e+00	3.658250e+00	7.952266e-02	1.837127e+00	3.939248e+00	1.398743e-01	1.888261e+00	4.126668e+00	2.400384e-01	1.967258e+00	4.409290e+00	3.127558e-01	2.021083e+00	4.597492e+00	4.303654e-01	2.103431e+00	4.878975e+00	5.573910e-01	2.187246e+00	5.158131e+00	6.922898e-01	2.271637e+00	5.432617e+00	8.326419e-01	2.355192e+00	5.698863e+00	9.778012e-01	2.437924e+00	5.957043e+00	1.126181e+00	2.519215e+00	6.205717e+00	1.277653e+00	2.599443e+00	6.445901e+00	1.431105e+00	2.678378e+00	6.677002e+00	1.631983e+00	2.778618e+00	6.963342e+00	1.791246e+00	2.857107e+00	7.178248e+00	1.966192e+00	2.941732e+00	7.403948e+00
7             	-1.486316e-01	1.503139e+00	2.887653e-01	-2.342702e-01	1.765973e+00	6.802989e-01	-2.985038e-01	1.936072e+00	1.046988e+00	-3.528164e-01	2.084075e+00	1.438986e+00	-3.909308e-01	2.206433e+00	1.804270e+00	-4.158855e-01	2.314674e+00	2.155675e+00	-4.311206e-01	2.413374e+00	2.523064e+00	-4.353477e-01	2.498541e+00	2.832556e+00	-4.254808e-01	2.610394e+00	3.242202e+00	-4.088665e-01	2.682553e+00	3.514543e+00	-3.848892e-01	2.752084e+00	3.781443e+00	-3.544944e-01	2.818503e+00	4.038224e+00	-2.974825e-01	2.914555e+00	4.409682e+00	-2.523450e-01	2.976827e+00	4.649485e+00	-1.748007e-01	3.068065e+00	4.998326e+00	-1.171157e-01	3.127561e+00	5.223661e+00	-2.229723e-02	3.215108e+00	5.551728e+00	4.607696e-02	3.272454e+00	5.764261e+00	1.562491e-01	3.357650e+00	6.075675e+00	2.343155e-01	3.413814e+00	6.278181e+00	3.578419e-01	3.497229e+00	6.574708e+00	4.882422e-01	3.579536e+00	6.862322e+00	6.243872e-01	3.660516e+00	7.140499e+00	7.635481e-01	3.738800e+00	7.405740e+00	9.046917e-01	3.814381e+00	7.658097e+00	1.047153e+00	3.887491e+00	7.898189e+00	1.191687e+00	3.959211e+00	8.128657e+00	1.337067e+00	4.029362e+00	8.348882e+00	1.527600e+00	4.118781e+00	8.621837e+00	1.667100e+00	4.183191e+00	8.811320e+00	1.866161e+00	4.277032e+00	9.068572e+00
8             	-2.112484e-01	2.107597e+00	3.896797e-01	-2.431872e-01	2.153357e+00	5.492091e-01	-2.620186e-01	2.180617e+00	6.624354e-01	-2.771057e-01	2.209022e+00	7.745139e-01	-2.868185e-01	2.234794e+00	8.685390e-01	-2.936136e-01	2.262081e+00	9.686782e-01	-3.014263e-01	2.307560e+00	1.156845e+00	-3.030071e-01	2.337345e+00	1.269849e+00	-2.992958e-01	2.378083e+00	1.421540e+00	-2.928097e-01	2.406232e+00	1.527639e+00	-2.844824e-01	2.431180e+00	1.620304e+00	-2.755588e-01	2.452209e+00	1.695234e+00	-2.603288e-01	2.480947e+00	1.793597e+00	-2.492318e-01	2.498339e+00	1.851940e+00	-2.319605e-01	2.521357e+00	1.928894e+00	-2.205996e-01	2.534505e+00	1.972833e+00	-2.042633e-01	2.551120e+00	2.028984e+00	-1.944033e-01	2.559928e+00	2.059455e+00	-1.810646e-01	2.570507e+00	2.097111e+00	-1.735575e-01	2.575643e+00	2.116632e+00	-1.644747e-01	2.580782e+00	2.138712e+00	-1.579892e-01	2.583227e+00	2.153435e+00	-1.532472e-01	2.583996e+00	2.163658e+00	-1.507471e-01	2.582951e+00	2.169073e+00	-1.507637e-01	2.580131e+00	2.169784e+00	-1.521213e-01	2.576523e+00	2.168268e+00	-1.546044e-01	2.572364e+00	2.165028e+00	-1.575170e-01	2.568228e+00	2.161384e+00	-1.723362e-01	2.556921e+00	2.141287e+00	-2.105266e-01	2.534272e+00	2.091004e+00	-1.834561e-01	2.546699e+00	2.125608e+00
9             	-5.531274e-02	3.487670e-01	1.401970e-01	-2.352722e-02	1.876952e-01	1.295619e-02	1.693204e-03	9.306987e-02	-1.238839e-01	2.435418e-02	1.708848e-02	-2.840891e-01	4.268797e-02	-4.583297e-02	-4.597804e-01	5.418889e-02	-9.640936e-02	-6.146042e-01	5.501809e-02	-1.101187e-01	-6.348850e-01	5.617799e-02	-1.374564e-01	-7.257518e-01	5.330509e-02	-1.721470e-01	-8.483464e-01	4.864901e-02	-1.924311e-01	-9.248147e-01	4.065294e-02	-2.145858e-01	-1.014084e+00	2.855347e-02	-2.390118e-01	-1.117083e+00	4.576339e-03	-2.755188e-01	-1.274596e+00	-1.545082e-02	-3.005604e-01	-1.381821e+00	-5.189068e-02	-3.400481e-01	-1.546801e+00	-8.069465e-02	-3.678217e-01	-1.659968e+00	-1.302976e-01	-4.112997e-01	-1.832243e+00	-1.678986e-01	-4.417449e-01	-1.949497e+00	-2.306544e-01	-4.891004e-01	-2.127226e+00	-2.770002e-01	-5.221177e-01	-2.247590e+00	-3.532709e-01	-5.738169e-01	-2.430655e+00	-4.360227e-01	-6.268121e-01	-2.613042e+00	-5.243854e-01	-6.805845e-01	-2.793304e+00	-6.176109e-01	-7.348049e-01	-2.970548e+00	-7.136251e-01	-7.882854e-01	-3.141703e+00	-8.122599e-01	-8.412462e-01	-3.307314e+00	-9.142133e-01	-8.944666e-01	-3.469296e+00	-1.016948e+00	-9.466014e-01	-3.624170e+00	-1.166506e+00	-1.021655e+00	-3.837111e+00	-1.299533e+00	-1.088388e+00	-4.016105e+00	-1.406526e+00	-1.140098e+00	-4.154433e+00
10            	1.402463e-01	-2.108627e+00	-7.889012e-02	1.834064e-01	-2.266846e+00	-2.670469e-01	2.092128e-01	-2.347318e+00	-4.111406e-01	2.322829e-01	-2.414644e+00	-5.769516e-01	2.516256e-01	-2.474645e+00	-7.640267e-01	2.630118e-01	-2.522636e+00	-9.170075e-01	2.651254e-01	-2.543340e+00	-9.699858e-01	2.666553e-01	-2.577174e+00	-1.086583e+00	2.631560e-01	-2.618879e+00	-1.234835e+00	2.572643e-01	-2.644599e+00	-1.331639e+00	2.477203e-01	-2.671614e+00	-1.438179e+00	2.347548e-01	-2.698873e+00	-1.548370e+00	2.110311e-01	-2.737378e+00	-1.703745e+00	1.919553e-01	-2.762986e+00	-1.805431e+00	1.581663e-01	-2.801916e+00	-1.957852e+00	1.322740e-01	-2.828115e+00	-2.059258e+00	8.925762e-02	-2.867088e+00	-2.208403e+00	5.802877e-02	-2.892803e+00	-2.305693e+00	7.700989e-03	-2.930994e+00	-2.448233e+00	-2.808002e-02	-2.956336e+00	-2.541218e+00	-8.476409e-02	-2.994147e+00	-2.677491e+00	-1.437537e-01	-3.030917e+00	-2.807812e+00	-2.049722e-01	-3.066944e+00	-2.933054e+00	-2.679089e-01	-3.102175e+00	-3.053107e+00	-3.309677e-01	-3.135822e+00	-3.165934e+00	-3.938680e-01	-3.168075e+00	-3.271977e+00	-4.575605e-01	-3.199894e+00	-3.373544e+00	-5.240527e-01	-3.232722e+00	-3.474016e+00	-6.145874e-01	-3.277006e+00	-3.603240e+00	-6.868461e-01	-3.312545e+00	-3.700646e+00	-7.712551e-01	-3.354917e+00	-3.809192e+00
