# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00
2             	2.259490e-01	2.705943e-01	3.519503e-01
3             	2.834056e-01	9.680412e-02	5.752377e-02
4             	2.360301e-01	2.600125e-02	1.909972e-02
5             	1.755599e-01	1.070671e-01	7.462422e-02
6             	2.791179e-01	8.083645e-02	9.057730e-02
7             	2.212227e-01	5.203900e-02	6.673990e-02
8             	1.845347e-01	6.339966e-02	5.144641e-02
9             	3.703372e-01	2.704374e-02	1.862826e-02
10            	2.092172e-01	2.086871e-02	1.724550e-02
11            	2.096901e-01	2.954602e-02	2.453489e-02
12            	4.594564e-01	1.646532e-02	1.515043e-02
13            	2.777598e-01	2.146853e-02	1.831591e-02
14            	2.919444e-01	2.076970e-02	1.620946e-02
15            	4.087656e-01	1.192949e-02	9.642696e-03
16            	2.177197e-01	1.114877e-02	1.081981e-02
17            	2.406014e-01	1.104265e-02	1.017560e-02
18            	4.132540e-01	9.586200e-03	8.900709e-03
19            	4.585978e-01	1.138062e-02	9.742434e-03
20            	5.056888e-01	1.085634e-02	8.934889e-03
21            	2.689912e-01	9.401517e-03	7.659474e-03
22            	2.193117e-01	8.685532e-03	7.884541e-03
23            	2.358368e-01	8.704226e-03	7.674280e-03
24            	2.833124e-01	9.059200e-03	7.646999e-03
25            	3.108513e-01	9.515292e-03	7.660479e-03
26            	2.576584e-01	9.495292e-03	7.274099e-03
27            	2.079062e-01	9.120203e-03	7.039571e-03
28            	1.926931e-01	8.886288e-03	7.062424e-03
29            	1.965019e-01	8.912191e-03	7.058298e-03
30            	1.992437e-01	9.035102e-03	7.064841e-03
31            	1.894450e-01	9.156361e-03	7.017544e-03
32            	1.758978e-01	9.182894e-03	6.946245e-03
33            	1.642353e-01	9.052242e-03	6.940110e-03
34            	1.523473e-01	8.922732e-03	6.962214e-03
35            	1.466732e-01	8.836679e-03	6.955765e-03
36            	1.450411e-01	8.777666e-03	6.898846e-03
37            	1.382427e-01	8.723464e-03	6.850713e-03
38            	1.303563e-01	8.635297e-03	6.885922e-03
39            	1.226508e-01	8.537800e-03	6.953016e-03
40            	1.153176e-01	8.457324e-03	6.990100e-03
41            	1.076884e-01	8.400984e-03	6.978717e-03
42            	1.016103e-01	8.329620e-03	6.941516e-03
43            	9.644259e-02	8.242330e-03	6.949085e-03
44            	9.067383e-02	8.156867e-03	6.998758e-03
45            	8.521230e-02	8.086133e-03	7.055507e-03
46            	8.077283e-02	8.022854e-03	7.074661e-03
47            	7.754329e-02	7.957437e-03	7.071581e-03
48            	7.370449e-02	7.885137e-03	7.099460e-03
49            	6.932595e-02	7.809999e-03	7.170893e-03
50            	6.459996e-02	7.732904e-03	7.231205e-03
51            	6.077495e-02	7.653489e-03	7.257996e-03
52            	5.811086e-02	7.579606e-03	7.257022e-03
53            	5.512054e-02	7.506815e-03	7.288321e-03
54            	5.215182e-02	7.426438e-03	7.350746e-03
55            	4.972465e-02	7.340118e-03	7.398476e-03
56            	4.701947e-02	7.258522e-03	7.421630e-03
57            	4.425227e-02	7.179043e-03	7.457117e-03
58            	4.280788e-02	7.099173e-03	7.505536e-03
59            	4.148129e-02	7.013983e-03	7.528297e-03
60            	3.948120e-02	6.931527e-03	7.545945e-03
61            	3.788077e-02	6.850274e-03	7.598743e-03
62            	3.579756e-02	6.773743e-03	7.649533e-03
63            	3.441544e-02	6.695183e-03	7.675010e-03
64            	3.348771e-02	6.618075e-03	7.689616e-03
65            	3.247079e-02	6.543744e-03	7.740505e-03
66            	3.165411e-02	6.475255e-03	7.777215e-03
67            	3.035160e-02	6.402355e-03	7.800351e-03
68            	2.927540e-02	6.335383e-03	7.856261e-03
69            	2.836712e-02	6.271178e-03	7.888307e-03
70            	2.744147e-02	6.206672e-03	7.906243e-03
71            	2.654654e-02	6.142183e-03	7.956952e-03
72            	2.623709e-02	6.077095e-03	8.001389e-03
73            	2.552784e-02	6.012582e-03	8.020611e-03
74            	2.466259e-02	5.947760e-03	8.069030e-03
75            	2.416417e-02	5.884118e-03	8.117681e-03
76            	2.335123e-02	5.820877e-03	8.140901e-03
77            	2.264648e-02	5.753115e-03	8.200358e-03
78            	2.221126e-02	5.689869e-03	8.257103e-03
79            	2.162214e-02	5.627172e-03	8.286164e-03
80            	2.108097e-02	5.564468e-03	8.351182e-03
81            	2.047076e-02	5.504661e-03	8.407082e-03
82            	2.010660e-02	5.446154e-03	8.439374e-03
83            	1.974038e-02	5.387792e-03	8.508232e-03
84            	1.920596e-02	5.332745e-03	8.563399e-03
85            	1.858760e-02	5.279823e-03	8.599221e-03
86            	1.814200e-02	5.227359e-03	8.673596e-03
87            	1.777283e-02	5.180424e-03	8.725097e-03
88            	1.726956e-02	5.135900e-03	8.742301e-03
89            	1.680520e-02	5.092948e-03	8.802520e-03
90            	1.648944e-02	5.055085e-03	8.828458e-03
91            	1.617370e-02	5.019661e-03	8.826875e-03
92            	1.572687e-02	4.988330e-03	8.856899e-03
93            	1.543025e-02	4.966918e-03	8.841599e-03
94            	1.508140e-02	4.948561e-03	8.811790e-03
95            	1.477120e-02	4.934220e-03	8.765059e-03
96            	1.464336e-02	4.924331e-03	8.662682e-03
97            	1.432579e-02	4.918219e-03	8.559868e-03
98            	1.421006e-02	4.919795e-03	8.447336e-03
99            	1.411056e-02	4.924052e-03	8.314222e-03
100           	1.339610e-02	4.931923e-03	8.195828e-03
