# y+ ()       
# Time        	patch         	min           	max           	average       
200           	airfoil-l1	9.276717e-01	2.633435e+01	1.450742e+01
200           	wall-l1	1.121229e+02	1.164723e+02	1.132256e+02
200           	airfoil-l2	2.337230e+01	2.635199e+01	2.524766e+01
200           	wall-l2	8.265200e+01	1.122086e+02	1.073358e+02
200           	wall-h2	1.378711e+02	1.634488e+02	1.489860e+02
200           	airfoil-h2	6.638904e+00	2.967178e+01	1.510282e+01
200           	wall-h1	1.352517e+02	1.378557e+02	1.369026e+02
200           	airfoil-h1	1.568461e+00	3.919077e+01	2.376839e+01
400           	airfoil-l1	1.286399e+00	2.766483e+01	1.446420e+01
400           	wall-l1	1.163832e+02	1.325639e+02	1.231451e+02
400           	airfoil-l2	2.306076e+01	2.506932e+01	2.460315e+01
400           	wall-l2	9.767419e+01	1.323914e+02	1.228420e+02
400           	wall-h2	1.206009e+02	1.492683e+02	1.355305e+02
400           	airfoil-h2	6.309123e+00	3.781140e+01	2.397242e+01
400           	wall-h1	1.201590e+02	1.217659e+02	1.205491e+02
400           	airfoil-h1	2.098713e+01	2.868065e+01	2.334456e+01
600           	airfoil-l1	7.736854e-01	2.760851e+01	1.479726e+01
600           	wall-l1	5.710167e+01	8.117790e+01	6.634241e+01
600           	airfoil-l2	2.224873e+01	2.474675e+01	2.439051e+01
600           	wall-l2	2.137792e+01	5.928828e+01	5.006836e+01
600           	wall-h2	5.629331e+01	1.358649e+02	7.342117e+01
600           	airfoil-h2	1.511040e+01	3.141872e+01	2.194996e+01
600           	wall-h1	5.363976e+01	7.853836e+01	6.711432e+01
600           	airfoil-h1	2.282508e+01	3.158933e+01	2.688540e+01
800           	airfoil-l1	3.320688e-01	3.138647e+01	1.414964e+01
800           	wall-l1	1.154687e+02	1.285028e+02	1.211326e+02
800           	airfoil-l2	2.181214e+01	2.425561e+01	2.389366e+01
800           	wall-l2	1.013162e+02	1.327318e+02	1.226609e+02
800           	wall-h2	1.383781e+02	1.619788e+02	1.514003e+02
800           	airfoil-h2	3.678021e+00	2.867249e+01	1.721174e+01
800           	wall-h1	1.319803e+02	1.382409e+02	1.341375e+02
800           	airfoil-h1	2.452247e+01	3.226919e+01	2.737623e+01
1000          	airfoil-l1	1.531466e+00	3.157450e+01	1.415549e+01
1000          	wall-l1	1.199985e+02	1.284672e+02	1.229167e+02
1000          	airfoil-l2	2.175991e+01	2.427209e+01	2.388000e+01
1000          	wall-l2	9.554553e+01	1.285346e+02	1.210868e+02
1000          	wall-h2	1.397852e+02	1.650305e+02	1.516677e+02
1000          	airfoil-h2	3.247857e+00	3.071921e+01	2.161298e+01
1000          	wall-h1	1.397609e+02	1.400066e+02	1.399326e+02
1000          	airfoil-h1	2.474641e+01	3.245217e+01	2.807778e+01
1200          	airfoil-l1	1.007741e+00	3.189138e+01	1.405082e+01
1200          	wall-l1	1.256712e+02	1.352192e+02	1.293360e+02
1200          	airfoil-l2	2.147499e+01	2.392614e+01	2.354069e+01
1200          	wall-l2	1.024868e+02	1.366029e+02	1.281479e+02
1200          	wall-h2	1.399567e+02	1.688656e+02	1.539942e+02
1200          	airfoil-h2	1.215205e+01	3.068485e+01	2.314465e+01
1200          	wall-h1	1.399140e+02	1.420787e+02	1.408795e+02
1200          	airfoil-h1	2.480991e+01	3.273574e+01	2.811372e+01
1400          	airfoil-l1	1.265900e+00	3.220929e+01	1.401666e+01
1400          	wall-l1	1.257400e+02	1.353491e+02	1.293918e+02
1400          	airfoil-l2	2.130531e+01	2.381802e+01	2.342197e+01
1400          	wall-l2	1.023975e+02	1.365317e+02	1.281229e+02
1400          	wall-h2	1.432717e+02	1.714269e+02	1.569979e+02
1400          	airfoil-h2	1.142274e+01	3.097538e+01	2.294381e+01
1400          	wall-h1	1.431948e+02	1.438313e+02	1.433596e+02
1400          	airfoil-h1	2.503891e+01	3.304030e+01	2.838083e+01
1600          	airfoil-l1	7.601437e-01	3.227668e+01	1.400444e+01
1600          	wall-l1	1.259879e+02	1.356847e+02	1.296904e+02
1600          	airfoil-l2	2.126360e+01	2.378729e+01	2.338528e+01
1600          	wall-l2	1.027559e+02	1.369210e+02	1.284552e+02
1600          	wall-h2	1.435626e+02	1.717974e+02	1.573710e+02
1600          	airfoil-h2	1.239233e+01	3.112830e+01	2.339583e+01
1600          	wall-h1	1.434279e+02	1.439966e+02	1.435637e+02
1600          	airfoil-h1	2.509107e+01	3.310434e+01	2.846269e+01
1800          	airfoil-l1	5.683425e-01	3.232428e+01	1.399275e+01
1800          	wall-l1	1.263353e+02	1.360448e+02	1.300339e+02
1800          	airfoil-l2	2.122868e+01	2.376105e+01	2.335418e+01
1800          	wall-l2	1.030256e+02	1.372801e+02	1.287984e+02
1800          	wall-h2	1.440970e+02	1.723746e+02	1.579165e+02
1800          	airfoil-h2	1.299112e+01	3.115281e+01	2.355499e+01
1800          	wall-h1	1.439718e+02	1.445460e+02	1.441092e+02
1800          	airfoil-h1	2.511264e+01	3.314755e+01	2.848620e+01
2000          	airfoil-l1	8.936060e-01	3.235688e+01	1.399179e+01
2000          	wall-l1	1.265324e+02	1.362397e+02	1.302379e+02
2000          	airfoil-l2	2.121074e+01	2.375061e+01	2.334190e+01
2000          	wall-l2	1.031891e+02	1.374887e+02	1.289973e+02
2000          	wall-h2	1.443778e+02	1.727398e+02	1.582376e+02
2000          	airfoil-h2	1.309078e+01	3.117018e+01	2.358467e+01
2000          	wall-h1	1.442353e+02	1.447648e+02	1.443611e+02
2000          	airfoil-h1	2.513220e+01	3.317837e+01	2.850660e+01
