"p","U:0","U:1","U:2","Cp","Points:0","Points:1","Points:2"
101300,0,0,0,0.997553,0,0,0
101300,0,0,0,0.997553,0,0,0.01
101286,0,0,0,0.98681,5.02638e-05,-0.0011939,0.01
101286,0,0,0,0.98681,5.02638e-05,-0.0011939,0
101245,0,0,0,0.955349,0.00020047,-0.00238386,0.01
101245,0,0,0,0.955349,0.00020047,-0.00238386,0
101182,0,0,0,0.907006,0.000447811,-0.00356176,0.01
101182,0,0,0,0.907006,0.000447811,-0.00356176,0
101102,0,0,0,0.846002,0.000787501,-0.0047212,0.01
101102,0,0,0,0.846002,0.000787501,-0.0047212,0
101011,0,0,0,0.775789,0.00121314,-0.00585656,0.01
101011,0,0,0,0.775789,0.00121314,-0.00585656,0
100914,0,0,0,0.701356,0.00171753,-0.00696396,0.01
100914,0,0,0,0.701356,0.00171753,-0.00696396,0
100816,0,0,0,0.625773,0.00229334,-0.00804109,0.01
100816,0,0,0,0.625773,0.00229334,-0.00804109,0
100718,0,0,0,0.55134,0.00293334,-0.00908662,0.01
100718,0,0,0,0.55134,0.00293334,-0.00908662,0
100626,0,0,0,0.48036,0.00363081,-0.0101002,0.01
100626,0,0,0,0.48036,0.00363081,-0.0101002,0
100538,0,0,0,0.413217,0.00437968,-0.0110823,0.01
100538,0,0,0,0.413217,0.00437968,-0.0110823,0
100457,0,0,0,0.350678,0.00517424,-0.0120333,0.01
100457,0,0,0,0.350678,0.00517424,-0.0120333,0
100382,0,0,0,0.293127,0.00600984,-0.0129545,0.01
100382,0,0,0,0.293127,0.00600984,-0.0129545,0
100313,0,0,0,0.24018,0.00688246,-0.0138475,0.01
100313,0,0,0,0.24018,0.00688246,-0.0138475,0
100250,0,0,0,0.191453,0.00778818,-0.0147132,0.01
100250,0,0,0,0.191453,0.00778818,-0.0147132,0
100192,0,0,0,0.146947,0.00872386,-0.015553,0.01
100192,0,0,0,0.146947,0.00872386,-0.015553,0
100139,0,0,0,0.106661,0.00968705,-0.0163686,0.01
100139,0,0,0,0.106661,0.00968705,-0.0163686,0
100091,0,0,0,0.0698287,0.0106752,-0.0171612,0.01
100091,0,0,0,0.0698287,0.0106752,-0.0171612,0
100047,0,0,0,0.0360654,0.0116863,-0.0179319,0.01
100047,0,0,0,0.0360654,0.0116863,-0.0179319,0
100007,0,0,0,0.00510167,0.0127184,-0.0186819,0.01
100007,0,0,0,0.00510167,0.0127184,-0.0186819,0
99969.5,0,0,0,-0.0233682,0.0137701,-0.0194123,0.01
99969.5,0,0,0,-0.0233682,0.0137701,-0.0194123,0
99935.5,0,0,0,-0.049458,0.0148399,-0.0201242,0.01
99935.5,0,0,0,-0.049458,0.0148399,-0.0201242,0
99904.2,0,0,0,-0.0735096,0.0159268,-0.0208186,0.01
99904.2,0,0,0,-0.0735096,0.0159268,-0.0208186,0
99875.4,0,0,0,-0.0956128,0.0170298,-0.0214964,0.01
99875.4,0,0,0,-0.0956128,0.0170298,-0.0214964,0
99848.8,0,0,0,-0.116025,0.0181479,-0.0221585,0.01
99848.8,0,0,0,-0.116025,0.0181479,-0.0221585,0
99824,0,0,0,-0.135089,0.0192797,-0.0228053,0.01
99824,0,0,0,-0.135089,0.0192797,-0.0228053,0
99801.1,0,0,0,-0.152624,0.0204254,-0.0234379,0.01
99801.1,0,0,0,-0.152624,0.0204254,-0.0234379,0
99779.9,0,0,0,-0.168895,0.0215838,-0.0240569,0.01
99779.9,0,0,0,-0.168895,0.0215838,-0.0240569,0
99760,0,0,0,-0.184164,0.0227544,-0.0246628,0.01
99760,0,0,0,-0.184164,0.0227544,-0.0246628,0
99741.5,0,0,0,-0.198324,0.0239368,-0.0252563,0.01
99741.5,0,0,0,-0.198324,0.0239368,-0.0252563,0
99724.5,0,0,0,-0.211404,0.0251304,-0.0258378,0.01
99724.5,0,0,0,-0.211404,0.0251304,-0.0258378,0
99708.5,0,0,0,-0.223646,0.0263348,-0.0264079,0.01
