# y+ ()       
# Time        	patch         	min           	max           	average       
0             	airfoil-l1	1.103953e+00	1.448196e+00	1.242944e+00
0             	wall-l1	0.000000e+00	0.000000e+00	0.000000e+00
0             	airfoil-l2	1.299313e+00	1.368164e+00	1.313246e+00
0             	wall-l2	0.000000e+00	0.000000e+00	0.000000e+00
0             	wall-h2	0.000000e+00	0.000000e+00	0.000000e+00
0             	airfoil-h2	1.299267e+00	1.368018e+00	1.314869e+00
0             	wall-h1	0.000000e+00	0.000000e+00	0.000000e+00
0             	airfoil-h1	1.108134e+00	1.448250e+00	1.248119e+00
50            	airfoil-l1	9.806232e-02	3.174081e-01	1.622816e-01
50            	wall-l1	4.463279e+01	9.993986e+01	6.277175e+01
50            	airfoil-l2	1.575314e-01	1.897169e-01	1.712323e-01
50            	wall-l2	4.460129e+01	4.511276e+01	4.491745e+01
50            	wall-h2	4.455731e+01	4.511122e+01	4.490975e+01
50            	airfoil-h2	1.594727e-01	1.898100e-01	1.712990e-01
50            	wall-h1	4.459004e+01	9.998410e+01	6.276081e+01
50            	airfoil-h1	6.640105e-02	2.830331e-01	1.620026e-01
100           	airfoil-l1	7.618658e-02	2.008520e-01	1.148947e-01
100           	wall-l1	3.145866e+01	9.156591e+01	4.890619e+01
100           	airfoil-l2	1.114914e-01	1.296931e-01	1.177023e-01
100           	wall-l2	4.114966e+01	8.993115e+01	5.627476e+01
100           	wall-h2	4.096831e+01	8.996979e+01	5.626599e+01
100           	airfoil-h2	1.122519e-01	1.298759e-01	1.178457e-01
100           	wall-h1	3.147943e+01	9.157480e+01	4.887619e+01
100           	airfoil-h1	5.436173e-02	1.777677e-01	1.138286e-01
150           	airfoil-l1	3.404753e-02	1.488395e-01	9.895246e-02
150           	wall-l1	1.286728e+01	4.153404e+01	3.065185e+01
150           	airfoil-l2	8.186951e-02	1.008330e-01	9.126949e-02
150           	wall-l2	2.035036e+01	7.323559e+01	5.061337e+01
150           	wall-h2	2.006666e+01	7.292421e+01	5.037689e+01
150           	airfoil-h2	8.180702e-02	1.011723e-01	9.138525e-02
150           	wall-h1	1.282702e+01	4.177171e+01	3.087828e+01
150           	airfoil-h1	4.974266e-02	1.344112e-01	9.589051e-02
200           	airfoil-l1	6.205505e-02	1.245917e-01	9.914996e-02
200           	wall-l1	2.771398e+01	4.351395e+01	3.843252e+01
200           	airfoil-l2	6.215396e-02	9.343668e-02	7.855647e-02
200           	wall-l2	2.111551e+01	3.671176e+01	2.774841e+01
200           	wall-h2	2.070460e+01	3.695374e+01	2.762820e+01
200           	airfoil-h2	6.211420e-02	9.529512e-02	7.861168e-02
200           	wall-h1	2.798305e+01	4.375314e+01	3.868864e+01
200           	airfoil-h1	1.418400e-02	1.127216e-01	9.602395e-02
250           	airfoil-l1	4.597037e-02	1.099897e-01	9.781459e-02
250           	wall-l1	1.533561e+01	3.880189e+01	2.454016e+01
250           	airfoil-l2	4.958374e-02	9.384680e-02	7.537068e-02
250           	wall-l2	2.914095e+01	4.038050e+01	3.728246e+01
250           	wall-h2	2.979968e+01	4.067672e+01	3.764623e+01
250           	airfoil-h2	4.927108e-02	9.651662e-02	7.565218e-02
250           	wall-h1	1.497263e+01	3.910788e+01	2.469801e+01
250           	airfoil-h1	2.760220e-02	1.082764e-01	9.573075e-02
300           	airfoil-l1	4.196548e-02	1.082430e-01	9.598607e-02
300           	wall-l1	1.082804e+01	1.835404e+01	1.580445e+01
300           	airfoil-l2	4.492963e-02	9.286346e-02	7.519805e-02
300           	wall-l2	1.843067e+01	3.701901e+01	2.857799e+01
300           	wall-h2	1.908561e+01	3.708510e+01	2.893776e+01
300           	airfoil-h2	4.450392e-02	9.523676e-02	7.556818e-02
300           	wall-h1	1.111524e+01	1.890377e+01	1.583232e+01
300           	airfoil-h1	3.125602e-02	1.064023e-01	9.437808e-02
350           	airfoil-l1	4.104875e-02	1.068001e-01	9.451973e-02
350           	wall-l1	1.781104e+01	2.104136e+01	1.977491e+01
350           	airfoil-l2	4.466587e-02	9.165039e-02	7.464317e-02
350           	wall-l2	1.720428e+01	2.938792e+01	2.102674e+01
350           	wall-h2	1.738025e+01	2.946232e+01	2.114136e+01
350           	airfoil-h2	4.449105e-02	9.372701e-02	7.491104e-02
350           	wall-h1	1.787888e+01	2.101817e+01	1.980802e+01
350           	airfoil-h1	3.203438e-02	1.047721e-01	9.334915e-02
400           	airfoil-l1	4.084815e-02	1.057159e-01	9.349765e-02
400           	wall-l1	1.863711e+01	1.946422e+01	1.893068e+01
400           	airfoil-l2	4.419380e-02	9.060302e-02	7.372361e-02
400           	wall-l2	1.909636e+01	2.231034e+01	1.998648e+01
400           	wall-h2	1.910487e+01	2.190694e+01	1.991614e+01
400           	airfoil-h2	4.405662e-02	9.250783e-02	7.387834e-02
400           	wall-h1	1.862245e+01	1.949893e+01	1.888966e+01
400           	airfoil-h1	3.220092e-02	1.035710e-01	9.267932e-02
450           	airfoil-l1	4.080418e-02	1.049079e-01	9.280540e-02
450           	wall-l1	1.781407e+01	1.915057e+01	1.878037e+01
450           	airfoil-l2	4.346355e-02	8.975386e-02	7.278320e-02
450           	wall-l2	1.770990e+01	2.115575e+01	1.899426e+01
450           	wall-h2	1.753235e+01	2.055651e+01	1.870574e+01
450           	airfoil-h2	4.327322e-02	9.153666e-02	7.285881e-02
450           	wall-h1	1.761936e+01	1.885528e+01	1.851251e+01
450           	airfoil-h1	3.223602e-02	1.026869e-01	9.224195e-02
500           	airfoil-l1	4.078413e-02	1.043278e-01	9.234322e-02
500           	wall-l1	1.689500e+01	1.883621e+01	1.813413e+01
500           	airfoil-l2	4.269290e-02	8.909062e-02	7.194537e-02
500           	wall-l2	1.874312e+01	2.121072e+01	1.961276e+01
500           	wall-h2	1.843256e+01	2.102474e+01	1.936118e+01
500           	airfoil-h2	4.245841e-02	9.078977e-02	7.198580e-02
500           	wall-h1	1.673150e+01	1.851107e+01	1.787031e+01
500           	airfoil-h1	3.225667e-02	1.023696e-01	9.196845e-02
550           	airfoil-l1	4.075803e-02	1.039195e-01	9.202475e-02
550           	wall-l1	1.587492e+01	1.813001e+01	1.691115e+01
550           	airfoil-l2	4.195101e-02	8.857111e-02	7.121560e-02
550           	wall-l2	1.814194e+01	2.186314e+01	1.974279e+01
550           	wall-h2	1.790081e+01	2.170638e+01	1.951470e+01
550           	airfoil-h2	4.168018e-02	9.019792e-02	7.123011e-02
550           	wall-h1	1.580472e+01	1.788983e+01	1.677471e+01
550           	airfoil-h1	3.228835e-02	1.023700e-01	9.179192e-02
600           	airfoil-l1	4.072311e-02	1.036427e-01	9.179535e-02
600           	wall-l1	1.572539e+01	1.708337e+01	1.627922e+01
600           	airfoil-l2	4.126329e-02	8.815962e-02	7.058126e-02
600           	wall-l2	1.709601e+01	2.229107e+01	1.926332e+01
600           	wall-h2	1.699611e+01	2.211910e+01	1.912910e+01
600           	airfoil-h2	4.096504e-02	8.972832e-02	7.057702e-02
600           	wall-h1	1.570030e+01	1.698417e+01	1.622847e+01
600           	airfoil-h1	3.233120e-02	1.023750e-01	9.168008e-02
650           	airfoil-l1	4.068327e-02	1.034615e-01	9.162410e-02
650           	wall-l1	1.593960e+01	1.668830e+01	1.628158e+01
650           	airfoil-l2	4.063752e-02	8.783225e-02	7.003046e-02
650           	wall-l2	1.669680e+01	2.234078e+01	1.891279e+01
650           	wall-h2	1.667885e+01	2.241449e+01	1.892729e+01
650           	airfoil-h2	4.032136e-02	8.935958e-02	7.001381e-02
650           	wall-h1	1.597744e+01	1.667051e+01	1.629037e+01
650           	airfoil-h1	3.237970e-02	1.023813e-01	9.161175e-02
700           	airfoil-l1	4.064199e-02	1.033412e-01	9.149210e-02
700           	wall-l1	1.613849e+01	1.676990e+01	1.648002e+01
700           	airfoil-l2	4.007327e-02	8.757093e-02	6.955262e-02
700           	wall-l2	1.677592e+01	2.221201e+01	1.886899e+01
700           	wall-h2	1.682966e+01	2.257919e+01	1.901667e+01
700           	airfoil-h2	3.974698e-02	8.907265e-02	6.952872e-02
700           	wall-h1	1.626173e+01	1.682375e+01	1.657062e+01
700           	airfoil-h1	3.242967e-02	1.023878e-01	9.157108e-02
750           	airfoil-l1	4.060264e-02	1.032574e-01	9.138790e-02
750           	wall-l1	1.623049e+01	1.694170e+01	1.662451e+01
750           	airfoil-l2	3.956754e-02	8.736124e-02	6.913848e-02
750           	wall-l2	1.694729e+01	2.215153e+01	1.896403e+01
750           	wall-h2	1.708713e+01	2.264417e+01	1.919997e+01
750           	airfoil-h2	3.923670e-02	8.885055e-02	6.911144e-02
750           	wall-h1	1.641778e+01	1.708178e+01	1.679734e+01
750           	airfoil-h1	3.247721e-02	1.023940e-01	9.154758e-02
800           	airfoil-l1	4.056831e-02	1.031955e-01	9.130454e-02
800           	wall-l1	1.624849e+01	1.703880e+01	1.667569e+01
800           	airfoil-l2	3.911666e-02	8.719209e-02	6.877979e-02
800           	wall-l2	1.704468e+01	2.215441e+01	1.904334e+01
800           	wall-h2	1.725744e+01	2.265805e+01	1.933556e+01
800           	airfoil-h2	3.878490e-02	8.867924e-02	6.875292e-02
800           	wall-h1	1.646171e+01	1.725171e+01	1.689739e+01
800           	airfoil-h1	3.251866e-02	1.023997e-01	9.153476e-02
850           	airfoil-l1	4.054058e-02	1.031483e-01	9.123755e-02
850           	wall-l1	1.624010e+01	1.705697e+01	1.667315e+01
850           	airfoil-l2	3.871652e-02	8.705510e-02	6.846927e-02
850           	wall-l2	1.706312e+01	2.216190e+01	1.906734e+01
850           	wall-h2	1.731160e+01	2.267724e+01	1.939568e+01
850           	airfoil-h2	3.838636e-02	8.854761e-02	6.844525e-02
850           	wall-h1	1.645851e+01	1.730537e+01	1.690991e+01
850           	airfoil-h1	3.255212e-02	1.024044e-01	9.152860e-02
900           	airfoil-l1	4.051886e-02	1.031153e-01	9.118912e-02
900           	wall-l1	1.622780e+01	1.704746e+01	1.666083e+01
900           	airfoil-l2	3.839844e-02	8.695540e-02	6.822877e-02
900           	wall-l2	1.705369e+01	2.215961e+01	1.906383e+01
900           	wall-h2	1.731092e+01	2.271388e+01	1.941477e+01
900           	airfoil-h2	3.808281e-02	8.845938e-02	6.821602e-02
900           	wall-h1	1.645029e+01	1.730447e+01	1.690058e+01
900           	airfoil-h1	3.257831e-02	1.024081e-01	9.152685e-02
950           	airfoil-l1	4.050252e-02	1.030906e-01	9.115127e-02
950           	wall-l1	1.622208e+01	1.703995e+01	1.665297e+01
950           	airfoil-l2	3.812269e-02	8.687624e-02	6.802563e-02
950           	wall-l2	1.704623e+01	2.216746e+01	1.906197e+01
950           	wall-h2	1.730563e+01	2.275480e+01	1.942441e+01
950           	airfoil-h2	3.781643e-02	8.839134e-02	6.801983e-02
950           	wall-h1	1.645169e+01	1.729911e+01	1.689717e+01
950           	airfoil-h1	3.259803e-02	1.024110e-01	9.152685e-02
1000          	airfoil-l1	4.048984e-02	1.030708e-01	9.112022e-02
1000          	wall-l1	1.622415e+01	1.703790e+01	1.665363e+01
1000          	airfoil-l2	3.787912e-02	8.681072e-02	6.784838e-02
1000          	wall-l2	1.704419e+01	2.219599e+01	1.906909e+01
1000          	wall-h2	1.730755e+01	2.278855e+01	1.943425e+01
1000          	airfoil-h2	3.757871e-02	8.833716e-02	6.784838e-02
1000          	wall-h1	1.645915e+01	1.730106e+01	1.690337e+01
1000          	airfoil-h1	3.261326e-02	1.024132e-01	9.152802e-02
1050          	airfoil-l1	4.047929e-02	1.030549e-01	9.109444e-02
1050          	wall-l1	1.623353e+01	1.704359e+01	1.666114e+01
1050          	airfoil-l2	3.766390e-02	8.675564e-02	6.769254e-02
1050          	wall-l2	1.704989e+01	2.222767e+01	1.908262e+01
1050          	wall-h2	1.731669e+01	2.280562e+01	1.944622e+01
1050          	airfoil-h2	3.736782e-02	8.829427e-02	6.769838e-02
1050          	wall-h1	1.646970e+01	1.731019e+01	1.691329e+01
1050          	airfoil-h1	3.262594e-02	1.024151e-01	9.153010e-02
