# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 5.105270e+01
# lRef        : 1.000000e+00
# Aref        : 1.190359e-03
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-7.853389e-05	5.700087e+00	4.517474e-04	1.473398e-04	3.044076e-04
1             	-9.183294e-03	1.121031e+01	4.618388e-02	1.390865e-02	3.227524e-02
2             	-6.637740e-03	4.951211e+00	8.949087e-02	3.810770e-02	5.138318e-02
3             	1.815150e-03	-2.444735e+00	3.598535e-02	1.980783e-02	1.617753e-02
4             	3.987412e-03	-6.935601e+00	-4.390106e-02	-1.796312e-02	-2.593794e-02
5             	1.182365e-02	-3.225818e+00	-1.370053e-01	-5.667901e-02	-8.032631e-02
6             	7.556414e-03	1.999215e+00	-8.368022e-02	-3.428369e-02	-4.939652e-02
7             	-2.405573e-02	5.666048e+00	1.360598e-01	4.397416e-02	9.208561e-02
8             	-5.519262e-03	3.889203e+00	1.523851e-01	7.067331e-02	8.171183e-02
9             	2.409082e-02	-2.404393e-01	-1.343496e-01	-4.308398e-02	-9.126562e-02
10            	1.858764e-01	-4.147684e+00	-7.916140e-01	-2.099306e-01	-5.816834e-01
11            	1.969441e-01	-4.827729e+00	-1.019247e+00	-3.126794e-01	-7.065675e-01
12            	1.031424e-01	-8.847458e-01	-5.012748e-01	-1.474949e-01	-3.537798e-01
13            	4.854782e-02	1.131031e+00	1.113011e-01	1.041983e-01	7.102712e-03
14            	-1.160334e-01	1.399849e+00	1.081281e+00	4.246070e-01	6.566737e-01
15            	-1.140327e-01	1.445540e-01	4.638729e-01	1.179037e-01	3.459692e-01
16            	1.281903e-03	-7.547606e-01	-6.427872e-01	-3.201117e-01	-3.226755e-01
17            	9.047991e-02	-5.796643e-01	-8.840596e-01	-3.515499e-01	-5.325097e-01
18            	7.585442e-02	1.905119e-01	-1.736097e-01	-1.095045e-02	-1.626593e-01
19            	-1.459190e-04	5.618250e-01	6.010256e-01	3.003669e-01	3.006587e-01
20            	-6.264644e-02	3.861647e-01	6.460421e-01	2.603746e-01	3.856675e-01
21            	-5.481646e-02	1.296264e-02	4.322088e-02	-3.320601e-02	7.642690e-02
22            	4.399098e-03	-1.355069e-01	-4.599522e-01	-2.255770e-01	-2.343752e-01
23            	4.542038e-02	-1.113049e-02	-3.575910e-01	-1.333751e-01	-2.242159e-01
24            	3.509445e-02	1.476593e-01	1.007462e-01	8.546754e-02	1.527864e-02
25            	-7.761804e-03	1.766733e-01	3.483606e-01	1.664185e-01	1.819421e-01
26            	-3.449708e-02	1.085903e-01	1.788432e-01	5.492450e-02	1.239187e-01
27            	-2.244779e-02	5.115222e-02	-1.319170e-01	-8.840630e-02	-4.351072e-02
28            	1.131889e-02	5.477640e-02	-2.307628e-01	-1.040625e-01	-1.267003e-01
29            	3.032054e-02	9.103880e-02	-5.579185e-02	2.424613e-03	-5.821647e-02
