# Force coefficient bins
# bins        : 31
# start       : 4.047185e-04
# delta       : 3.205286e-02
# direction   : (1.000000e+00 0.000000e+00 0.000000e+00)
# x co-ords  :	3.245758e-02	6.451044e-02	9.656330e-02	1.286162e-01	1.606690e-01	1.927219e-01	2.247747e-01	2.568276e-01	2.888805e-01	3.209333e-01	3.529862e-01	3.850390e-01	4.170919e-01	4.491447e-01	4.811976e-01	5.132505e-01	5.453033e-01	5.773562e-01	6.094090e-01	6.414619e-01	6.735148e-01	7.055676e-01	7.376205e-01	7.696733e-01	8.017262e-01	8.337791e-01	8.658319e-01	8.978848e-01	9.299376e-01	9.619905e-01	9.940434e-01
# y co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# z co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# Time        	Cm(0)         	Cd(0)         	Cl(0)         	Cm(1)         	Cd(1)         	Cl(1)         	Cm(2)         	Cd(2)         	Cl(2)         	Cm(3)         	Cd(3)         	Cl(3)         	Cm(4)         	Cd(4)         	Cl(4)         	Cm(5)         	Cd(5)         	Cl(5)         	Cm(6)         	Cd(6)         	Cl(6)         	Cm(7)         	Cd(7)         	Cl(7)         	Cm(8)         	Cd(8)         	Cl(8)         	Cm(9)         	Cd(9)         	Cl(9)         	Cm(10)        	Cd(10)        	Cl(10)        	Cm(11)        	Cd(11)        	Cl(11)        	Cm(12)        	Cd(12)        	Cl(12)        	Cm(13)        	Cd(13)        	Cl(13)        	Cm(14)        	Cd(14)        	Cl(14)        	Cm(15)        	Cd(15)        	Cl(15)        	Cm(16)        	Cd(16)        	Cl(16)        	Cm(17)        	Cd(17)        	Cl(17)        	Cm(18)        	Cd(18)        	Cl(18)        	Cm(19)        	Cd(19)        	Cl(19)        	Cm(20)        	Cd(20)        	Cl(20)        	Cm(21)        	Cd(21)        	Cl(21)        	Cm(22)        	Cd(22)        	Cl(22)        	Cm(23)        	Cd(23)        	Cl(23)        	Cm(24)        	Cd(24)        	Cl(24)        	Cm(25)        	Cd(25)        	Cl(25)        	Cm(26)        	Cd(26)        	Cl(26)        	Cm(27)        	Cd(27)        	Cl(27)        	Cm(28)        	Cd(28)        	Cl(28)        	Cm(29)        	Cd(29)        	Cl(29)        	Cm(30)        	Cd(30)        	Cl(30)        
0             	-5.265311e-05	3.326279e-01	1.012315e-04	-9.608516e-05	5.459649e-01	1.223026e-04	-2.263703e-04	7.539993e-01	4.502266e-05	-2.603902e-04	9.591344e-01	1.955241e-04	-2.553991e-04	1.124036e+00	3.352137e-04	-2.683902e-04	1.294762e+00	4.409293e-04	-2.509550e-04	1.492337e+00	5.421699e-04	-2.328330e-04	1.706502e+00	6.072792e-04	-2.212250e-04	1.811867e+00	6.248017e-04	-1.128916e-04	2.020730e+00	6.340911e-04	-8.376021e-06	2.226739e+00	6.103570e-04	4.098381e-05	2.328879e+00	5.891595e-04	1.544895e-05	2.529390e+00	5.598391e-04	-5.058837e-05	2.725257e+00	5.363296e-04	-5.212007e-05	2.914621e+00	4.915892e-04	-2.477967e-05	3.008529e+00	4.567563e-04	-3.242333e-05	3.193554e+00	4.176276e-04	-1.216879e-04	3.375557e+00	4.306711e-04	-6.973275e-05	3.553951e+00	3.541211e-04	-6.483148e-05	3.728788e+00	3.176866e-04	-4.627807e-05	3.900768e+00	2.684283e-04	-8.503299e-05	4.068171e+00	2.984211e-04	-7.591956e-05	4.232243e+00	2.584938e-04	-9.407699e-05	4.471153e+00	2.812457e-04	-1.068536e-04	4.627165e+00	3.258425e-04	-1.126835e-04	4.779538e+00	3.525432e-04	-1.154083e-04	4.928349e+00	3.609042e-04	-1.183645e-04	5.148953e+00	3.753037e-04	-1.146680e-04	5.291506e+00	3.897112e-04	-1.024907e-04	5.498950e+00	4.160908e-04	-7.853389e-05	5.700087e+00	4.517474e-04
1             	6.511317e-04	5.606858e+00	-7.332206e-03	5.645781e-04	6.465413e+00	-6.049295e-03	-1.112864e-03	6.998898e+00	5.490768e-03	-2.977524e-03	7.356593e+00	2.156628e-02	-4.150902e-03	7.562990e+00	3.479461e-02	-4.902149e-03	7.723497e+00	4.655664e-02	-5.212220e-03	7.865413e+00	5.601295e-02	-5.190917e-03	7.992200e+00	6.236535e-02	-5.122460e-03	8.048431e+00	6.443265e-02	-4.936461e-03	8.152998e+00	6.700474e-02	-4.816889e-03	8.253425e+00	6.788909e-02	-4.813892e-03	8.303566e+00	6.774217e-02	-5.037511e-03	8.405154e+00	6.627681e-02	-5.517060e-03	8.510361e+00	6.373705e-02	-6.203913e-03	8.620300e+00	6.052865e-02	-6.601689e-03	8.678021e+00	5.881449e-02	-7.557545e-03	8.798841e+00	5.520693e-02	-8.611682e-03	8.927301e+00	5.178384e-02	-9.596590e-03	9.063190e+00	4.874058e-02	-1.053732e-02	9.206178e+00	4.614252e-02	-1.134751e-02	9.355880e+00	4.406777e-02	-1.204581e-02	9.510928e+00	4.247478e-02	-1.251454e-02	9.670649e+00	4.142786e-02	-1.293090e-02	9.916458e+00	4.060548e-02	-1.300027e-02	1.008300e+01	4.049780e-02	-1.288610e-02	1.024958e+01	4.071668e-02	-1.263042e-02	1.041485e+01	4.115469e-02	-1.203368e-02	1.065769e+01	4.211220e-02	-1.147281e-02	1.081241e+01	4.296528e-02	-1.038749e-02	1.102761e+01	4.453436e-02	-9.183294e-03	1.121031e+01	4.618388e-02
2             	-1.171012e-03	1.876221e+00	4.159436e-03	-3.105861e-03	2.198372e+00	1.456845e-02	-5.900278e-03	2.429533e+00	3.221120e-02	-8.367401e-03	2.591292e+00	5.158246e-02	-9.642701e-03	2.685408e+00	6.465405e-02	-1.033063e-02	2.759128e+00	7.453097e-02	-1.060584e-02	2.825955e+00	8.182589e-02	-1.061305e-02	2.888680e+00	8.634948e-02	-1.057449e-02	2.917979e+00	8.766173e-02	-1.048254e-02	2.975663e+00	8.897493e-02	-1.046049e-02	3.036058e+00	8.894476e-02	-1.049666e-02	3.067979e+00	8.850932e-02	-1.069473e-02	3.134674e+00	8.709024e-02	-1.102308e-02	3.207018e+00	8.535747e-02	-1.139219e-02	3.284297e+00	8.356771e-02	-1.158055e-02	3.325215e+00	8.272754e-02	-1.193993e-02	3.411431e+00	8.134887e-02	-1.225331e-02	3.502863e+00	8.031439e-02	-1.242662e-02	3.599044e+00	7.970935e-02	-1.248883e-02	3.699622e+00	7.948438e-02	-1.241893e-02	3.803475e+00	7.962901e-02	-1.222443e-02	3.909770e+00	8.010794e-02	-1.190331e-02	4.018033e+00	8.078524e-02	-1.126917e-02	4.180538e+00	8.206575e-02	-1.071923e-02	4.288490e+00	8.311625e-02	-1.017667e-02	4.394555e+00	8.408627e-02	-9.637096e-03	4.497584e+00	8.499538e-02	-8.678944e-03	4.644962e+00	8.653492e-02	-8.072237e-03	4.735929e+00	8.745632e-02	-7.207835e-03	4.856802e+00	8.870708e-02	-6.637740e-03	4.951211e+00	8.949087e-02
3             	-1.929630e-03	-2.244154e+00	1.094581e-02	-3.413415e-03	-2.527079e+00	1.823208e-02	-5.021562e-03	-2.695564e+00	2.708857e-02	-6.098863e-03	-2.795564e+00	3.384972e-02	-6.389397e-03	-2.839738e+00	3.549560e-02	-6.390350e-03	-2.858874e+00	3.428868e-02	-6.328976e-03	-2.856350e+00	3.148317e-02	-6.346658e-03	-2.836828e+00	2.746855e-02	-6.407587e-03	-2.822718e+00	2.534272e-02	-6.616762e-03	-2.788230e+00	2.131969e-02	-6.912641e-03	-2.747042e+00	1.785499e-02	-7.076272e-03	-2.724715e+00	1.637669e-02	-7.370410e-03	-2.678940e+00	1.425693e-02	-7.546666e-03	-2.632346e+00	1.329886e-02	-7.497049e-03	-2.587209e+00	1.345541e-02	-7.385618e-03	-2.565353e+00	1.387765e-02	-6.950790e-03	-2.523651e+00	1.547716e-02	-6.296596e-03	-2.485579e+00	1.763917e-02	-5.441945e-03	-2.451629e+00	2.014781e-02	-4.463901e-03	-2.422004e+00	2.277966e-02	-3.423694e-03	-2.397243e+00	2.537134e-02	-2.379646e-03	-2.377395e+00	2.781354e-02	-1.400753e-03	-2.362217e+00	2.992670e-02	-1.231754e-04	-2.349216e+00	3.249685e-02	5.980440e-04	-2.346129e+00	3.385779e-02	1.126714e-03	-2.347468e+00	3.479836e-02	1.489866e-03	-2.353046e+00	3.540858e-02	1.926555e-03	-2.368029e+00	3.611276e-02	2.063831e-03	-2.382302e+00	3.632105e-02	2.086901e-03	-2.409866e+00	3.635550e-02	1.815150e-03	-2.444735e+00	3.598535e-02
4             	-1.440635e-03	-5.480638e+00	1.026203e-02	-2.077395e-03	-5.909549e+00	1.295846e-02	-2.219639e-03	-6.186105e+00	1.238175e-02	-1.476523e-03	-6.360643e+00	4.815722e-03	-6.767131e-04	-6.444990e+00	-4.630815e-03	-5.427488e-05	-6.491697e+00	-1.472855e-02	2.965100e-04	-6.509503e+00	-2.509337e-02	2.930232e-04	-6.505274e+00	-3.546602e-02	1.650613e-04	-6.497346e+00	-4.008761e-02	-2.547903e-04	-6.474387e+00	-4.791256e-02	-7.821995e-04	-6.445889e+00	-5.383550e-02	-1.044440e-03	-6.430877e+00	-5.609458e-02	-1.473820e-03	-6.401863e+00	-5.910793e-02	-1.686717e-03	-6.375935e+00	-6.027819e-02	-1.611427e-03	-6.355325e+00	-5.995401e-02	-1.468223e-03	-6.347324e+00	-5.937077e-02	-9.715516e-04	-6.336453e+00	-5.751160e-02	-2.644736e-04	-6.333038e+00	-5.515778e-02	5.741889e-04	-6.337246e+00	-5.265505e-02	1.454408e-03	-6.348971e+00	-5.025981e-02	2.314167e-03	-6.368122e+00	-4.810173e-02	3.110376e-03	-6.394255e+00	-4.623896e-02	3.756097e-03	-6.426729e+00	-4.483860e-02	4.472114e-03	-6.486520e+00	-4.339423e-02	4.785789e-03	-6.532323e+00	-4.280097e-02	4.912074e-03	-6.582030e+00	-4.257527e-02	4.903412e-03	-6.634803e+00	-4.259168e-02	4.838328e-03	-6.717325e+00	-4.269268e-02	4.694762e-03	-6.773300e+00	-4.291094e-02	4.404957e-03	-6.856347e+00	-4.332999e-02	3.987412e-03	-6.935601e+00	-4.390106e-02
5             	1.130678e-02	-2.760700e+00	-4.765711e-02	1.231636e-02	-2.897382e+00	-5.313290e-02	1.319814e-02	-2.982406e+00	-5.909960e-02	1.478745e-02	-3.030930e+00	-7.183757e-02	1.592837e-02	-3.050813e+00	-8.351824e-02	1.663162e-02	-3.058169e+00	-9.359755e-02	1.698882e-02	-3.055304e+00	-1.029803e-01	1.700835e-02	-3.044658e+00	-1.120324e-01	1.690759e-02	-3.037517e+00	-1.158391e-01	1.658198e-02	-3.021664e+00	-1.219284e-01	1.619429e-02	-3.005396e+00	-1.262264e-01	1.601177e-02	-2.997672e+00	-1.277691e-01	1.571293e-02	-2.984089e+00	-1.298253e-01	1.554804e-02	-2.973549e+00	-1.307030e-01	1.551883e-02	-2.966687e+00	-1.308187e-01	1.554604e-02	-2.964647e+00	-1.306973e-01	1.562077e-02	-2.963328e+00	-1.303906e-01	1.571479e-02	-2.965687e+00	-1.300562e-01	1.576398e-02	-2.971467e+00	-1.298913e-01	1.572117e-02	-2.980364e+00	-1.299946e-01	1.558066e-02	-2.992132e+00	-1.303337e-01	1.534413e-02	-3.006402e+00	-1.308693e-01	1.501606e-02	-3.022772e+00	-1.315739e-01	1.441988e-02	-3.050727e+00	-1.327590e-01	1.397739e-02	-3.070896e+00	-1.335787e-01	1.353675e-02	-3.091892e+00	-1.343570e-01	1.313773e-02	-3.113348e+00	-1.350303e-01	1.263023e-02	-3.145449e+00	-1.358388e-01	1.235983e-02	-3.166370e+00	-1.362486e-01	1.206591e-02	-3.196502e+00	-1.366736e-01	1.182365e-02	-3.225818e+00	-1.370053e-01
6             	7.824934e-03	1.028656e+00	-3.592338e-02	9.928012e-03	1.212235e+00	-4.663664e-02	1.091365e-02	1.339292e+00	-5.222111e-02	1.193654e-02	1.429069e+00	-5.929535e-02	1.244132e-02	1.478994e+00	-6.360989e-02	1.265540e-02	1.514016e+00	-6.590528e-02	1.275680e-02	1.539781e+00	-6.784637e-02	1.277945e-02	1.558764e+00	-6.996485e-02	1.276566e-02	1.566091e+00	-7.065181e-02	1.273425e-02	1.577514e+00	-7.132551e-02	1.272726e-02	1.586034e+00	-7.140573e-02	1.273998e-02	1.589593e+00	-7.129368e-02	1.278025e-02	1.595848e+00	-7.100416e-02	1.282407e-02	1.601854e+00	-7.073558e-02	1.282051e-02	1.608435e+00	-7.073529e-02	1.278819e-02	1.612200e+00	-7.086490e-02	1.259488e-02	1.621064e+00	-7.157015e-02	1.226823e-02	1.631994e+00	-7.264316e-02	1.179928e-02	1.645297e+00	-7.403358e-02	1.120601e-02	1.661120e+00	-7.564204e-02	1.053173e-02	1.679445e+00	-7.732461e-02	9.814548e-03	1.700217e+00	-7.898286e-02	9.127734e-03	1.723292e+00	-8.046738e-02	8.199686e-03	1.761602e+00	-8.232266e-02	7.679737e-03	1.789275e+00	-8.328877e-02	7.308227e-03	1.818230e+00	-8.394491e-02	7.091678e-03	1.848057e+00	-8.430945e-02	6.946156e-03	1.893437e+00	-8.454107e-02	6.997921e-03	1.923241e+00	-8.446221e-02	7.235997e-03	1.965226e+00	-8.411853e-02	7.556414e-03	1.999215e+00	-8.368022e-02
7             	-2.522778e-02	4.366762e+00	1.027291e-01	-2.415588e-02	4.599873e+00	9.754391e-02	-2.442214e-02	4.744978e+00	9.975969e-02	-2.491133e-02	4.835583e+00	1.042296e-01	-2.548744e-02	4.880669e+00	1.104534e-01	-2.591937e-02	4.909600e+00	1.168450e-01	-2.611575e-02	4.929347e+00	1.220617e-01	-2.611916e-02	4.943417e+00	1.261719e-01	-2.606814e-02	4.948898e+00	1.280274e-01	-2.588704e-02	4.958182e+00	1.313219e-01	-2.565177e-02	4.967029e+00	1.338741e-01	-2.553090e-02	4.971788e+00	1.348693e-01	-2.531751e-02	4.982675e+00	1.363011e-01	-2.518360e-02	4.996252e+00	1.370143e-01	-2.517095e-02	5.013217e+00	1.370459e-01	-2.521623e-02	5.023123e+00	1.368440e-01	-2.541596e-02	5.045911e+00	1.360793e-01	-2.571707e-02	5.072616e+00	1.350627e-01	-2.607728e-02	5.103108e+00	1.339750e-01	-2.643789e-02	5.137112e+00	1.329833e-01	-2.675882e-02	5.174245e+00	1.321722e-01	-2.701092e-02	5.214105e+00	1.315834e-01	-2.713925e-02	5.256230e+00	1.313021e-01	-2.713288e-02	5.322478e+00	1.313121e-01	-2.700049e-02	5.367934e+00	1.315602e-01	-2.674288e-02	5.413732e+00	1.320170e-01	-2.639344e-02	5.459235e+00	1.326070e-01	-2.580136e-02	5.525436e+00	1.335523e-01	-2.534867e-02	5.567037e+00	1.342384e-01	-2.466828e-02	5.623065e+00	1.352214e-01	-2.405573e-02	5.666048e+00	1.360598e-01
8             	-8.243691e-03	3.425443e+00	3.515047e-02	-1.156107e-02	3.446209e+00	5.254331e-02	-1.416362e-02	3.442619e+00	6.836371e-02	-1.616889e-02	3.423544e+00	8.329303e-02	-1.747272e-02	3.406874e+00	9.568846e-02	-1.823166e-02	3.394150e+00	1.055261e-01	-1.855285e-02	3.387066e+00	1.127148e-01	-1.858787e-02	3.386858e+00	1.182152e-01	-1.853396e-02	3.389116e+00	1.204224e-01	-1.835119e-02	3.397579e+00	1.238270e-01	-1.814665e-02	3.410985e+00	1.259897e-01	-1.805457e-02	3.419387e+00	1.267071e-01	-1.789580e-02	3.439213e+00	1.276960e-01	-1.778198e-02	3.462661e+00	1.282361e-01	-1.769630e-02	3.489143e+00	1.285562e-01	-1.765604e-02	3.503321e+00	1.286901e-01	-1.752360e-02	3.533113e+00	1.291302e-01	-1.729532e-02	3.564207e+00	1.298424e-01	-1.692568e-02	3.595983e+00	1.309142e-01	-1.637457e-02	3.627879e+00	1.323891e-01	-1.565436e-02	3.659396e+00	1.341735e-01	-1.478837e-02	3.690147e+00	1.361711e-01	-1.380130e-02	3.719780e+00	1.383002e-01	-1.221249e-02	3.761404e+00	1.414761e-01	-1.113671e-02	3.786906e+00	1.434813e-01	-1.008364e-02	3.810312e+00	1.453451e-01	-9.099899e-03	3.831366e+00	1.470041e-01	-7.783245e-03	3.857979e+00	1.491054e-01	-7.022048e-03	3.871967e+00	1.502580e-01	-6.110281e-03	3.886186e+00	1.515753e-01	-5.519262e-03	3.889203e+00	1.523851e-01
9             	2.727618e-02	2.318169e-01	-1.179618e-01	2.574285e-02	4.338483e-02	-1.101761e-01	2.487600e-02	-9.685240e-02	-1.055907e-01	2.437003e-02	-2.067519e-01	-1.028140e-01	2.413313e-02	-2.695606e-01	-1.015756e-01	2.414824e-02	-3.112400e-01	-1.029876e-01	2.423035e-02	-3.363666e-01	-1.064649e-01	2.420964e-02	-3.459294e-01	-1.110308e-01	2.413750e-02	-3.457242e-01	-1.134956e-01	2.384421e-02	-3.380517e-01	-1.187950e-01	2.334169e-02	-3.229646e-01	-1.243473e-01	2.302378e-02	-3.133997e-01	-1.270585e-01	2.231273e-02	-2.915408e-01	-1.320091e-01	2.156860e-02	-2.674580e-01	-1.361718e-01	2.088635e-02	-2.426589e-01	-1.393726e-01	2.059361e-02	-2.304026e-01	-1.405953e-01	2.017476e-02	-2.068708e-01	-1.421902e-01	1.998854e-02	-1.854072e-01	-1.428330e-01	2.003368e-02	-1.666462e-01	-1.427147e-01	2.029188e-02	-1.510185e-01	-1.420241e-01	2.070724e-02	-1.387886e-01	-1.409924e-01	2.122428e-02	-1.300543e-01	-1.397976e-01	2.177989e-02	-1.248375e-01	-1.385974e-01	2.259376e-02	-1.235343e-01	-1.369684e-01	2.307935e-02	-1.268133e-01	-1.360628e-01	2.347657e-02	-1.332287e-01	-1.353595e-01	2.376216e-02	-1.426061e-01	-1.348779e-01	2.403953e-02	-1.617787e-01	-1.344344e-01	2.412730e-02	-1.776829e-01	-1.343017e-01	2.415414e-02	-2.059549e-01	-1.342630e-01	2.409082e-02	-2.404393e-01	-1.343496e-01
