# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00
2             	4.055726e-01	5.746701e-02	6.371674e-01
3             	7.703751e-01	4.418754e-03	2.109844e-01
4             	1.713036e-01	2.856655e-03	1.297554e-01
5             	1.785030e-01	8.589312e-03	2.489139e-01
6             	2.841282e-01	9.258249e-03	1.609891e-01
7             	3.303546e-01	8.982956e-03	1.972990e-01
8             	2.137172e-01	5.965240e-03	1.740677e-01
9             	6.189992e-01	2.372233e-03	9.211533e-02
10            	2.185859e-01	2.534282e-03	7.116330e-02
11            	1.378493e-01	3.520834e-03	1.089424e-01
12            	1.299331e-01	3.034495e-03	9.006725e-02
13            	4.360072e-01	2.319503e-03	7.568506e-02
14            	6.915984e-01	1.874496e-03	8.594392e-02
15            	5.702914e-01	1.481962e-03	6.801763e-02
16            	2.785524e-01	1.358060e-03	6.480177e-02
17            	2.268461e-01	1.128073e-03	5.690303e-02
18            	3.048718e-01	9.731363e-04	5.909735e-02
19            	4.561659e-01	9.176009e-04	5.180932e-02
20            	3.506963e-01	7.792906e-04	4.016037e-02
21            	2.500096e-01	6.331708e-04	4.218191e-02
22            	2.241910e-01	5.483752e-04	4.606135e-02
23            	2.130346e-01	5.403308e-04	4.428853e-02
24            	2.300005e-01	5.370828e-04	4.216258e-02
25            	2.420817e-01	5.061271e-04	3.400009e-02
26            	1.987492e-01	4.345001e-04	2.906578e-02
27            	1.545124e-01	3.714856e-04	3.510989e-02
28            	1.549218e-01	3.765640e-04	3.838174e-02
29            	1.720797e-01	3.998104e-04	3.612331e-02
30            	1.647839e-01	3.967282e-04	3.305858e-02
31            	1.326382e-01	3.535163e-04	3.061384e-02
32            	1.107738e-01	3.191278e-04	3.252542e-02
33            	1.080251e-01	3.277838e-04	3.550496e-02
34            	1.133645e-01	3.541753e-04	3.610512e-02
35            	1.094347e-01	3.597327e-04	3.426464e-02
36            	1.008255e-01	3.443378e-04	3.491034e-02
37            	8.908895e-02	3.376590e-04	3.577641e-02
38            	8.133632e-02	3.387426e-04	3.885849e-02
39            	7.728998e-02	3.647264e-04	4.032593e-02
40            	7.801170e-02	3.799693e-04	4.119342e-02
41            	7.713679e-02	4.024921e-04	4.219190e-02
42            	7.378184e-02	4.127768e-04	4.356367e-02
43            	6.895584e-02	4.223108e-04	4.493014e-02
44            	6.534322e-02	4.240827e-04	4.619785e-02
45            	6.470568e-02	4.354461e-04	4.571527e-02
46            	6.451392e-02	4.559324e-04	4.539200e-02
47            	6.448106e-02	4.725544e-04	4.647978e-02
48            	6.216864e-02	4.927466e-04	4.698597e-02
49            	6.037228e-02	5.053944e-04	4.710168e-02
50            	5.888718e-02	5.195322e-04	4.686327e-02
51            	5.879972e-02	5.187341e-04	4.633944e-02
52            	5.730015e-02	5.209399e-04	4.572936e-02
53            	5.770498e-02	5.301514e-04	4.506647e-02
54            	5.861593e-02	5.284865e-04	4.415129e-02
55            	5.704081e-02	5.278142e-04	4.244732e-02
56            	5.574467e-02	5.267777e-04	4.044740e-02
57            	5.507117e-02	5.405758e-04	3.898249e-02
58            	5.550829e-02	5.272702e-04	3.753121e-02
59            	5.406392e-02	4.989578e-04	3.566201e-02
60            	5.267983e-02	4.874661e-04	3.355086e-02
61            	5.098679e-02	4.924747e-04	3.197438e-02
62            	5.091228e-02	4.879716e-04	3.036192e-02
63            	4.898240e-02	4.592227e-04	2.795342e-02
64            	4.587457e-02	4.507716e-04	2.574125e-02
65            	4.416950e-02	4.571294e-04	2.424193e-02
66            	4.453144e-02	4.443463e-04	2.334136e-02
67            	4.315959e-02	4.127593e-04	2.168947e-02
68            	4.126917e-02	3.938846e-04	1.968489e-02
69            	4.006108e-02	4.008030e-04	1.833361e-02
70            	3.974037e-02	3.919573e-04	1.731648e-02
71            	3.956106e-02	3.612061e-04	1.565306e-02
72            	3.865488e-02	3.468495e-04	1.412182e-02
73            	3.752221e-02	3.469284e-04	1.370049e-02
74            	3.772689e-02	3.327002e-04	1.301948e-02
75            	3.803750e-02	3.138825e-04	1.205014e-02
76            	3.747645e-02	3.007277e-04	1.096574e-02
77            	3.634080e-02	2.926758e-04	1.076738e-02
78            	3.681042e-02	2.809718e-04	1.031883e-02
79            	3.648724e-02	2.652401e-04	9.886309e-03
80            	3.572076e-02	2.551777e-04	8.888720e-03
81            	3.419609e-02	2.504090e-04	8.669034e-03
82            	3.462767e-02	2.419299e-04	8.146964e-03
83            	3.388645e-02	2.298775e-04	7.892204e-03
84            	3.276394e-02	2.217754e-04	7.284639e-03
85            	3.125144e-02	2.136527e-04	7.262570e-03
86            	3.177543e-02	2.038077e-04	6.928352e-03
87            	3.088223e-02	1.941686e-04	6.969762e-03
88            	2.971826e-02	1.868343e-04	6.615859e-03
89            	2.823445e-02	1.806669e-04	6.625126e-03
90            	2.868643e-02	1.737196e-04	6.093167e-03
91            	2.746306e-02	1.661607e-04	6.088726e-03
92            	2.606088e-02	1.603761e-04	5.685401e-03
93            	2.474133e-02	1.538331e-04	5.626105e-03
94            	2.492466e-02	1.470952e-04	5.244537e-03
95            	2.377859e-02	1.410588e-04	5.304145e-03
96            	2.247768e-02	1.349905e-04	5.032815e-03
97            	2.141968e-02	1.293260e-04	5.060415e-03
98            	2.146772e-02	1.241237e-04	4.677785e-03
99            	2.022451e-02	1.189675e-04	4.706398e-03
100           	1.925407e-02	1.143529e-04	4.431275e-03
101           	1.846410e-02	1.101173e-04	4.261136e-03
102           	1.834177e-02	1.051304e-04	3.892009e-03
103           	1.733877e-02	1.009522e-04	4.042512e-03
104           	1.674917e-02	9.603310e-05	3.901397e-03
105           	1.604377e-02	9.165368e-05	3.899752e-03
106           	1.602095e-02	8.691907e-05	3.537290e-03
107           	1.520923e-02	8.345459e-05	3.591062e-03
108           	1.467213e-02	8.032141e-05	3.530446e-03
109           	1.396029e-02	7.695587e-05	3.409133e-03
110           	1.373663e-02	7.304627e-05	3.063425e-03
111           	1.306796e-02	7.097386e-05	3.039234e-03
112           	1.252109e-02	6.817002e-05	3.044444e-03
113           	1.180962e-02	6.380081e-05	2.903906e-03
114           	1.145977e-02	5.992545e-05	2.602082e-03
115           	1.094599e-02	5.905645e-05	2.559869e-03
116           	1.045935e-02	5.610414e-05	2.599290e-03
117           	9.820606e-03	5.166876e-05	2.491023e-03
118           	9.433909e-03	4.834348e-05	2.259546e-03
119           	9.060927e-03	4.781372e-05	2.142770e-03
120           	8.678790e-03	4.545476e-05	2.170908e-03
121           	8.157048e-03	4.211670e-05	2.090482e-03
122           	7.791376e-03	3.965682e-05	1.927301e-03
123           	7.543627e-03	3.953326e-05	1.783916e-03
124           	7.321395e-03	3.785029e-05	1.766064e-03
125           	6.808209e-03	3.449471e-05	1.736706e-03
126           	6.552148e-03	3.208339e-05	1.608472e-03
127           	6.219373e-03	3.129907e-05	1.547176e-03
128           	6.091905e-03	2.989997e-05	1.465718e-03
129           	5.697135e-03	2.733803e-05	1.511324e-03
130           	5.453986e-03	2.606848e-05	1.365102e-03
131           	5.118198e-03	2.594473e-05	1.329071e-03
132           	4.930045e-03	2.552491e-05	1.243790e-03
133           	4.684046e-03	2.407570e-05	1.185500e-03
134           	4.404570e-03	2.296324e-05	1.135007e-03
135           	4.148377e-03	2.263224e-05	1.045407e-03
136           	3.853780e-03	2.163136e-05	1.009440e-03
137           	3.692608e-03	2.042616e-05	9.500498e-04
138           	3.450780e-03	1.932604e-05	9.554200e-04
139           	3.260415e-03	1.880536e-05	8.700814e-04
140           	3.027137e-03	1.861658e-05	8.214482e-04
141           	2.801263e-03	1.820555e-05	7.770967e-04
142           	2.644612e-03	1.774968e-05	7.268138e-04
143           	2.467862e-03	1.725010e-05	6.759466e-04
144           	2.316399e-03	1.707946e-05	6.060568e-04
145           	2.136701e-03	1.680536e-05	5.792905e-04
146           	1.965265e-03	1.608584e-05	5.488520e-04
147           	1.844258e-03	1.546859e-05	5.228094e-04
148           	1.723746e-03	1.522107e-05	5.011145e-04
149           	1.625076e-03	1.490474e-05	4.535938e-04
150           	1.500020e-03	1.457514e-05	4.292530e-04
151           	1.381068e-03	1.416050e-05	3.936013e-04
152           	1.301822e-03	1.401739e-05	3.691801e-04
153           	1.214345e-03	1.385496e-05	3.489031e-04
154           	1.159480e-03	1.369429e-05	3.154034e-04
155           	1.080866e-03	1.346440e-05	3.074574e-04
156           	9.887738e-04	1.326505e-05	2.954799e-04
157           	9.309355e-04	1.311771e-05	2.781851e-04
158           	8.718830e-04	1.309912e-05	2.614057e-04
159           	8.260886e-04	1.296993e-05	2.371376e-04
160           	7.749149e-04	1.280936e-05	2.226431e-04
161           	7.172996e-04	1.263747e-05	2.094889e-04
162           	6.595524e-04	1.253116e-05	1.912369e-04
163           	6.149511e-04	1.240944e-05	1.810156e-04
164           	5.759935e-04	1.225618e-05	1.732525e-04
165           	5.396754e-04	1.213683e-05	1.658798e-04
166           	5.076735e-04	1.204770e-05	1.641592e-04
167           	4.676030e-04	1.192492e-05	1.564086e-04
168           	4.327384e-04	1.190228e-05	1.488702e-04
169           	3.946291e-04	1.189681e-05	1.423582e-04
170           	3.681843e-04	1.188675e-05	1.331970e-04
171           	3.416799e-04	1.179889e-05	1.230608e-04
172           	3.156741e-04	1.174646e-05	1.158088e-04
173           	2.855490e-04	1.166501e-05	1.097564e-04
174           	2.622293e-04	1.160765e-05	1.067922e-04
175           	2.381168e-04	1.154290e-05	1.061348e-04
176           	2.233611e-04	1.151338e-05	1.065994e-04
177           	2.065274e-04	1.143131e-05	1.066814e-04
178           	1.900257e-04	1.136815e-05	1.027130e-04
179           	1.726274e-04	1.130152e-05	9.853893e-05
180           	1.581642e-04	1.128928e-05	9.577873e-05
181           	1.432096e-04	1.125799e-05	9.302485e-05
182           	1.328747e-04	1.123071e-05	9.189004e-05
183           	1.221531e-04	1.117277e-05	9.024690e-05
184           	1.139462e-04	1.114332e-05	8.804240e-05
185           	1.046105e-04	1.110229e-05	8.562141e-05
186           	9.710217e-05	1.108497e-05	8.376678e-05
187           	8.832549e-05	1.103804e-05	8.143064e-05
188           	8.224980e-05	1.100554e-05	7.978858e-05
189           	7.589350e-05	1.095414e-05	7.808823e-05
190           	7.145173e-05	1.092478e-05	7.679445e-05
191           	6.566305e-05	1.088331e-05	7.540537e-05
192           	6.087410e-05	1.087665e-05	7.402838e-05
193           	5.539464e-05	1.085082e-05	7.320302e-05
194           	5.165135e-05	1.084004e-05	7.224102e-05
195           	4.873393e-05	1.080998e-05	7.064044e-05
196           	4.617867e-05	1.082344e-05	6.892824e-05
197           	4.282188e-05	1.079687e-05	6.731097e-05
198           	3.956872e-05	1.079400e-05	6.585476e-05
199           	3.663898e-05	1.078169e-05	6.451057e-05
200           	3.448324e-05	1.077484e-05	6.322967e-05
201           	3.267976e-05	1.075786e-05	6.183526e-05
202           	3.039939e-05	1.076317e-05	6.066118e-05
203           	2.744377e-05	1.075342e-05	5.925031e-05
204           	2.507718e-05	1.075862e-05	5.813822e-05
205           	2.326458e-05	1.075570e-05	5.701155e-05
206           	2.140275e-05	1.076595e-05	5.622678e-05
207           	2.063150e-05	1.075519e-05	5.520884e-05
208           	2.006528e-05	1.076262e-05	5.434979e-05
209           	1.916575e-05	1.075266e-05	5.345728e-05
210           	1.843541e-05	1.075932e-05	5.267750e-05
211           	1.755383e-05	1.074981e-05	5.172532e-05
212           	1.672857e-05	1.075215e-05	5.098318e-05
213           	1.625257e-05	1.074281e-05	5.003248e-05
214           	1.587202e-05	1.074628e-05	4.913802e-05
215           	1.579920e-05	1.073933e-05	4.838711e-05
216           	1.540638e-05	1.074428e-05	4.776673e-05
217           	1.491689e-05	1.073275e-05	4.714106e-05
218           	1.445862e-05	1.073294e-05	4.652593e-05
219           	1.416076e-05	1.071933e-05	4.570681e-05
220           	1.427718e-05	1.071994e-05	4.505534e-05
221           	1.384533e-05	1.070874e-05	4.436776e-05
222           	1.402090e-05	1.070898e-05	4.370612e-05
223           	1.385253e-05	1.069623e-05	4.294242e-05
224           	1.343850e-05	1.069419e-05	4.225850e-05
225           	1.316095e-05	1.067987e-05	4.165224e-05
226           	1.326025e-05	1.067664e-05	4.117519e-05
227           	1.278010e-05	1.066137e-05	4.071663e-05
228           	1.288361e-05	1.065738e-05	4.025414e-05
229           	1.269462e-05	1.064108e-05	3.945890e-05
230           	1.256017e-05	1.063578e-05	3.886626e-05
231           	1.228331e-05	1.061993e-05	3.854567e-05
232           	1.226860e-05	1.061466e-05	3.831702e-05
233           	1.188812e-05	1.059751e-05	3.778916e-05
234           	1.188036e-05	1.058942e-05	3.728782e-05
235           	1.182600e-05	1.056979e-05	3.671334e-05
236           	1.170201e-05	1.056145e-05	3.632879e-05
237           	1.152884e-05	1.054358e-05	3.602678e-05
238           	1.129387e-05	1.053524e-05	3.569940e-05
239           	1.116931e-05	1.051632e-05	3.538092e-05
240           	1.121616e-05	1.050761e-05	3.505206e-05
241           	1.094945e-05	1.048806e-05	3.469696e-05
242           	1.081766e-05	1.047929e-05	3.435533e-05
243           	1.059449e-05	1.045972e-05	3.404802e-05
244           	1.066427e-05	1.045088e-05	3.378302e-05
245           	1.052109e-05	1.043227e-05	3.337873e-05
246           	1.044479e-05	1.042343e-05	3.304257e-05
247           	1.022723e-05	1.040637e-05	3.272553e-05
248           	1.020033e-05	1.039913e-05	3.246627e-05
249           	1.021183e-05	1.039056e-05	3.243499e-05
250           	1.023661e-05	1.038167e-05	3.216117e-05
251           	1.025647e-05	1.036261e-05	3.183628e-05
252           	1.035903e-05	1.035590e-05	3.163443e-05
253           	1.019312e-05	1.034530e-05	3.146800e-05
254           	1.058350e-05	1.036494e-05	3.164673e-05
255           	1.002345e-05	1.034830e-05	3.114246e-05
256           	1.006572e-05	1.034421e-05	3.074388e-05
257           	1.035271e-05	1.033623e-05	3.047446e-05
258           	1.034035e-05	1.034324e-05	3.039815e-05
259           	1.062583e-05	1.035578e-05	3.065696e-05
260           	1.039082e-05	1.035432e-05	3.031861e-05
261           	9.993846e-06	1.034448e-05	3.011813e-05
262           	1.022146e-05	1.035449e-05	3.025160e-05
263           	1.018019e-05	1.034531e-05	2.992618e-05
264           	1.039355e-05	1.035854e-05	2.992470e-05
265           	1.023338e-05	1.034895e-05	2.960598e-05
266           	1.018699e-05	1.035747e-05	2.987664e-05
267           	1.012659e-05	1.034598e-05	2.940600e-05
268           	1.026811e-05	1.034682e-05	2.890722e-05
269           	1.028437e-05	1.034361e-05	2.858951e-05
270           	1.056415e-05	1.035653e-05	2.864365e-05
271           	1.025938e-05	1.034945e-05	2.840869e-05
272           	1.017370e-05	1.034962e-05	2.820254e-05
273           	1.013615e-05	1.034295e-05	2.797267e-05
274           	1.003615e-05	1.034722e-05	2.777133e-05
275           	9.957589e-06	1.034156e-05	2.755754e-05
276           	1.002477e-05	1.034152e-05	2.712204e-05
277           	9.990886e-06	1.033727e-05	2.697784e-05
278           	9.943414e-06	1.033850e-05	2.657754e-05
279           	9.809471e-06	1.033203e-05	2.632461e-05
280           	9.888533e-06	1.033210e-05	2.607486e-05
281           	9.838078e-06	1.032418e-05	2.587127e-05
282           	9.956611e-06	1.032385e-05	2.546093e-05
283           	9.831198e-06	1.031568e-05	2.519211e-05
284           	1.002613e-05	1.031683e-05	2.493066e-05
285           	9.976061e-06	1.030816e-05	2.463293e-05
286           	1.007468e-05	1.030869e-05	2.447953e-05
287           	1.001678e-05	1.029998e-05	2.430337e-05
288           	9.841398e-06	1.029866e-05	2.385128e-05
289           	9.860540e-06	1.028830e-05	2.354632e-05
290           	1.001848e-05	1.028850e-05	2.344176e-05
291           	9.652414e-06	1.027867e-05	2.341973e-05
292           	9.726737e-06	1.027605e-05	2.312230e-05
293           	9.451410e-06	1.026420e-05	2.285884e-05
294           	9.572660e-06	1.026232e-05	2.276240e-05
295           	9.455309e-06	1.025136e-05	2.256250e-05
296           	9.265930e-06	1.025011e-05	2.247065e-05
297           	9.117533e-06	1.023822e-05	2.211902e-05
298           	8.955338e-06	1.023520e-05	2.183630e-05
299           	8.650340e-06	1.022240e-05	2.155840e-05
300           	8.585439e-06	1.021947e-05	2.141443e-05
301           	8.305493e-06	1.020729e-05	2.121818e-05
302           	8.089009e-06	1.020559e-05	2.114607e-05
303           	8.089047e-06	1.019373e-05	2.106360e-05
304           	8.909746e-06	1.019102e-05	2.099773e-05
305           	9.105365e-06	1.018028e-05	2.073616e-05
306           	8.685563e-06	1.017704e-05	2.066104e-05
307           	8.938291e-06	1.016597e-05	2.044256e-05
308           	8.994499e-06	1.016426e-05	2.025202e-05
309           	8.823660e-06	1.015364e-05	2.007835e-05
310           	9.050091e-06	1.015155e-05	1.998513e-05
311           	9.135873e-06	1.013878e-05	1.982126e-05
312           	9.280277e-06	1.013726e-05	1.986177e-05
313           	9.134364e-06	1.012684e-05	1.985793e-05
314           	9.378018e-06	1.012719e-05	1.997474e-05
315           	9.389892e-06	1.011776e-05	1.968855e-05
316           	9.405363e-06	1.011921e-05	1.962613e-05
317           	9.364170e-06	1.011330e-05	1.960672e-05
318           	9.570725e-06	1.011741e-05	1.965940e-05
319           	9.512388e-06	1.011287e-05	1.971375e-05
320           	9.592852e-06	1.011323e-05	1.965701e-05
321           	9.698788e-06	1.010342e-05	1.943709e-05
322           	9.951824e-06	1.010535e-05	1.946518e-05
323           	1.014040e-05	1.010389e-05	1.956661e-05
324           	1.024747e-05	1.011165e-05	1.965996e-05
325           	1.026043e-05	1.010598e-05	1.955221e-05
326           	1.018657e-05	1.010949e-05	1.960549e-05
327           	1.011926e-05	1.010238e-05	1.952888e-05
328           	1.004182e-05	1.010378e-05	1.940511e-05
329           	9.976972e-06	1.009872e-05	1.941844e-05
330           	1.012826e-05	1.010465e-05	1.948570e-05
331           	9.799207e-06	1.009929e-05	1.936699e-05
332           	9.728736e-06	1.010511e-05	1.949811e-05
333           	9.590147e-06	1.009688e-05	1.927592e-05
334           	9.463396e-06	1.009762e-05	1.899169e-05
335           	9.440057e-06	1.009336e-05	1.901857e-05
336           	9.354603e-06	1.009638e-05	1.905183e-05
337           	9.350856e-06	1.009096e-05	1.899966e-05
338           	9.411148e-06	1.009401e-05	1.888600e-05
