"p","U:0","U:1","U:2","Cp","Points:0","Points:1","Points:2"
99509,0,0,0,-0.377,0.20522,0.057258,0
99512,0,0,0,-0.37454,0.215,0.057714,0
99512,0,0,0,-0.37454,0.215,0.057714,0.01
99509,0,0,0,-0.377,0.20522,0.057258,0.01
99519,0,0,0,-0.36947,0.22474,0.058107,0
99519,0,0,0,-0.36947,0.22474,0.058107,0.01
99525,0,0,0,-0.36422,0.23443,0.058441,0
99525,0,0,0,-0.36422,0.23443,0.058441,0.01
99532,0,0,0,-0.35896,0.24408,0.058719,0
99532,0,0,0,-0.35896,0.24408,0.058719,0.01
99539,0,0,0,-0.35378,0.25368,0.058946,0
99539,0,0,0,-0.35378,0.25368,0.058946,0.01
99546,0,0,0,-0.34864,0.26323,0.059124,0
99546,0,0,0,-0.34864,0.26323,0.059124,0.01
99552,0,0,0,-0.34354,0.27274,0.059256,0
99552,0,0,0,-0.34354,0.27274,0.059256,0.01
99559,0,0,0,-0.33851,0.2822,0.059345,0
99559,0,0,0,-0.33851,0.2822,0.059345,0.01
99565,0,0,0,-0.33353,0.29161,0.059393,0
99565,0,0,0,-0.33353,0.29161,0.059393,0.01
99572,0,0,0,-0.32854,0.30098,0.059403,0
99572,0,0,0,-0.32854,0.30098,0.059403,0.01
99578,0,0,0,-0.32359,0.3103,0.059376,0
99578,0,0,0,-0.32359,0.3103,0.059376,0.01
99585,0,0,0,-0.31871,0.31957,0.059314,0
99585,0,0,0,-0.31871,0.31957,0.059314,0.01
99591,0,0,0,-0.31388,0.3288,0.059219,0
99591,0,0,0,-0.31388,0.3288,0.059219,0.01
99597,0,0,0,-0.30909,0.33798,0.059092,0
99597,0,0,0,-0.30909,0.33798,0.059092,0.01
99603,0,0,0,-0.30433,0.34712,0.058936,0
99603,0,0,0,-0.30433,0.34712,0.058936,0.01
99610,0,0,0,-0.29961,0.35621,0.058751,0
99610,0,0,0,-0.29961,0.35621,0.058751,0.01
99616,0,0,0,-0.29489,0.36526,0.058539,0
99616,0,0,0,-0.29489,0.36526,0.058539,0.01
99622,0,0,0,-0.29021,0.37426,0.0583,0
99622,0,0,0,-0.29021,0.37426,0.0583,0.01
99628,0,0,0,-0.2856,0.38321,0.058037,0
99628,0,0,0,-0.2856,0.38321,0.058037,0.01
99634,0,0,0,-0.281,0.39212,0.05775,0
99634,0,0,0,-0.281,0.39212,0.05775,0.01
99640,0,0,0,-0.2764,0.40098,0.05744,0
99640,0,0,0,-0.2764,0.40098,0.05744,0.01
99646,0,0,0,-0.27183,0.4098,0.057108,0
99646,0,0,0,-0.27183,0.4098,0.057108,0.01
