# Force coefficient bins
# bins        : 31
# start       : 9.522700e-05
# delta       : 3.216427e-02
# direction   : (1.000000e+00 0.000000e+00 0.000000e+00)
# x co-ords  :	3.225950e-02	6.442377e-02	9.658805e-02	1.287523e-01	1.609166e-01	1.930809e-01	2.252451e-01	2.574094e-01	2.895737e-01	3.217380e-01	3.539022e-01	3.860665e-01	4.182308e-01	4.503951e-01	4.825593e-01	5.147236e-01	5.468879e-01	5.790521e-01	6.112164e-01	6.433807e-01	6.755450e-01	7.077092e-01	7.398735e-01	7.720378e-01	8.042021e-01	8.363663e-01	8.685306e-01	9.006949e-01	9.328592e-01	9.650234e-01	9.971877e-01
# y co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# z co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# Time        	Cm(0)         	Cd(0)         	Cl(0)         	Cm(1)         	Cd(1)         	Cl(1)         	Cm(2)         	Cd(2)         	Cl(2)         	Cm(3)         	Cd(3)         	Cl(3)         	Cm(4)         	Cd(4)         	Cl(4)         	Cm(5)         	Cd(5)         	Cl(5)         	Cm(6)         	Cd(6)         	Cl(6)         	Cm(7)         	Cd(7)         	Cl(7)         	Cm(8)         	Cd(8)         	Cl(8)         	Cm(9)         	Cd(9)         	Cl(9)         	Cm(10)        	Cd(10)        	Cl(10)        	Cm(11)        	Cd(11)        	Cl(11)        	Cm(12)        	Cd(12)        	Cl(12)        	Cm(13)        	Cd(13)        	Cl(13)        	Cm(14)        	Cd(14)        	Cl(14)        	Cm(15)        	Cd(15)        	Cl(15)        	Cm(16)        	Cd(16)        	Cl(16)        	Cm(17)        	Cd(17)        	Cl(17)        	Cm(18)        	Cd(18)        	Cl(18)        	Cm(19)        	Cd(19)        	Cl(19)        	Cm(20)        	Cd(20)        	Cl(20)        	Cm(21)        	Cd(21)        	Cl(21)        	Cm(22)        	Cd(22)        	Cl(22)        	Cm(23)        	Cd(23)        	Cl(23)        	Cm(24)        	Cd(24)        	Cl(24)        	Cm(25)        	Cd(25)        	Cl(25)        	Cm(26)        	Cd(26)        	Cl(26)        	Cm(27)        	Cd(27)        	Cl(27)        	Cm(28)        	Cd(28)        	Cl(28)        	Cm(29)        	Cd(29)        	Cl(29)        	Cm(30)        	Cd(30)        	Cl(30)        
0             	-8.854956e-05	6.074250e-01	1.332320e-04	-2.838738e-04	1.076598e+00	-5.465292e-04	-4.323268e-04	1.491421e+00	-3.918886e-04	-7.274172e-04	1.828991e+00	-4.103667e-04	-9.216970e-04	2.165104e+00	-2.830846e-04	-8.568146e-04	2.514214e+00	-2.784112e-05	-7.461467e-04	2.835777e+00	1.545929e-04	-7.230188e-04	3.136882e+00	2.552295e-04	-9.032248e-04	3.522370e+00	3.081061e-04	-7.961916e-04	3.809233e+00	3.171682e-04	-7.556588e-04	4.182731e+00	2.947117e-04	-7.287146e-04	4.456409e+00	2.533878e-04	-8.969178e-04	4.821177e+00	2.290517e-04	-7.695288e-04	5.175527e+00	1.117368e-04	-9.428742e-04	5.438608e+00	1.095851e-04	-1.005826e-03	5.784653e+00	5.343018e-05	-7.814372e-04	6.122083e+00	-1.406534e-04	-5.953554e-04	6.453187e+00	-3.361504e-04	-5.403741e-04	6.779027e+00	-4.386275e-04	-4.561281e-04	7.176741e+00	-6.017642e-04	-4.817231e-04	7.488857e+00	-6.226006e-04	-4.160330e-04	7.791203e+00	-7.602785e-04	-4.554420e-04	8.163842e+00	-7.289131e-04	-4.758529e-04	8.457152e+00	-7.246095e-04	-4.907865e-04	8.820660e+00	-7.124846e-04	-4.990751e-04	9.163809e+00	-6.634759e-04	-4.841195e-04	9.504035e+00	-4.690021e-04	-5.323859e-04	9.832778e+00	-6.152669e-04	-5.638666e-04	1.015492e+01	-6.886007e-04	-5.467242e-04	1.047039e+01	-6.530243e-04	-5.091083e-04	1.083878e+01	-5.975263e-04
1             	9.251608e-04	1.141798e+01	-1.320287e-02	8.700927e-04	1.343732e+01	-1.133195e-02	-2.755920e-03	1.450852e+01	1.491279e-02	-6.198549e-03	1.509622e+01	4.380721e-02	-8.918122e-03	1.551960e+01	7.337523e-02	-1.046868e-02	1.583884e+01	9.914556e-02	-1.096815e-02	1.606502e+01	1.157526e-01	-1.101029e-02	1.624782e+01	1.262440e-01	-1.085880e-02	1.646202e+01	1.352591e-01	-1.059631e-02	1.661357e+01	1.391108e-01	-1.039053e-02	1.681038e+01	1.413075e-01	-1.040990e-02	1.695828e+01	1.410453e-01	-1.093666e-02	1.716433e+01	1.378815e-01	-1.176884e-02	1.737959e+01	1.329241e-01	-1.285728e-02	1.755074e+01	1.280257e-01	-1.457458e-02	1.779270e+01	1.208461e-01	-1.640217e-02	1.805001e+01	1.136401e-01	-1.849218e-02	1.832345e+01	1.063345e-01	-2.054687e-02	1.861347e+01	1.000509e-01	-2.285908e-02	1.899677e+01	9.358975e-02	-2.450451e-02	1.931907e+01	8.951800e-02	-2.574546e-02	1.965155e+01	8.652806e-02	-2.698773e-02	2.008189e+01	8.391186e-02	-2.756281e-02	2.043475e+01	8.276930e-02	-2.787810e-02	2.088383e+01	8.220017e-02	-2.774206e-02	2.132982e+01	8.246786e-02	-2.734844e-02	2.177379e+01	8.318980e-02	-2.628525e-02	2.220581e+01	8.483781e-02	-2.483867e-02	2.262015e+01	8.699840e-02	-2.292245e-02	2.300714e+01	8.974889e-02	-2.031851e-02	2.341061e+01	9.331274e-02
2             	-4.222878e-03	3.334504e+00	1.704001e-02	-9.617472e-03	4.285895e+00	4.593276e-02	-1.389570e-02	4.861071e+00	7.434430e-02	-1.664482e-02	5.188469e+00	9.674264e-02	-1.856460e-02	5.427478e+00	1.171000e-01	-1.965537e-02	5.607321e+00	1.344107e-01	-2.003318e-02	5.734236e+00	1.457377e-01	-2.007648e-02	5.836995e+00	1.529922e-01	-1.987654e-02	5.959287e+00	1.594374e-01	-1.970567e-02	6.048731e+00	1.621509e-01	-1.957703e-02	6.168621e+00	1.635258e-01	-1.960733e-02	6.261433e+00	1.632937e-01	-1.990811e-02	6.393612e+00	1.611669e-01	-2.036847e-02	6.534332e+00	1.584744e-01	-2.089956e-02	6.647406e+00	1.559785e-01	-2.166496e-02	6.808178e+00	1.526734e-01	-2.232339e-02	6.980278e+00	1.500911e-01	-2.303027e-02	7.162526e+00	1.475421e-01	-2.366425e-02	7.354901e+00	1.455475e-01	-2.416498e-02	7.607661e+00	1.440592e-01	-2.441871e-02	7.818589e+00	1.434056e-01	-2.435569e-02	8.034789e+00	1.434802e-01	-2.421089e-02	8.311414e+00	1.437994e-01	-2.366578e-02	8.535976e+00	1.449178e-01	-2.321779e-02	8.817640e+00	1.457373e-01	-2.235208e-02	9.094070e+00	1.472759e-01	-2.130964e-02	9.364759e+00	1.490470e-01	-1.975868e-02	9.623073e+00	1.514852e-01	-1.849573e-02	9.865280e+00	1.533780e-01	-1.731627e-02	1.008568e+01	1.550727e-01	-1.633035e-02	1.030561e+01	1.564286e-01
3             	-2.874408e-04	-4.062251e+00	5.376867e-03	-5.346893e-03	-4.649172e+00	3.069426e-02	-7.359722e-03	-4.881949e+00	4.136149e-02	-7.683268e-03	-4.968892e+00	4.188703e-02	-7.467206e-03	-4.997167e+00	3.783531e-02	-7.187377e-03	-4.984209e+00	3.231723e-02	-7.059614e-03	-4.947040e+00	2.788501e-02	-7.044964e-03	-4.901641e+00	2.396890e-02	-7.061956e-03	-4.833398e+00	1.957634e-02	-7.199370e-03	-4.776208e+00	1.694783e-02	-7.419513e-03	-4.696668e+00	1.423923e-02	-7.598485e-03	-4.636340e+00	1.286714e-02	-7.669588e-03	-4.555431e+00	1.216192e-02	-7.533145e-03	-4.478042e+00	1.292008e-02	-7.249701e-03	-4.422312e+00	1.425907e-02	-6.585627e-03	-4.352524e+00	1.696426e-02	-5.610901e-03	-4.288587e+00	2.055075e-02	-4.375769e-03	-4.232223e+00	2.451096e-02	-2.987918e-03	-4.183038e+00	2.860185e-02	-1.159602e-03	-4.132293e+00	3.348492e-02	2.800337e-04	-4.100085e+00	3.702735e-02	1.676736e-03	-4.075680e+00	4.020854e-02	3.249282e-03	-4.055296e+00	4.357145e-02	4.369344e-03	-4.046298e+00	4.584189e-02	5.495474e-03	-4.043965e+00	4.792886e-02	6.384074e-03	-4.051648e+00	4.950049e-02	7.017012e-03	-4.066387e+00	5.057620e-02	7.418328e-03	-4.088369e+00	5.120755e-02	7.586829e-03	-4.115406e+00	5.145824e-02	7.397171e-03	-4.145536e+00	5.118827e-02	6.572678e-03	-4.184556e+00	5.006601e-02
4             	7.952025e-03	-8.628334e+00	-2.825381e-02	7.431693e-03	-9.635636e+00	-2.724461e-02	8.685145e-03	-1.015587e+01	-3.811092e-02	1.019496e-02	-1.040155e+01	-5.274524e-02	1.163730e-02	-1.053634e+01	-7.006550e-02	1.265531e-02	-1.059178e+01	-8.735074e-02	1.307698e-02	-1.059253e+01	-1.004231e-01	1.313542e-02	-1.057195e+01	-1.107862e-01	1.296868e-02	-1.052817e+01	-1.217031e-01	1.264140e-02	-1.048693e+01	-1.276692e-01	1.217711e-02	-1.042906e+01	-1.332226e-01	1.185278e-02	-1.038722e+01	-1.357519e-01	1.175322e-02	-1.033587e+01	-1.366003e-01	1.196329e-02	-1.029448e+01	-1.353452e-01	1.242587e-02	-1.027062e+01	-1.331304e-01	1.337879e-02	-1.025004e+01	-1.291526e-01	1.461346e-02	-1.024304e+01	-1.245451e-01	1.615280e-02	-1.025082e+01	-1.195147e-01	1.771310e-02	-1.027253e+01	-1.148583e-01	1.962894e-02	-1.031896e+01	-1.096766e-01	2.103157e-02	-1.037049e+01	-1.062049e-01	2.224047e-02	-1.043394e+01	-1.034260e-01	2.346212e-02	-1.052805e+01	-1.008058e-01	2.416249e-02	-1.061322e+01	-9.937938e-02	2.469912e-02	-1.072990e+01	-9.838825e-02	2.488704e-02	-1.085526e+01	-9.805297e-02	2.483972e-02	-1.098493e+01	-9.811957e-02	2.443389e-02	-1.111601e+01	-9.875817e-02	2.385704e-02	-1.124405e+01	-9.962635e-02	2.305655e-02	-1.136407e+01	-1.007739e-01	2.186945e-02	-1.149020e+01	-1.023961e-01
5             	3.307100e-02	-5.896909e+00	-1.388171e-01	3.676179e-02	-6.174997e+00	-1.588602e-01	4.012181e-02	-6.343955e+00	-1.809961e-01	4.210613e-02	-6.421080e+00	-1.973966e-01	4.341193e-02	-6.457193e+00	-2.115380e-01	4.421296e-02	-6.461765e+00	-2.241581e-01	4.455605e-02	-6.445663e+00	-2.340620e-01	4.461818e-02	-6.421981e+00	-2.422513e-01	4.450309e-02	-6.384414e+00	-2.509665e-01	4.422932e-02	-6.352779e+00	-2.559230e-01	4.379525e-02	-6.310611e+00	-2.610584e-01	4.343130e-02	-6.281016e+00	-2.638838e-01	4.313203e-02	-6.244641e+00	-2.660025e-01	4.288876e-02	-6.214335e+00	-2.672050e-01	4.283465e-02	-6.195391e+00	-2.674340e-01	4.282794e-02	-6.175798e+00	-2.674360e-01	4.280525e-02	-6.162689e+00	-2.674394e-01	4.287850e-02	-6.156553e+00	-2.672029e-01	4.280534e-02	-6.156371e+00	-2.673906e-01	4.263784e-02	-6.164229e+00	-2.678040e-01	4.240663e-02	-6.176288e+00	-2.683542e-01	4.207900e-02	-6.192898e+00	-2.690896e-01	4.154451e-02	-6.219081e+00	-2.702127e-01	4.102877e-02	-6.243293e+00	-2.712174e-01	4.035745e-02	-6.276643e+00	-2.724813e-01	3.963378e-02	-6.312048e+00	-2.737503e-01	3.896537e-02	-6.347534e+00	-2.748544e-01	3.831471e-02	-6.381966e+00	-2.758761e-01	3.771339e-02	-6.413607e+00	-2.767793e-01	3.720221e-02	-6.440539e+00	-2.775124e-01	3.681120e-02	-6.465507e+00	-2.780490e-01
6             	9.948864e-02	6.621409e+00	-4.228511e-01	1.023254e-01	7.126463e+00	-4.371802e-01	1.039238e-01	7.401394e+00	-4.460733e-01	1.043715e-01	7.548421e+00	-4.484437e-01	1.043306e-01	7.648304e+00	-4.470361e-01	1.042354e-01	7.717578e+00	-4.448407e-01	1.042234e-01	7.761994e+00	-4.439830e-01	1.042376e-01	7.795399e+00	-4.437967e-01	1.043292e-01	7.832225e+00	-4.434767e-01	1.043319e-01	7.857609e+00	-4.434126e-01	1.043002e-01	7.889335e+00	-4.438270e-01	1.042093e-01	7.912146e+00	-4.443379e-01	1.040995e-01	7.943675e+00	-4.451416e-01	1.038193e-01	7.976643e+00	-4.465794e-01	1.035368e-01	8.003489e+00	-4.479296e-01	1.030011e-01	8.042450e+00	-4.501789e-01	1.022610e-01	8.085551e+00	-4.528696e-01	1.014438e-01	8.132653e+00	-4.555906e-01	1.004864e-01	8.184540e+00	-4.584390e-01	9.927175e-02	8.255752e+00	-4.617041e-01	9.832285e-02	8.317611e+00	-4.640406e-01	9.744395e-02	8.383505e+00	-4.660504e-01	9.645904e-02	8.470850e+00	-4.681459e-01	9.578776e-02	8.544276e+00	-4.694716e-01	9.522386e-02	8.639453e+00	-4.705318e-01	9.483726e-02	8.737342e+00	-4.712088e-01	9.463849e-02	8.836713e+00	-4.715349e-01	9.470792e-02	8.935726e+00	-4.714208e-01	9.497682e-02	9.032474e+00	-4.710167e-01	9.543540e-02	9.124676e+00	-4.703593e-01	9.622349e-02	9.222612e+00	-4.692830e-01
7             	-4.699995e-02	1.138470e+01	1.998506e-01	-4.870914e-02	1.195711e+01	2.098145e-01	-5.128110e-02	1.229206e+01	2.272670e-01	-5.301556e-02	1.246665e+01	2.418694e-01	-5.421327e-02	1.258067e+01	2.549196e-01	-5.485628e-02	1.265471e+01	2.651144e-01	-5.506356e-02	1.269797e+01	2.711974e-01	-5.508625e-02	1.272839e+01	2.754548e-01	-5.491940e-02	1.276018e+01	2.797587e-01	-5.481572e-02	1.278185e+01	2.816709e-01	-5.470881e-02	1.281014e+01	2.828648e-01	-5.470498e-02	1.283211e+01	2.831032e-01	-5.477598e-02	1.286524e+01	2.825441e-01	-5.506391e-02	1.290338e+01	2.810073e-01	-5.540913e-02	1.293632e+01	2.793248e-01	-5.603076e-02	1.298622e+01	2.766790e-01	-5.679241e-02	1.304321e+01	2.738652e-01	-5.762424e-02	1.310689e+01	2.710690e-01	-5.846102e-02	1.317762e+01	2.685544e-01	-5.945531e-02	1.327498e+01	2.658579e-01	-6.015808e-02	1.335933e+01	2.641159e-01	-6.074400e-02	1.344870e+01	2.627705e-01	-6.130341e-02	1.356612e+01	2.615742e-01	-6.161481e-02	1.366362e+01	2.609589e-01	-6.177028e-02	1.378831e+01	2.606648e-01	-6.176988e-02	1.391435e+01	2.606680e-01	-6.165833e-02	1.403959e+01	2.608565e-01	-6.133807e-02	1.416148e+01	2.613655e-01	-6.084005e-02	1.427725e+01	2.621140e-01	-6.022161e-02	1.438359e+01	2.630009e-01	-5.937390e-02	1.449045e+01	2.641598e-01
8             	-2.715235e-01	9.134744e+00	1.155194e+00	-2.814613e-01	9.223798e+00	1.207424e+00	-2.883770e-01	9.273034e+00	1.250574e+00	-2.921191e-01	9.292729e+00	1.279070e+00	-2.942723e-01	9.307452e+00	1.300019e+00	-2.953778e-01	9.322159e+00	1.315413e+00	-2.957878e-01	9.336986e+00	1.325669e+00	-2.958695e-01	9.352603e+00	1.333754e+00	-2.956225e-01	9.375098e+00	1.342594e+00	-2.953451e-01	9.394642e+00	1.347664e+00	-2.948462e-01	9.423670e+00	1.353313e+00	-2.944140e-01	9.447357e+00	1.357103e+00	-2.937380e-01	9.482380e+00	1.361528e+00	-2.930131e-01	9.520374e+00	1.365477e+00	-2.924148e-01	9.550873e+00	1.368221e+00	-2.915144e-01	9.593549e+00	1.371867e+00	-2.904580e-01	9.638076e+00	1.375674e+00	-2.892603e-01	9.683673e+00	1.379505e+00	-2.878884e-01	9.730369e+00	1.383524e+00	-2.860373e-01	9.789351e+00	1.388458e+00	-2.844666e-01	9.836493e+00	1.392298e+00	-2.828645e-01	9.883193e+00	1.395956e+00	-2.808484e-01	9.940229e+00	1.400236e+00	-2.792822e-01	9.984400e+00	1.403353e+00	-2.774343e-01	1.003711e+01	1.406808e+00	-2.757429e-01	1.008654e+01	1.409783e+00	-2.742509e-01	1.013193e+01	1.412262e+00	-2.729580e-01	1.017244e+01	1.414301e+00	-2.718272e-01	1.020710e+01	1.415997e+00	-2.709230e-01	1.023474e+01	1.417293e+00	-2.702426e-01	1.025445e+01	1.418226e+00
9             	-8.150856e-02	-1.023808e+00	3.317988e-01	-8.517869e-02	-1.363756e+00	3.503681e-01	-8.760767e-02	-1.586427e+00	3.643060e-01	-8.883867e-02	-1.709390e+00	3.722889e-01	-8.935429e-02	-1.783834e+00	3.758265e-01	-8.957557e-02	-1.821498e+00	3.774525e-01	-8.966786e-02	-1.831311e+00	3.785079e-01	-8.970390e-02	-1.828200e+00	3.794863e-01	-8.966021e-02	-1.813120e+00	3.802771e-01	-8.964874e-02	-1.795279e+00	3.805328e-01	-8.956261e-02	-1.766486e+00	3.813653e-01	-8.944119e-02	-1.742996e+00	3.824690e-01	-8.911893e-02	-1.710179e+00	3.844999e-01	-8.861853e-02	-1.678063e+00	3.872090e-01	-8.806239e-02	-1.655159e+00	3.897727e-01	-8.706925e-02	-1.627369e+00	3.938316e-01	-8.578944e-02	-1.603483e+00	3.984811e-01	-8.425776e-02	-1.584326e+00	4.034369e-01	-8.254135e-02	-1.569865e+00	4.084989e-01	-8.026774e-02	-1.558905e+00	4.145899e-01	-7.840977e-02	-1.555902e+00	4.191472e-01	-7.660036e-02	-1.557897e+00	4.232873e-01	-7.443535e-02	-1.567251e+00	4.278898e-01	-7.284624e-02	-1.579833e+00	4.310531e-01	-7.110462e-02	-1.601443e+00	4.343100e-01	-6.961168e-02	-1.628719e+00	4.369351e-01	-6.835207e-02	-1.660829e+00	4.390263e-01	-6.739655e-02	-1.696896e+00	4.405325e-01	-6.666824e-02	-1.735998e+00	4.416239e-01	-6.619659e-02	-1.777148e+00	4.422994e-01	-6.608806e-02	-1.829287e+00	4.424505e-01
