# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00
2             	1.998133e-01	9.652559e-02	6.411706e-01
3             	4.003622e-01	6.522848e-03	2.143908e-01
4             	1.342122e-01	2.973616e-03	1.014197e-01
5             	1.367672e-01	1.541444e-02	2.772983e-01
6             	1.564160e-01	5.516098e-02	1.845466e-01
7             	1.627693e-01	2.847335e-02	1.816465e-01
8             	1.238327e-01	1.097885e-02	1.742096e-01
9             	1.111844e-01	3.936872e-03	8.799428e-02
10            	2.164851e-01	4.481264e-03	6.744196e-02
11            	1.029185e-01	5.527642e-03	5.716538e-02
12            	1.088726e-01	4.531232e-03	4.294126e-02
13            	6.247659e-01	5.785744e-03	4.137036e-02
14            	1.343015e-01	4.031506e-03	2.796349e-02
15            	2.716571e-01	2.079162e-03	2.046551e-02
16            	1.343579e-01	2.225294e-03	2.893590e-02
17            	8.498003e-02	2.034066e-03	2.897316e-02
18            	1.436342e-01	1.484861e-03	2.754025e-02
19            	7.553460e-01	1.618616e-03	2.345036e-02
20            	5.119027e-01	1.169718e-03	1.616157e-02
21            	1.875594e-01	8.561691e-04	1.596118e-02
22            	1.026163e-01	8.686602e-04	1.681245e-02
23            	1.008093e-01	7.034388e-04	1.534066e-02
24            	1.576190e-01	6.162723e-04	1.609574e-02
25            	2.237451e-01	6.230894e-04	1.392136e-02
26            	1.579091e-01	4.926726e-04	1.174422e-02
27            	1.040862e-01	4.062320e-04	1.164518e-02
28            	8.737185e-02	3.924157e-04	1.165038e-02
29            	9.802854e-02	3.533003e-04	1.249672e-02
30            	1.200080e-01	3.481349e-04	1.200397e-02
31            	1.171729e-01	3.292582e-04	1.060825e-02
32            	9.819322e-02	2.725779e-04	1.001531e-02
33            	8.618934e-02	2.496800e-04	1.046331e-02
34            	8.366521e-02	2.470806e-04	1.114242e-02
35            	8.831559e-02	2.463354e-04	1.131267e-02
36            	9.295339e-02	2.436336e-04	1.072971e-02
37            	8.961583e-02	2.227454e-04	1.013630e-02
38            	8.005757e-02	1.994804e-04	1.023687e-02
39            	7.751176e-02	1.950118e-04	1.068551e-02
40            	7.939386e-02	2.008227e-04	1.095101e-02
41            	7.600887e-02	1.994586e-04	1.074224e-02
42            	7.148307e-02	1.904777e-04	1.038966e-02
43            	7.083346e-02	1.768855e-04	1.031411e-02
44            	6.887084e-02	1.693112e-04	1.049730e-02
45            	6.322609e-02	1.715733e-04	1.067445e-02
46            	5.984144e-02	1.723584e-04	1.070319e-02
47            	5.973839e-02	1.684604e-04	1.054271e-02
48            	5.689351e-02	1.611428e-04	1.048581e-02
49            	5.084894e-02	1.551940e-04	1.061523e-02
50            	4.784678e-02	1.551694e-04	1.071992e-02
51            	4.729331e-02	1.561974e-04	1.068201e-02
52            	4.532057e-02	1.548593e-04	1.061355e-02
53            	4.062491e-02	1.513012e-04	1.060928e-02
54            	3.703059e-02	1.482775e-04	1.065002e-02
55            	3.583535e-02	1.481574e-04	1.066652e-02
56            	3.427536e-02	1.487136e-04	1.063594e-02
57            	3.113883e-02	1.480143e-04	1.057060e-02
58            	2.795199e-02	1.457842e-04	1.050132e-02
59            	2.629474e-02	1.437735e-04	1.044624e-02
60            	2.522096e-02	1.432476e-04	1.041167e-02
61            	2.340715e-02	1.434454e-04	1.036121e-02
62            	2.100556e-02	1.428859e-04	1.027243e-02
63            	1.908550e-02	1.414783e-04	1.015325e-02
64            	1.796763e-02	1.402673e-04	1.002751e-02
65            	1.699161e-02	1.401781e-04	9.913828e-03
66            	1.565125e-02	1.401503e-04	9.799908e-03
67            	1.396763e-02	1.396303e-04	9.677812e-03
68            	1.273848e-02	1.387050e-04	9.537099e-03
69            	1.189877e-02	1.380584e-04	9.396116e-03
70            	1.118634e-02	1.380409e-04	9.270113e-03
71            	1.030297e-02	1.382403e-04	9.159173e-03
72            	9.248398e-03	1.382201e-04	9.043239e-03
73            	8.436185e-03	1.378999e-04	8.922973e-03
74            	7.885592e-03	1.376353e-04	8.807504e-03
75            	7.450918e-03	1.373330e-04	8.714774e-03
76            	6.978581e-03	1.368206e-04	8.646521e-03
77            	6.450316e-03	1.361426e-04	8.590806e-03
78            	5.976887e-03	1.350796e-04	8.546415e-03
79            	5.637994e-03	1.336400e-04	8.501563e-03
80            	5.364584e-03	1.320114e-04	8.465462e-03
81            	5.117572e-03	1.302939e-04	8.437228e-03
82            	4.849822e-03	1.284496e-04	8.395407e-03
83            	4.566257e-03	1.264016e-04	8.337794e-03
84            	4.322136e-03	1.241658e-04	8.254180e-03
85            	4.114432e-03	1.218727e-04	8.143679e-03
86            	3.932921e-03	1.197441e-04	8.023852e-03
87            	3.759698e-03	1.174232e-04	7.889221e-03
88            	3.575375e-03	1.149146e-04	7.735771e-03
89            	3.386337e-03	1.123336e-04	7.557105e-03
90            	3.231357e-03	1.098067e-04	7.372651e-03
91            	3.090686e-03	1.073143e-04	7.181082e-03
92            	2.965330e-03	1.047100e-04	6.986107e-03
93            	2.827763e-03	1.019503e-04	6.784231e-03
94            	2.696745e-03	9.909260e-05	6.579707e-03
95            	2.570121e-03	9.619325e-05	6.378986e-03
96            	2.457371e-03	9.335746e-05	6.187458e-03
97            	2.354638e-03	9.056936e-05	6.001376e-03
98            	2.268791e-03	8.777316e-05	5.818835e-03
99            	2.182452e-03	8.491506e-05	5.640512e-03
100           	2.085849e-03	8.199605e-05	5.467374e-03
101           	1.987484e-03	7.910700e-05	5.304633e-03
102           	1.902789e-03	7.633388e-05	5.148454e-03
103           	1.837672e-03	7.364787e-05	5.001273e-03
104           	1.791203e-03	7.103292e-05	4.856865e-03
105           	1.739317e-03	6.846760e-05	4.715393e-03
106           	1.675939e-03	6.605827e-05	4.576112e-03
107           	1.609009e-03	6.385260e-05	4.443864e-03
108           	1.554602e-03	6.183987e-05	4.320221e-03
109           	1.512262e-03	5.995097e-05	4.201715e-03
110           	1.475186e-03	5.817674e-05	4.085669e-03
111           	1.438390e-03	5.649301e-05	3.972377e-03
112           	1.406186e-03	5.492240e-05	3.859850e-03
113           	1.368959e-03	5.347800e-05	3.745153e-03
114           	1.330433e-03	5.214102e-05	3.633243e-03
115           	1.292223e-03	5.084729e-05	3.526646e-03
116           	1.264509e-03	4.958665e-05	3.426090e-03
117           	1.246178e-03	4.841853e-05	3.326909e-03
118           	1.220580e-03	4.732580e-05	3.229773e-03
119           	1.185730e-03	4.625906e-05	3.132402e-03
120           	1.166086e-03	4.520461e-05	3.035211e-03
121           	1.146393e-03	4.417447e-05	2.935847e-03
122           	1.117946e-03	4.320458e-05	2.837661e-03
123           	1.086157e-03	4.231922e-05	2.743597e-03
124           	1.063469e-03	4.146089e-05	2.653722e-03
125           	1.049354e-03	4.062691e-05	2.570140e-03
126           	1.023984e-03	3.982662e-05	2.489171e-03
127           	9.927291e-04	3.906368e-05	2.406358e-03
128           	9.781755e-04	3.835140e-05	2.323153e-03
129           	9.641624e-04	3.771786e-05	2.239612e-03
130           	9.362598e-04	3.714421e-05	2.158604e-03
131           	8.975926e-04	3.657077e-05	2.085331e-03
132           	8.709794e-04	3.601489e-05	2.017654e-03
133           	8.571087e-04	3.546197e-05	1.955707e-03
134           	8.392203e-04	3.493917e-05	1.893590e-03
135           	8.098246e-04	3.446955e-05	1.830962e-03
136           	7.891971e-04	3.407723e-05	1.768238e-03
137           	7.776654e-04	3.372677e-05	1.706112e-03
138           	7.521320e-04	3.343431e-05	1.644682e-03
139           	7.134269e-04	3.315641e-05	1.588924e-03
140           	6.924677e-04	3.286119e-05	1.540898e-03
141           	6.820301e-04	3.257800e-05	1.496164e-03
142           	6.672678e-04	3.230527e-05	1.453113e-03
143           	6.445755e-04	3.206667e-05	1.408337e-03
144           	6.242618e-04	3.183256e-05	1.362674e-03
145           	6.160150e-04	3.157573e-05	1.319729e-03
146           	6.051432e-04	3.130746e-05	1.280578e-03
147           	5.779054e-04	3.105150e-05	1.244714e-03
148           	5.596371e-04	3.080835e-05	1.211114e-03
149           	5.605236e-04	3.056285e-05	1.179592e-03
150           	5.551093e-04	3.031163e-05	1.151429e-03
151           	5.368260e-04	3.004694e-05	1.126236e-03
152           	5.271610e-04	2.978689e-05	1.101759e-03
153           	5.257844e-04	2.952200e-05	1.077755e-03
154           	5.190653e-04	2.924835e-05	1.055236e-03
155           	5.074588e-04	2.896174e-05	1.032787e-03
156           	4.983675e-04	2.868615e-05	1.018300e-03
157           	4.930230e-04	2.839715e-05	1.001372e-03
158           	4.870913e-04	2.813106e-05	9.844595e-04
159           	4.786072e-04	2.786703e-05	9.719643e-04
160           	4.708543e-04	2.760234e-05	9.642606e-04
161           	4.646498e-04	2.733519e-05	9.552497e-04
162           	4.559771e-04	2.707555e-05	9.471544e-04
163           	4.458064e-04	2.681938e-05	9.396843e-04
164           	4.419183e-04	2.656211e-05	9.350467e-04
165           	4.371917e-04	2.629230e-05	9.282726e-04
166           	4.259619e-04	2.601410e-05	9.227964e-04
167           	4.190370e-04	2.573393e-05	9.194780e-04
168           	4.182794e-04	2.544945e-05	9.170019e-04
169           	4.138887e-04	2.516172e-05	9.147935e-04
170           	4.035574e-04	2.487694e-05	9.127820e-04
171           	3.979681e-04	2.459454e-05	9.107749e-04
172           	3.968048e-04	2.431009e-05	9.084648e-04
173           	3.927417e-04	2.401599e-05	9.064096e-04
174           	3.834423e-04	2.371663e-05	9.046507e-04
175           	3.774400e-04	2.341645e-05	9.028296e-04
176           	3.755281e-04	2.311848e-05	9.000691e-04
