# y+ ()       
# Time        	patch         	min           	max           	average       
0             	airfoil-l1	1.546494e+00	1.993530e+00	1.718646e+00
0             	wall-l1	0.000000e+00	0.000000e+00	0.000000e+00
0             	airfoil-l2	1.791117e+00	1.844756e+00	1.808596e+00
0             	wall-l2	0.000000e+00	0.000000e+00	0.000000e+00
0             	wall-h2	0.000000e+00	0.000000e+00	0.000000e+00
0             	airfoil-h2	1.791556e+00	1.843821e+00	1.812044e+00
0             	wall-h1	0.000000e+00	0.000000e+00	0.000000e+00
0             	airfoil-h1	1.550894e+00	1.993440e+00	1.712507e+00
50            	airfoil-l1	1.194000e-01	4.490644e-01	2.109916e-01
50            	wall-l1	4.745089e+01	1.104653e+02	7.112794e+01
50            	airfoil-l2	1.387691e-01	1.706822e-01	1.597969e-01
50            	wall-l2	5.706507e+01	1.031956e+02	7.209012e+01
50            	wall-h2	5.666902e+01	1.031758e+02	7.201342e+01
50            	airfoil-h2	1.384034e-01	1.689680e-01	1.600817e-01
50            	wall-h1	4.750905e+01	1.103578e+02	7.102685e+01
50            	airfoil-h1	1.097704e-01	4.580753e-01	1.945850e-01
100           	airfoil-l1	1.070195e-01	2.049968e-01	1.885820e-01
100           	wall-l1	3.696619e+01	5.022574e+01	4.519664e+01
100           	airfoil-l2	9.862269e-02	1.762569e-01	1.454238e-01
100           	wall-l2	1.800837e+01	4.682556e+01	2.986539e+01
100           	wall-h2	1.657680e+01	4.498766e+01	2.922717e+01
100           	airfoil-h2	9.716559e-02	1.697683e-01	1.413622e-01
100           	wall-h1	3.720835e+01	5.084951e+01	4.573102e+01
100           	airfoil-h1	8.400194e-02	2.051525e-01	1.817438e-01
150           	airfoil-l1	1.038060e-01	1.948417e-01	1.767762e-01
150           	wall-l1	1.684537e+01	3.183221e+01	2.078228e+01
150           	airfoil-l2	9.201777e-02	1.674601e-01	1.383129e-01
150           	wall-l2	3.213027e+01	4.917647e+01	4.090120e+01
150           	wall-h2	3.161336e+01	4.548508e+01	3.979728e+01
150           	airfoil-h2	8.631101e-02	1.641162e-01	1.354705e-01
150           	wall-h1	1.504290e+01	3.128532e+01	1.979988e+01
150           	airfoil-h1	8.976814e-02	1.928746e-01	1.744675e-01
200           	airfoil-l1	1.039864e-01	1.947621e-01	1.744372e-01
200           	wall-l1	2.896488e+01	2.921504e+01	2.912283e+01
200           	airfoil-l2	8.407947e-02	1.640604e-01	1.329505e-01
200           	wall-l2	2.849575e+01	3.465242e+01	2.980017e+01
200           	wall-h2	2.584453e+01	2.813375e+01	2.702493e+01
200           	airfoil-h2	7.985197e-02	1.617671e-01	1.313219e-01
200           	wall-h1	2.733385e+01	2.813846e+01	2.773527e+01
200           	airfoil-h1	8.947130e-02	1.926855e-01	1.719196e-01
