"p","U:0","U:1","U:2","Cp","Points:0","Points:1","Points:2"
100420,0,0,0,0.322286,0.205218,-0.0573301,0
100420,0,0,0,0.322286,0.205218,-0.0573301,0.01
100410,0,0,0,0.314991,0.215,-0.0578143,0.01
100410,0,0,0,0.314991,0.215,-0.0578143,0
100392,0,0,0,0.301178,0.224738,-0.0582322,0.01
100392,0,0,0,0.301178,0.224738,-0.0582322,0
100376,0,0,0,0.288901,0.234429,-0.0585881,0.01
100376,0,0,0,0.288901,0.234429,-0.0585881,0
100361,0,0,0,0.27739,0.244075,-0.0588859,0.01
100361,0,0,0,0.27739,0.244075,-0.0588859,0
100347,0,0,0,0.266264,0.253674,-0.0591292,0.01
100347,0,0,0,0.266264,0.253674,-0.0591292,0
100333,0,0,0,0.255905,0.263227,-0.0593211,0.01
100333,0,0,0,0.255905,0.263227,-0.0593211,0
100321,0,0,0,0.246313,0.272734,-0.0594647,0.01
100321,0,0,0,0.246313,0.272734,-0.0594647,0
100309,0,0,0,0.237488,0.282194,-0.0595627,0.01
100309,0,0,0,0.237488,0.282194,-0.0595627,0
100298,0,0,0,0.229047,0.291608,-0.0596175,0.01
100298,0,0,0,0.229047,0.291608,-0.0596175,0
100288,0,0,0,0.22099,0.300975,-0.0596316,0.01
100288,0,0,0,0.22099,0.300975,-0.0596316,0
100278,0,0,0,0.213317,0.310296,-0.059607,0.01
100278,0,0,0,0.213317,0.310296,-0.059607,0
100268,0,0,0,0.206027,0.319571,-0.0595458,0.01
100268,0,0,0,0.206027,0.319571,-0.0595458,0
100260,0,0,0,0.199505,0.328799,-0.0594497,0.01
100260,0,0,0,0.199505,0.328799,-0.0594497,0
100252,0,0,0,0.193366,0.337981,-0.0593207,0.01
100252,0,0,0,0.193366,0.337981,-0.0593207,0
100244,0,0,0,0.187611,0.347118,-0.0591602,0.01
100244,0,0,0,0.187611,0.347118,-0.0591602,0
100237,0,0,0,0.181856,0.356208,-0.0589698,0.01
100237,0,0,0,0.181856,0.356208,-0.0589698,0
100230,0,0,0,0.17649,0.365254,-0.058751,0.01
