# Force coefficients
# liftDir     : (-1.736480e-01 9.848078e-01 0.000000e+00)
# dragDir     : (9.848078e-01 1.736480e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 5.105270e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e-02
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	6.882200e-02	1.302167e+00	6.791825e-02	1.027811e-01	-3.486288e-02
1             	4.418606e+00	5.910204e+00	1.671421e+01	1.277571e+01	3.938498e+00
2             	2.445126e+00	2.917794e+00	9.934787e+00	7.412520e+00	2.522267e+00
3             	-1.421380e+00	-1.376849e+00	-4.078223e+00	-3.460492e+00	-6.177312e-01
4             	-2.752205e+00	-2.937482e+00	-9.561145e+00	-7.532777e+00	-2.028368e+00
5             	-9.674303e-01	-1.362738e+00	-3.870618e+00	-2.902739e+00	-9.678786e-01
6             	1.186641e+00	1.301740e+00	4.029305e+00	3.201293e+00	8.280117e-01
7             	1.531677e+00	2.021912e+00	5.824297e+00	4.443826e+00	1.380471e+00
8             	1.973171e-01	9.238264e-01	1.825566e+00	1.110100e+00	7.154661e-01
9             	-9.521720e-01	-6.169689e-01	-2.308103e+00	-2.106223e+00	-2.018794e-01
10            	-8.362505e-01	-9.817763e-01	-2.482340e+00	-2.077420e+00	-4.049193e-01
11            	5.703021e-02	-2.530798e-01	1.463268e-01	1.301936e-01	1.613316e-02
12            	6.320584e-01	4.135976e-01	2.145399e+00	1.704758e+00	4.406411e-01
13            	4.062428e-01	6.979672e-01	1.823497e+00	1.317991e+00	5.055055e-01
14            	-1.609784e-01	2.905614e-01	3.303812e-01	4.212157e-03	3.261690e-01
15            	-4.290903e-01	-7.707722e-02	-4.220387e-01	-6.401097e-01	2.180710e-01
16            	-2.183794e-01	-2.518980e-01	3.556069e-02	-2.005991e-01	2.361598e-01
17            	1.341620e-01	-6.645164e-02	8.699711e-01	5.691476e-01	3.008236e-01
18            	2.471557e-01	1.458576e-01	1.099536e+00	7.969235e-01	3.026121e-01
19            	8.640647e-02	2.052471e-01	6.530450e-01	4.129290e-01	2.401160e-01
20            	-1.057770e-01	1.125852e-01	1.875463e-01	-1.200384e-02	1.995502e-01
21            	-1.350568e-01	2.882025e-02	2.147080e-01	-2.770285e-02	2.424108e-01
22            	-2.521832e-02	1.074027e-02	5.799154e-01	2.647394e-01	3.151760e-01
23            	7.430022e-02	6.575763e-02	8.219625e-01	4.852815e-01	3.366810e-01
24            	7.216327e-02	1.080337e-01	7.363644e-01	4.403455e-01	2.960189e-01
25            	2.539261e-03	1.021927e-01	4.928549e-01	2.489667e-01	2.438882e-01
26            	-4.368394e-02	7.058715e-02	3.891269e-01	1.508795e-01	2.382474e-01
27            	-2.968937e-02	5.865449e-02	4.927162e-01	2.166687e-01	2.760475e-01
28            	1.243445e-02	7.070406e-02	6.668464e-01	3.458576e-01	3.209887e-01
29            	3.148218e-02	8.446562e-02	7.199728e-01	3.914686e-01	3.285042e-01
