# Force coefficient bins
# bins        : 31
# start       : 9.522700e-05
# delta       : 3.216427e-02
# direction   : (1.000000e+00 0.000000e+00 0.000000e+00)
# x co-ords  :	3.225950e-02	6.442377e-02	9.658805e-02	1.287523e-01	1.609166e-01	1.930809e-01	2.252451e-01	2.574094e-01	2.895737e-01	3.217380e-01	3.539022e-01	3.860665e-01	4.182308e-01	4.503951e-01	4.825593e-01	5.147236e-01	5.468879e-01	5.790521e-01	6.112164e-01	6.433807e-01	6.755450e-01	7.077092e-01	7.398735e-01	7.720378e-01	8.042021e-01	8.363663e-01	8.685306e-01	9.006949e-01	9.328592e-01	9.650234e-01	9.971877e-01
# y co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# z co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# Time        	Cm(0)         	Cd(0)         	Cl(0)         	Cm(1)         	Cd(1)         	Cl(1)         	Cm(2)         	Cd(2)         	Cl(2)         	Cm(3)         	Cd(3)         	Cl(3)         	Cm(4)         	Cd(4)         	Cl(4)         	Cm(5)         	Cd(5)         	Cl(5)         	Cm(6)         	Cd(6)         	Cl(6)         	Cm(7)         	Cd(7)         	Cl(7)         	Cm(8)         	Cd(8)         	Cl(8)         	Cm(9)         	Cd(9)         	Cl(9)         	Cm(10)        	Cd(10)        	Cl(10)        	Cm(11)        	Cd(11)        	Cl(11)        	Cm(12)        	Cd(12)        	Cl(12)        	Cm(13)        	Cd(13)        	Cl(13)        	Cm(14)        	Cd(14)        	Cl(14)        	Cm(15)        	Cd(15)        	Cl(15)        	Cm(16)        	Cd(16)        	Cl(16)        	Cm(17)        	Cd(17)        	Cl(17)        	Cm(18)        	Cd(18)        	Cl(18)        	Cm(19)        	Cd(19)        	Cl(19)        	Cm(20)        	Cd(20)        	Cl(20)        	Cm(21)        	Cd(21)        	Cl(21)        	Cm(22)        	Cd(22)        	Cl(22)        	Cm(23)        	Cd(23)        	Cl(23)        	Cm(24)        	Cd(24)        	Cl(24)        	Cm(25)        	Cd(25)        	Cl(25)        	Cm(26)        	Cd(26)        	Cl(26)        	Cm(27)        	Cd(27)        	Cl(27)        	Cm(28)        	Cd(28)        	Cl(28)        	Cm(29)        	Cd(29)        	Cl(29)        	Cm(30)        	Cd(30)        	Cl(30)        
0             	-3.092131e-03	7.243328e-02	7.094576e-04	-5.554058e-03	1.286967e-01	3.143592e-03	-7.433083e-03	1.785309e-01	5.707842e-03	-8.714095e-03	2.190972e-01	7.884775e-03	-9.705511e-03	2.595037e-01	1.012030e-02	-1.039526e-02	3.014830e-01	1.248730e-02	-1.073851e-02	3.401505e-01	1.467730e-02	-1.082168e-02	3.763564e-01	1.672730e-02	-1.060019e-02	4.227065e-01	1.934783e-02	-1.014846e-02	4.571971e-01	2.129526e-02	-9.241156e-03	5.021024e-01	2.382558e-02	-8.337826e-03	5.350052e-01	2.567483e-02	-6.848067e-03	5.788597e-01	2.813937e-02	-5.026837e-03	6.214570e-01	3.051828e-02	-3.488629e-03	6.530856e-01	3.229060e-02	-1.168610e-03	6.946854e-01	3.461127e-02	1.434049e-03	7.352429e-01	3.685329e-02	4.275536e-03	7.750390e-01	3.904756e-02	7.340641e-03	8.142052e-01	4.121194e-02	1.146152e-02	8.620079e-01	4.384272e-02	1.497663e-02	8.995257e-01	4.591409e-02	1.863693e-02	9.358636e-01	4.790321e-02	2.346745e-02	9.806569e-01	5.037157e-02	2.752600e-02	1.015913e+00	5.230795e-02	3.286619e-02	1.059606e+00	5.470354e-02	3.822416e-02	1.100853e+00	5.696429e-02	4.384604e-02	1.141753e+00	5.921756e-02	4.955871e-02	1.181259e+00	6.135334e-02	5.543471e-02	1.219973e+00	6.345033e-02	6.145780e-02	1.257890e+00	6.551257e-02	6.882200e-02	1.302167e+00	6.791825e-02
1             	-8.762329e-02	1.401003e+00	1.564376e-01	-1.740900e-01	1.717941e+00	5.622539e-01	-2.543603e-01	1.934612e+00	1.035946e+00	-3.155698e-01	2.089521e+00	1.488248e+00	-3.687992e-01	2.234755e+00	2.000779e+00	-4.092759e-01	2.376558e+00	2.571113e+00	-4.295189e-01	2.497448e+00	3.094157e+00	-4.337095e-01	2.604586e+00	3.573925e+00	-4.180528e-01	2.743267e+00	4.214205e+00	-3.904296e-01	2.846763e+00	4.697214e+00	-3.325291e-01	2.984908e+00	5.344644e+00	-2.734308e-01	3.089200e+00	5.832064e+00	-1.740334e-01	3.230087e+00	6.483340e+00	-5.167983e-02	3.372743e+00	7.134210e+00	5.464550e-02	3.481088e+00	7.620932e+00	2.150125e-01	3.627203e+00	8.266230e+00	3.955240e-01	3.774813e+00	8.905467e+00	5.946854e-01	3.923461e+00	9.536325e+00	8.110304e-01	4.072978e+00	1.015716e+01	1.102879e+00	4.260054e+00	1.091584e+01	1.351140e+00	4.409220e+00	1.150650e+01	1.610286e+00	4.557078e+00	1.208061e+01	1.946082e+00	4.739454e+00	1.277196e+01	2.221296e+00	4.882540e+00	1.330170e+01	2.569294e+00	5.056901e+00	1.393142e+01	2.916542e+00	5.224036e+00	1.452133e+01	3.257048e+00	5.383205e+00	1.506691e+01	3.583959e+00	5.532283e+00	1.556307e+01	3.889103e+00	5.669333e+00	1.600329e+01	4.161825e+00	5.791486e+00	1.637834e+01	4.418606e+00	5.910204e+00	1.671421e+01
2             	-2.976929e-02	3.895003e-01	6.857466e-02	-7.143151e-02	5.223177e-01	2.684064e-01	-1.182109e-01	6.307114e-01	5.479039e-01	-1.567407e-01	7.153818e-01	8.347508e-01	-1.913697e-01	7.996892e-01	1.169523e+00	-2.181176e-01	8.858404e-01	1.546826e+00	-2.317974e-01	9.626016e-01	1.899828e+00	-2.346774e-01	1.031310e+00	2.221338e+00	-2.244196e-01	1.120748e+00	2.645057e+00	-2.063627e-01	1.187696e+00	2.962133e+00	-1.687009e-01	1.277078e+00	3.384373e+00	-1.304709e-01	1.344383e+00	3.700246e+00	-6.659753e-02	1.434714e+00	4.119329e+00	1.135165e-02	1.525333e+00	4.534490e+00	7.854931e-02	1.593504e+00	4.842400e+00	1.790179e-01	1.684462e+00	5.247079e+00	2.909294e-01	1.775240e+00	5.643794e+00	4.130055e-01	1.865365e+00	6.030880e+00	5.440089e-01	1.954632e+00	6.407221e+00	7.182088e-01	2.064429e+00	6.860604e+00	8.641339e-01	2.150429e+00	7.208203e+00	1.014259e+00	2.234300e+00	7.541203e+00	1.205327e+00	2.335707e+00	7.935128e+00	1.358983e+00	2.413702e+00	8.231294e+00	1.549105e+00	2.506596e+00	8.575830e+00	1.733964e+00	2.593426e+00	8.890324e+00	1.909889e+00	2.673856e+00	9.172585e+00	2.072922e+00	2.746842e+00	9.420316e+00	2.218558e+00	2.811589e+00	9.630583e+00	2.341486e+00	2.867039e+00	9.799615e+00	2.445126e+00	2.917794e+00	9.934787e+00
3             	1.595411e-02	-5.099931e-01	1.610383e-02	2.969515e-02	-6.050608e-01	-4.033828e-02	4.084570e-02	-6.542084e-01	-1.027356e-01	4.941925e-02	-6.824470e-01	-1.648253e-01	5.717220e-02	-7.042505e-01	-2.390996e-01	6.336067e-02	-7.216123e-01	-3.262621e-01	6.632610e-02	-7.320845e-01	-4.015436e-01	6.702775e-02	-7.408291e-01	-4.776006e-01	6.439484e-02	-7.528251e-01	-5.909257e-01	5.937372e-02	-7.618454e-01	-6.818694e-01	4.825460e-02	-7.746681e-01	-8.097649e-01	3.637719e-02	-7.851875e-01	-9.102433e-01	1.558475e-02	-8.005225e-01	-1.049668e+00	-1.110397e-02	-8.177825e-01	-1.194649e+00	-3.508501e-02	-8.319510e-01	-1.306602e+00	-7.241137e-02	-8.525386e-01	-1.459573e+00	-1.158628e-01	-8.750211e-01	-1.616099e+00	-1.653867e-01	-8.994527e-01	-1.775496e+00	-2.208626e-01	-9.256476e-01	-1.937095e+00	-2.982809e-01	-9.606963e-01	-2.141172e+00	-3.663307e-01	-9.903406e-01	-2.305238e+00	-4.394564e-01	-1.021273e+00	-2.469302e+00	-5.373482e-01	-1.061360e+00	-2.673294e+00	-6.202641e-01	-1.094258e+00	-2.834794e+00	-7.287189e-01	-1.136065e+00	-3.033353e+00	-8.413314e-01	-1.178298e+00	-3.226836e+00	-9.565991e-01	-1.220180e+00	-3.413684e+00	-1.072730e+00	-1.261245e+00	-3.592059e+00	-1.187411e+00	-1.300614e+00	-3.759648e+00	-1.297932e+00	-1.337343e+00	-3.913869e+00	-1.421380e+00	-1.376849e+00	-4.078223e+00
4             	3.698513e-02	-8.528031e-01	-1.716505e-02	6.595792e-02	-9.965389e-01	-1.472109e-01	9.986886e-02	-1.094480e+00	-3.465762e-01	1.288005e-01	-1.163075e+00	-5.609985e-01	1.554273e-01	-1.226062e+00	-8.184440e-01	1.764639e-01	-1.286185e+00	-1.115607e+00	1.871927e-01	-1.335553e+00	-1.391655e+00	1.895889e-01	-1.379678e+00	-1.654088e+00	1.810966e-01	-1.437663e+00	-2.012511e+00	1.657434e-01	-1.480958e+00	-2.286236e+00	1.330905e-01	-1.539551e+00	-2.657034e+00	9.936408e-02	-1.584579e+00	-2.939008e+00	4.205464e-02	-1.646218e+00	-3.319265e+00	-2.919479e-02	-1.709985e+00	-3.702745e+00	-9.156987e-02	-1.759099e+00	-3.991472e+00	-1.862209e-01	-1.826227e+00	-4.376454e+00	-2.933748e-01	-1.895019e+00	-4.759889e+00	-4.121792e-01	-1.965263e+00	-5.140033e+00	-5.417496e-01	-2.036603e+00	-5.515532e+00	-7.171715e-01	-2.126779e+00	-5.975965e+00	-8.668256e-01	-2.199232e+00	-6.335418e+00	-1.023386e+00	-2.271570e+00	-6.685533e+00	-1.226677e+00	-2.361175e+00	-7.108025e+00	-1.393576e+00	-2.431655e+00	-7.432331e+00	-1.604955e+00	-2.517583e+00	-7.818542e+00	-1.816315e+00	-2.600326e+00	-8.181095e+00	-2.024058e+00	-2.678857e+00	-8.517339e+00	-2.224208e+00	-2.752284e+00	-8.824335e+00	-2.412105e+00	-2.819403e+00	-9.098500e+00	-2.582182e+00	-2.878805e+00	-9.335372e+00	-2.752205e+00	-2.937482e+00	-9.561145e+00
5             	3.347567e-02	-6.670172e-01	-2.880572e-02	4.026188e-02	-6.965960e-01	-6.061520e-02	5.399214e-02	-7.246369e-01	-1.436167e-01	6.678406e-02	-7.472041e-01	-2.397966e-01	7.885936e-02	-7.697120e-01	-3.575821e-01	8.852580e-02	-7.927508e-01	-4.949076e-01	9.364619e-02	-8.134799e-01	-6.277593e-01	9.483014e-02	-8.330406e-01	-7.567891e-01	9.084253e-02	-8.582226e-01	-9.266922e-01	8.377233e-02	-8.767281e-01	-1.053130e+00	6.895980e-02	-9.016303e-01	-1.221772e+00	5.384137e-02	-9.206486e-01	-1.348411e+00	2.843809e-02	-9.463651e-01	-1.517327e+00	-2.744785e-03	-9.725995e-01	-1.685504e+00	-2.974684e-02	-9.924876e-01	-1.810766e+00	-7.025411e-02	-1.019224e+00	-1.975923e+00	-1.154996e-01	-1.046073e+00	-2.138255e+00	-1.649312e-01	-1.072910e+00	-2.296883e+00	-2.180528e-01	-1.099543e+00	-2.451326e+00	-2.886588e-01	-1.132284e+00	-2.637323e+00	-3.477302e-01	-1.157827e+00	-2.779771e+00	-4.083684e-01	-1.182623e+00	-2.915968e+00	-4.853336e-01	-1.212337e+00	-3.076702e+00	-5.469556e-01	-1.234866e+00	-3.197077e+00	-6.228403e-01	-1.261247e+00	-3.336546e+00	-6.960846e-01	-1.285399e+00	-3.463012e+00	-7.651623e-01	-1.306993e+00	-3.575643e+00	-8.284507e-01	-1.325803e+00	-3.673520e+00	-8.842110e-01	-1.341524e+00	-3.755648e+00	-9.302835e-01	-1.353744e+00	-3.820526e+00	-9.674303e-01	-1.362738e+00	-3.870618e+00
6             	-1.494088e-02	2.087383e-01	3.597592e-02	-3.581267e-02	2.943266e-01	1.315051e-01	-5.203517e-02	3.478488e-01	2.254881e-01	-6.497247e-02	3.851180e-01	3.201757e-01	-7.634081e-02	4.188794e-01	4.288795e-01	-8.498850e-02	4.504305e-01	5.498977e-01	-8.915142e-02	4.753165e-01	6.555404e-01	-9.000187e-02	4.964265e-01	7.499097e-01	-8.673003e-02	5.249290e-01	8.846448e-01	-8.074464e-02	5.466110e-01	9.901467e-01	-6.795381e-02	5.757493e-01	1.134003e+00	-5.473057e-02	5.978784e-01	1.243656e+00	-3.221169e-02	6.280929e-01	1.391829e+00	-4.106246e-03	6.591230e-01	1.541944e+00	2.059964e-02	6.830250e-01	1.655435e+00	5.827405e-02	7.156959e-01	1.807517e+00	1.011890e-01	7.492452e-01	1.959941e+00	1.491284e-01	7.835648e-01	2.112200e+00	2.017945e-01	8.186100e-01	2.263696e+00	2.737861e-01	8.632313e-01	2.451234e+00	3.358389e-01	8.994103e-01	2.599148e+00	4.014012e-01	9.358544e-01	2.744638e+00	4.875235e-01	9.814966e-01	2.922218e+00	5.591100e-01	1.017876e+00	3.060207e+00	6.510225e-01	1.062875e+00	3.226755e+00	7.444096e-01	1.106956e+00	3.385587e+00	8.378071e-01	1.149698e+00	3.535418e+00	9.295775e-01	1.190588e+00	3.674882e+00	1.017671e+00	1.229028e+00	3.802172e+00	1.099614e+00	1.264328e+00	3.915101e+00	1.186641e+00	1.301740e+00	4.029305e+00
7             	-2.445396e-02	6.093856e-01	1.009037e-02	-5.171419e-02	6.972847e-01	1.398502e-01	-7.888769e-02	7.631759e-01	3.015797e-01	-1.009588e-01	8.123998e-01	4.654937e-01	-1.201825e-01	8.588952e-01	6.509675e-01	-1.347280e-01	9.041047e-01	8.556786e-01	-1.419422e-01	9.420505e-01	1.040470e+00	-1.434855e-01	9.758140e-01	1.210491e+00	-1.379007e-01	1.020846e+00	1.443430e+00	-1.279797e-01	1.054477e+00	1.619038e+00	-1.072800e-01	1.099217e+00	1.852573e+00	-8.623851e-02	1.132919e+00	2.027404e+00	-5.091250e-02	1.178423e+00	2.260325e+00	-7.507887e-03	1.224539e+00	2.492563e+00	3.015999e-02	1.259572e+00	2.665894e+00	8.687082e-02	1.306783e+00	2.895241e+00	1.505577e-01	1.354456e+00	3.121874e+00	2.206545e-01	1.402387e+00	3.344957e+00	2.965769e-01	1.450480e+00	3.563823e+00	3.986147e-01	1.510470e+00	3.830269e+00	4.850656e-01	1.558108e+00	4.036860e+00	5.749588e-01	1.605197e+00	4.236880e+00	6.908909e-01	1.662920e+00	4.476625e+00	7.854226e-01	1.707915e+00	4.659400e+00	9.043313e-01	1.762299e+00	4.875576e+00	1.022263e+00	1.814169e+00	5.076851e+00	1.137171e+00	1.863038e+00	5.261873e+00	1.246860e+00	1.908367e+00	5.429217e+00	1.348821e+00	1.949544e+00	5.577150e+00	1.440114e+00	1.985844e+00	5.703519e+00	1.531677e+00	2.021912e+00	5.824297e+00
8             	-4.194161e-02	5.306247e-01	9.553831e-02	-5.729031e-02	5.441178e-01	1.754354e-01	-7.431156e-02	5.631751e-01	2.803426e-01	-8.644705e-02	5.791760e-01	3.720851e-01	-9.592344e-02	5.955316e-01	4.643449e-01	-1.025846e-01	6.127713e-01	5.583849e-01	-1.058529e-01	6.289167e-01	6.424664e-01	-1.065583e-01	6.442607e-01	7.198175e-01	-1.041738e-01	6.645826e-01	8.200585e-01	-1.002478e-01	6.792185e-01	8.894601e-01	-9.263702e-02	6.980002e-01	9.750727e-01	-8.532573e-02	7.116882e-01	1.035497e+00	-7.360084e-02	7.296276e-01	1.112340e+00	-5.990714e-02	7.470606e-01	1.185128e+00	-4.852124e-02	7.598072e-01	1.237138e+00	-3.209660e-02	7.762904e-01	1.303080e+00	-1.451363e-02	7.921427e-01	1.365187e+00	3.915096e-03	8.072606e-01	1.423399e+00	2.293043e-02	8.216671e-01	1.477807e+00	4.705046e-02	8.385465e-01	1.540336e+00	6.628441e-02	8.510937e-01	1.585962e+00	8.515225e-02	8.627447e-01	1.627639e+00	1.078191e-01	8.759890e-01	1.674185e+00	1.248993e-01	8.854998e-01	1.706971e+00	1.445117e-01	8.959802e-01	1.742375e+00	1.617427e-01	9.048642e-01	1.771568e+00	1.761551e-01	9.121250e-01	1.794590e+00	1.873115e-01	9.177133e-01	1.811453e+00	1.948321e-01	9.215997e-01	1.822231e+00	1.983276e-01	9.237314e-01	1.826957e+00	1.973171e-01	9.238264e-01	1.825566e+00
9             	-2.695490e-02	-4.443738e-02	1.248845e-01	-2.891167e-02	-9.045200e-02	1.440926e-01	-3.072350e-02	-1.161062e-01	1.594885e-01	-2.889041e-02	-1.338972e-01	1.477881e-01	-2.565979e-02	-1.491654e-01	1.174911e-01	-2.248591e-02	-1.622837e-01	7.296341e-02	-2.076936e-02	-1.715251e-01	2.903018e-02	-2.039727e-02	-1.785312e-01	-1.216529e-02	-2.194786e-02	-1.880764e-01	-7.619506e-02	-2.514527e-02	-1.959727e-01	-1.331714e-01	-3.253899e-02	-2.073117e-01	-2.172787e-01	-4.055113e-02	-2.163936e-01	-2.845028e-01	-5.464387e-02	-2.292633e-01	-3.783498e-01	-7.280887e-02	-2.432145e-01	-4.764732e-01	-8.916439e-02	-2.543907e-01	-5.524665e-01	-1.146328e-01	-2.702684e-01	-6.564086e-01	-1.442348e-01	-2.872232e-01	-7.626686e-01	-1.778564e-01	-3.052166e-01	-8.705599e-01	-2.153227e-01	-3.241150e-01	-9.794235e-01	-2.672176e-01	-3.488775e-01	-1.115938e+00	-3.124370e-01	-3.694519e-01	-1.224768e+00	-3.606024e-01	-3.905672e-01	-1.332667e+00	-4.243590e-01	-4.175071e-01	-1.465354e+00	-4.776912e-01	-4.393091e-01	-1.569103e+00	-5.465221e-01	-4.666400e-01	-1.694962e+00	-6.168032e-01	-4.937426e-01	-1.815575e+00	-6.873814e-01	-5.202798e-01	-1.929823e+00	-7.570007e-01	-5.459210e-01	-2.036577e+00	-8.241049e-01	-5.702642e-01	-2.134412e+00	-8.867627e-01	-5.928380e-01	-2.221545e+00	-9.521720e-01	-6.169689e-01	-2.308103e+00
