# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00
2             	5.281695e-01	1.639756e-01	1.408585e-01
3             	9.083571e-01	1.107149e-02	7.423109e-03
4             	2.334116e-01	4.670200e-03	3.783422e-03
5             	3.531215e-01	2.818505e-02	3.891649e-02
6             	2.991824e-01	5.528896e-02	1.501761e-02
7             	5.622737e-01	3.001644e-02	5.786342e-02
8             	4.309898e-01	1.608101e-02	1.244342e-02
9             	3.579226e-01	4.771266e-03	3.794193e-03
10            	3.304594e-01	5.875998e-03	6.778607e-03
11            	2.450776e-01	7.587693e-03	1.589079e-02
12            	1.728338e-01	4.179895e-03	9.891524e-03
13            	4.034416e-01	5.558159e-03	8.394006e-03
14            	5.871565e-01	4.332948e-03	4.749266e-03
15            	6.739598e-01	2.358631e-03	3.205929e-03
16            	3.296759e-01	3.205487e-03	5.045445e-03
17            	1.746300e-01	2.769675e-03	4.335834e-03
18            	1.487158e-01	1.977825e-03	3.704450e-03
19            	2.241439e-01	2.127374e-03	3.527524e-03
20            	3.127766e-01	1.601173e-03	2.759692e-03
21            	3.316262e-01	1.494549e-03	2.645654e-03
22            	2.105021e-01	1.489129e-03	2.749436e-03
23            	1.152193e-01	1.257796e-03	2.441664e-03
24            	1.181613e-01	1.216298e-03	2.388638e-03
25            	1.353954e-01	1.144308e-03	2.232246e-03
26            	1.547695e-01	1.042548e-03	2.092929e-03
27            	1.550061e-01	1.038272e-03	2.128565e-03
28            	1.050946e-01	9.934936e-04	2.076396e-03
29            	7.806091e-02	9.578694e-04	1.999626e-03
30            	8.003421e-02	9.407865e-04	1.972149e-03
31            	8.027749e-02	9.147751e-04	1.918184e-03
32            	8.224187e-02	8.964825e-04	1.896174e-03
33            	7.767281e-02	8.811629e-04	1.900248e-03
34            	6.337266e-02	8.628096e-04	1.873847e-03
35            	5.654386e-02	8.498056e-04	1.861850e-03
36            	5.374664e-02	8.449179e-04	1.849899e-03
37            	5.138468e-02	8.379701e-04	1.830779e-03
38            	5.065575e-02	8.301384e-04	1.820221e-03
39            	4.670240e-02	8.199919e-04	1.809645e-03
40            	4.209502e-02	8.121602e-04	1.809862e-03
41            	3.968269e-02	8.066247e-04	1.808726e-03
42            	3.685977e-02	8.044395e-04	1.796127e-03
43            	3.490319e-02	8.022404e-04	1.785117e-03
44            	3.374036e-02	7.962276e-04	1.777682e-03
45            	3.180416e-02	7.894626e-04	1.782729e-03
46            	2.998238e-02	7.844929e-04	1.785664e-03
47            	2.832579e-02	7.826676e-04	1.777681e-03
