# y+ ()       
# Time        	patch         	min           	max           	average       
0             	airfoil-l1	1.546494e+00	1.993530e+00	1.718646e+00
0             	wall-l1	0.000000e+00	0.000000e+00	0.000000e+00
0             	airfoil-l2	1.791117e+00	1.844756e+00	1.808596e+00
0             	wall-l2	0.000000e+00	0.000000e+00	0.000000e+00
0             	wall-h2	0.000000e+00	0.000000e+00	0.000000e+00
0             	airfoil-h2	1.791556e+00	1.843821e+00	1.812044e+00
0             	wall-h1	0.000000e+00	0.000000e+00	0.000000e+00
0             	airfoil-h1	1.550894e+00	1.993440e+00	1.712507e+00
50            	airfoil-l1	2.467866e-02	3.215639e-01	1.626313e-01
50            	wall-l1	9.817837e+01	1.238114e+02	1.057170e+02
50            	airfoil-l2	1.504584e-01	1.741207e-01	1.646859e-01
50            	wall-l2	1.003694e+02	1.461406e+02	1.149395e+02
50            	wall-h2	5.858880e+01	8.910381e+01	7.096780e+01
50            	airfoil-h2	1.261224e-01	1.572512e-01	1.496604e-01
50            	wall-h1	5.668564e+01	1.031317e+02	7.401097e+01
50            	airfoil-h1	7.253139e-02	3.698944e-01	1.492381e-01
100           	airfoil-l1	7.904862e-02	3.984657e-01	1.482662e-01
100           	wall-l1	1.165515e+02	1.278405e+02	1.241236e+02
100           	airfoil-l2	1.350819e-01	1.598400e-01	1.504705e-01
100           	wall-l2	1.266596e+02	1.885776e+02	1.436234e+02
100           	wall-h2	9.336181e+01	1.888222e+02	1.211436e+02
100           	airfoil-h2	2.917715e-02	1.161712e-01	8.594625e-02
100           	wall-h1	9.557045e+01	1.521140e+02	1.281987e+02
100           	airfoil-h1	1.132306e-01	4.128834e-01	1.503930e-01
150           	airfoil-l1	2.486519e-02	4.305293e-01	1.334008e-01
150           	wall-l1	1.227100e+02	1.247051e+02	1.236312e+02
150           	airfoil-l2	1.352140e-01	1.504209e-01	1.427977e-01
150           	wall-l2	1.245965e+02	1.756817e+02	1.417273e+02
150           	wall-h2	1.673388e+02	1.990095e+02	1.754825e+02
150           	airfoil-h2	2.285331e-02	1.058582e-01	6.634313e-02
150           	wall-h1	1.471283e+02	1.697447e+02	1.627190e+02
150           	airfoil-h1	1.035672e-01	4.433128e-01	1.662693e-01
200           	airfoil-l1	1.766188e-02	4.443117e-01	1.276420e-01
200           	wall-l1	1.175039e+02	1.291662e+02	1.247281e+02
200           	airfoil-l2	1.310815e-01	1.447196e-01	1.371649e-01
200           	wall-l2	1.292135e+02	1.719532e+02	1.413634e+02
200           	wall-h2	1.517747e+02	2.000743e+02	1.709566e+02
200           	airfoil-h2	3.831691e-03	1.080726e-01	5.924158e-02
200           	wall-h1	1.345232e+02	1.514564e+02	1.404831e+02
200           	airfoil-h1	1.062222e-01	4.572948e-01	1.840581e-01
