# Force coefficients
# liftDir     : (-2.588190e-01 9.659258e-01 0.000000e+00)
# dragDir     : (9.659258e-01 2.588190e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 5.148150e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e-02
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
1             	3.785005e+00	6.721320e+00	1.709264e+01	1.233132e+01	4.761314e+00
2             	1.776857e+00	3.256599e+00	9.169722e+00	6.361718e+00	2.808004e+00
3             	-1.531857e+00	-2.246156e+00	-4.904067e+00	-3.983891e+00	-9.201761e-01
4             	-2.083817e+00	-3.807914e+00	-8.983386e+00	-6.575510e+00	-2.407876e+00
5             	-2.219861e-01	-1.176717e+00	-2.475755e+00	-1.459864e+00	-1.015892e+00
6             	1.334277e+00	1.825553e+00	4.665335e+00	3.666944e+00	9.983905e-01
7             	1.199476e+00	2.510451e+00	5.733502e+00	4.066227e+00	1.667275e+00
8             	-9.051100e-02	1.035008e+00	1.677883e+00	7.484306e-01	9.294526e-01
9             	-8.214721e-01	-1.030456e+00	-2.079875e+00	-1.861410e+00	-2.184655e-01
10            	-4.065682e-01	-1.503790e+00	-2.025544e+00	-1.419340e+00	-6.062038e-01
11            	3.180562e-01	-3.661646e-01	4.824088e-01	5.592606e-01	-7.685180e-02
12            	6.463117e-01	7.593816e-01	2.424046e+00	1.858335e+00	5.657113e-01
13            	3.113686e-01	9.448167e-01	2.205772e+00	1.414255e+00	7.915176e-01
14            	-1.728453e-01	3.742997e-01	7.647760e-01	2.095427e-01	5.552333e-01
15            	-2.784227e-01	-2.640208e-01	-2.035435e-01	-3.801945e-01	1.766510e-01
16            	-4.500702e-02	-3.300903e-01	7.679686e-02	-6.608591e-03	8.340545e-02
17            	1.940511e-01	4.044458e-02	8.783111e-01	6.332067e-01	2.451044e-01
18            	2.327642e-01	4.041086e-01	1.384008e+00	9.247682e-01	4.592399e-01
19            	8.292502e-02	4.322551e-01	1.261321e+00	7.135856e-01	5.477356e-01
20            	-5.598108e-02	2.269409e-01	8.578576e-01	3.729477e-01	4.849099e-01
21            	-5.875468e-02	6.495502e-02	6.406905e-01	2.615906e-01	3.790999e-01
22            	3.536699e-02	6.800716e-02	7.275182e-01	3.991261e-01	3.283921e-01
23            	1.028654e-01	2.005723e-01	9.790714e-01	5.924011e-01	3.866703e-01
24            	9.021316e-02	2.933241e-01	1.120047e+00	6.502368e-01	4.698104e-01
25            	3.115124e-02	2.893222e-01	1.088467e+00	5.753846e-01	5.130821e-01
26            	-6.018488e-03	2.222986e-01	9.793821e-01	4.836725e-01	4.957095e-01
27            	5.531794e-03	1.727467e-01	9.142519e-01	4.626577e-01	4.515942e-01
28            	3.794948e-02	1.881086e-01	9.480137e-01	5.119564e-01	4.360574e-01
29            	5.264265e-02	2.351619e-01	1.032569e+00	5.689270e-01	4.636417e-01
30            	3.947702e-02	2.604962e-01	1.089030e+00	5.839920e-01	5.050380e-01
31            	1.747301e-02	2.486432e-01	1.086245e+00	5.605953e-01	5.256493e-01
32            	8.414188e-03	2.226707e-01	1.048531e+00	5.326796e-01	5.158512e-01
33            	1.726355e-02	2.135632e-01	1.029998e+00	5.322628e-01	4.977357e-01
34            	3.037650e-02	2.249837e-01	1.049719e+00	5.552360e-01	4.944831e-01
35            	3.429623e-02	2.429436e-01	1.091634e+00	5.801132e-01	5.115208e-01
36            	2.684109e-02	2.495883e-01	1.118730e+00	5.862060e-01	5.325239e-01
37            	1.585722e-02	2.434145e-01	1.114782e+00	5.732484e-01	5.415340e-01
38            	9.896828e-03	2.342093e-01	1.093941e+00	5.568672e-01	5.370736e-01
39            	1.153785e-02	2.328056e-01	1.085266e+00	5.541707e-01	5.310950e-01
40            	1.716198e-02	2.394480e-01	1.102545e+00	5.684346e-01	5.341107e-01
