# Force coefficient bins
# bins        : 31
# start       : 7.799950e-05
# delta       : 3.204169e-02
# direction   : (1.000000e+00 0.000000e+00 0.000000e+00)
# x co-ords  :	3.211969e-02	6.416137e-02	9.620306e-02	1.282448e-01	1.602864e-01	1.923281e-01	2.243698e-01	2.564115e-01	2.884532e-01	3.204949e-01	3.525366e-01	3.845783e-01	4.166199e-01	4.486616e-01	4.807033e-01	5.127450e-01	5.447867e-01	5.768284e-01	6.088701e-01	6.409118e-01	6.729534e-01	7.049951e-01	7.370368e-01	7.690785e-01	8.011202e-01	8.331619e-01	8.652036e-01	8.972453e-01	9.292869e-01	9.613286e-01	9.933703e-01
# y co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# z co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# Time        	Cm(0)         	Cd(0)         	Cl(0)         	Cm(1)         	Cd(1)         	Cl(1)         	Cm(2)         	Cd(2)         	Cl(2)         	Cm(3)         	Cd(3)         	Cl(3)         	Cm(4)         	Cd(4)         	Cl(4)         	Cm(5)         	Cd(5)         	Cl(5)         	Cm(6)         	Cd(6)         	Cl(6)         	Cm(7)         	Cd(7)         	Cl(7)         	Cm(8)         	Cd(8)         	Cl(8)         	Cm(9)         	Cd(9)         	Cl(9)         	Cm(10)        	Cd(10)        	Cl(10)        	Cm(11)        	Cd(11)        	Cl(11)        	Cm(12)        	Cd(12)        	Cl(12)        	Cm(13)        	Cd(13)        	Cl(13)        	Cm(14)        	Cd(14)        	Cl(14)        	Cm(15)        	Cd(15)        	Cl(15)        	Cm(16)        	Cd(16)        	Cl(16)        	Cm(17)        	Cd(17)        	Cl(17)        	Cm(18)        	Cd(18)        	Cl(18)        	Cm(19)        	Cd(19)        	Cl(19)        	Cm(20)        	Cd(20)        	Cl(20)        	Cm(21)        	Cd(21)        	Cl(21)        	Cm(22)        	Cd(22)        	Cl(22)        	Cm(23)        	Cd(23)        	Cl(23)        	Cm(24)        	Cd(24)        	Cl(24)        	Cm(25)        	Cd(25)        	Cl(25)        	Cm(26)        	Cd(26)        	Cl(26)        	Cm(27)        	Cd(27)        	Cl(27)        	Cm(28)        	Cd(28)        	Cl(28)        	Cm(29)        	Cd(29)        	Cl(29)        	Cm(30)        	Cd(30)        	Cl(30)        
1             	-1.286215e-01	1.347042e+00	2.446985e-01	-2.676308e-01	1.784496e+00	8.790607e-01	-3.961820e-01	2.127028e+00	1.612566e+00	-4.925666e-01	2.388509e+00	2.302526e+00	-5.731840e-01	2.640453e+00	3.060588e+00	-6.249119e-01	2.856436e+00	3.769834e+00	-6.512775e-01	3.051698e+00	4.444166e+00	-6.550699e-01	3.162861e+00	4.842160e+00	-6.366772e-01	3.372926e+00	5.615723e+00	-6.151127e-01	3.474272e+00	5.995543e+00	-5.483160e-01	3.672757e+00	6.745045e+00	-5.034713e-01	3.770588e+00	7.115166e+00	-3.918966e-01	3.964422e+00	7.846155e+00	-3.255908e-01	4.060649e+00	8.206857e+00	-1.730704e-01	4.252009e+00	8.918039e+00	4.403456e-03	4.442034e+00	9.614653e+00	1.018580e-01	4.536512e+00	9.957075e+00	3.127853e-01	4.724162e+00	1.062909e+01	5.431346e-01	4.909718e+00	1.128277e+01	7.904277e-01	5.092632e+00	1.191655e+01	1.052045e+00	5.272276e+00	1.252882e+01	1.187362e+00	5.360650e+00	1.282638e+01	1.465184e+00	5.534027e+00	1.340323e+01	1.750022e+00	5.702218e+00	1.395420e+01	2.038558e+00	5.864315e+00	1.447724e+01	2.327243e+00	6.019349e+00	1.497019e+01	2.612108e+00	6.166202e+00	1.543042e+01	3.022305e+00	6.368304e+00	1.605252e+01	3.276322e+00	6.488541e+00	1.641564e+01	3.506380e+00	6.594606e+00	1.673044e+01	3.785005e+00	6.721320e+00	1.709264e+01
2             	-5.992219e-02	5.262233e-01	1.403715e-01	-1.269627e-01	7.191439e-01	4.518112e-01	-1.968798e-01	8.894802e-01	8.555766e-01	-2.523054e-01	1.029310e+00	1.255281e+00	-2.993164e-01	1.169463e+00	1.699030e+00	-3.288636e-01	1.290266e+00	2.104110e+00	-3.435510e-01	1.399712e+00	2.481673e+00	-3.459046e-01	1.467858e+00	2.729641e+00	-3.341283e-01	1.600783e+00	3.224380e+00	-3.204196e-01	1.665185e+00	3.465676e+00	-2.787400e-01	1.790153e+00	3.933204e+00	-2.512975e-01	1.850860e+00	4.159382e+00	-1.844344e-01	1.968956e+00	4.596990e+00	-1.454689e-01	2.026407e+00	4.808658e+00	-5.756440e-02	2.138185e+00	5.218178e+00	4.221299e-02	2.245796e+00	5.609634e+00	9.601393e-02	2.298010e+00	5.798624e+00	2.103273e-01	2.399145e+00	6.162993e+00	3.321281e-01	2.495754e+00	6.509057e+00	4.597191e-01	2.587719e+00	6.836711e+00	5.913648e-01	2.674864e+00	7.145690e+00	6.581889e-01	2.716590e+00	7.293131e+00	7.928633e-01	2.796317e+00	7.573923e+00	9.276445e-01	2.871039e+00	7.835944e+00	1.060934e+00	2.940645e+00	8.078986e+00	1.191098e+00	3.004996e+00	8.302741e+00	1.316364e+00	3.063879e+00	8.506655e+00	1.490749e+00	3.141295e+00	8.773457e+00	1.594390e+00	3.184893e+00	8.923089e+00	1.683604e+00	3.220872e+00	9.046564e+00	1.776857e+00	3.256599e+00	9.169722e+00
3             	2.657346e-02	-5.455748e-01	2.065812e-02	6.214543e-02	-7.087078e-01	-1.280291e-01	9.398992e-02	-8.208073e-01	-3.024159e-01	1.174928e-01	-8.988283e-01	-4.669920e-01	1.380384e-01	-9.707763e-01	-6.586756e-01	1.536669e-01	-1.036861e+00	-8.750752e-01	1.626505e-01	-1.099064e+00	-1.098188e+00	1.632624e-01	-1.118815e+00	-1.160149e+00	1.605877e-01	-1.151663e+00	-1.270307e+00	1.570071e-01	-1.168653e+00	-1.333778e+00	1.450666e-01	-1.201956e+00	-1.468687e+00	1.367146e-01	-1.218228e+00	-1.538387e+00	1.150818e-01	-1.250856e+00	-1.681688e+00	1.016424e-01	-1.267660e+00	-1.755681e+00	6.917034e-02	-1.302994e+00	-1.908683e+00	2.881371e-02	-1.341236e+00	-2.068523e+00	5.463051e-03	-1.361661e+00	-2.151250e+00	-4.807595e-02	-1.405484e+00	-2.322890e+00	-1.113361e-01	-1.453612e+00	-2.503183e+00	-1.853316e-01	-1.506706e+00	-2.693263e+00	-2.694966e-01	-1.563968e+00	-2.890395e+00	-3.149236e-01	-1.593715e+00	-2.990303e+00	-4.114857e-01	-1.654659e+00	-3.190634e+00	-5.145399e-01	-1.716780e+00	-3.389655e+00	-6.227225e-01	-1.779271e+00	-3.585319e+00	-7.347426e-01	-1.841483e+00	-3.776059e+00	-8.492830e-01	-1.902835e+00	-3.960495e+00	-1.025517e+00	-1.993704e+00	-4.226555e+00	-1.149555e+00	-2.055989e+00	-4.402846e+00	-1.286609e+00	-2.124183e+00	-4.588918e+00	-1.531857e+00	-2.246156e+00	-4.904067e+00
4             	8.549709e-02	-9.875820e-01	-1.326417e-01	1.503670e-01	-1.236338e+00	-4.171610e-01	2.155886e-01	-1.428884e+00	-7.848585e-01	2.676794e-01	-1.576757e+00	-1.156432e+00	3.142565e-01	-1.723051e+00	-1.595229e+00	3.485043e-01	-1.860942e+00	-2.069610e+00	3.654995e-01	-1.980328e+00	-2.488743e+00	3.671423e-01	-2.031397e+00	-2.658466e+00	3.587575e-01	-2.130455e+00	-3.009557e+00	3.484931e-01	-2.178908e+00	-3.190829e+00	3.165308e-01	-2.271694e+00	-3.550911e+00	2.952784e-01	-2.316000e+00	-3.727153e+00	2.428999e-01	-2.401728e+00	-4.072229e+00	2.118921e-01	-2.443732e+00	-4.241897e+00	1.406284e-01	-2.526803e+00	-4.576192e+00	5.776360e-02	-2.608921e+00	-4.903471e+00	1.213965e-02	-2.649800e+00	-5.064775e+00	-8.742309e-02	-2.731683e+00	-5.383913e+00	-1.978038e-01	-2.814046e+00	-5.698997e+00	-3.193640e-01	-2.897859e+00	-6.012230e+00	-4.508006e-01	-2.982458e+00	-6.321414e+00	-5.195389e-01	-3.024648e+00	-6.473330e+00	-6.617018e-01	-3.108137e+00	-6.769959e+00	-8.088379e-01	-3.190060e+00	-7.055941e+00	-9.593535e-01	-3.269974e+00	-7.330066e+00	-1.111967e+00	-3.347701e+00	-7.591814e+00	-1.265134e+00	-3.422925e+00	-7.840282e+00	-1.494289e+00	-3.531535e+00	-8.188872e+00	-1.646906e+00	-3.602207e+00	-8.407418e+00	-1.805953e+00	-3.675832e+00	-8.624851e+00	-2.083817e+00	-3.807914e+00	-8.983386e+00
5             	6.345345e-02	-5.216493e-01	-1.504953e-01	8.352368e-02	-5.846863e-01	-2.421410e-01	1.052095e-01	-6.385761e-01	-3.674545e-01	1.254240e-01	-6.865409e-01	-5.144402e-01	1.460732e-01	-7.418698e-01	-7.121765e-01	1.636082e-01	-8.042330e-01	-9.573964e-01	1.687280e-01	-8.381627e-01	-1.068535e+00	1.689473e-01	-8.474838e-01	-1.089524e+00	1.663318e-01	-8.789261e-01	-1.196082e+00	1.625655e-01	-8.968611e-01	-1.262761e+00	1.510477e-01	-9.308709e-01	-1.392772e+00	1.435469e-01	-9.470159e-01	-1.454930e+00	1.255291e-01	-9.778705e-01	-1.573495e+00	1.151953e-01	-9.925868e-01	-1.629903e+00	9.227263e-02	-1.020581e+00	-1.737252e+00	6.705356e-02	-1.046311e+00	-1.836809e+00	5.391765e-02	-1.058149e+00	-1.883268e+00	2.702307e-02	-1.079794e+00	-1.969726e+00	-1.009107e-05	-1.098649e+00	-2.047364e+00	-2.643607e-02	-1.114676e+00	-2.116143e+00	-5.200802e-02	-1.128245e+00	-2.177149e+00	-6.422560e-02	-1.134053e+00	-2.204621e+00	-8.720046e-02	-1.143747e+00	-2.253642e+00	-1.078466e-01	-1.150956e+00	-2.294969e+00	-1.259361e-01	-1.155926e+00	-2.329200e+00	-1.412983e-01	-1.158909e+00	-2.356879e+00	-1.543826e-01	-1.160522e+00	-2.379417e+00	-1.698727e-01	-1.161048e+00	-2.404860e+00	-1.780081e-01	-1.160821e+00	-2.417591e+00	-1.850280e-01	-1.160741e+00	-2.428087e+00	-2.219861e-01	-1.176717e+00	-2.475755e+00
6             	-1.432871e-02	2.791990e-01	-4.409570e-03	-5.085745e-02	4.196882e-01	1.550815e-01	-8.265208e-02	5.204951e-01	3.319319e-01	-1.036364e-01	5.903585e-01	4.783765e-01	-1.178912e-01	6.479700e-01	6.079624e-01	-1.250746e-01	6.884457e-01	7.057574e-01	-1.351057e-01	7.590652e-01	9.766979e-01	-1.365160e-01	7.981430e-01	1.125982e+00	-1.317927e-01	8.519732e-01	1.327093e+00	-1.272873e-01	8.728908e-01	1.406273e+00	-1.135672e-01	9.119101e-01	1.560472e+00	-1.041617e-01	9.307708e-01	1.638457e+00	-8.018413e-02	9.679308e-01	1.796558e+00	-6.566913e-02	9.864243e-01	1.876164e+00	-3.175482e-02	1.023622e+00	2.035626e+00	8.585137e-03	1.061637e+00	2.195249e+00	3.129266e-02	1.081268e+00	2.275649e+00	8.202075e-02	1.122149e+00	2.438303e+00	1.407240e-01	1.166063e+00	2.605683e+00	2.080536e-01	1.213438e+00	2.778793e+00	2.837528e-01	1.263890e+00	2.956284e+00	3.242748e-01	1.289857e+00	3.045513e+00	4.108803e-01	1.343479e+00	3.225399e+00	5.037617e-01	1.398523e+00	3.404953e+00	6.031073e-01	1.455232e+00	3.584759e+00	7.075754e-01	1.512786e+00	3.762710e+00	8.166374e-01	1.571004e+00	3.938337e+00	9.801392e-01	1.654740e+00	4.185405e+00	1.087986e+00	1.708065e+00	4.338915e+00	1.195071e+00	1.759976e+00	4.484761e+00	1.334277e+00	1.825553e+00	4.665335e+00
7             	-8.082006e-02	7.615446e-01	1.688473e-01	-1.350561e-01	9.314198e-01	4.147387e-01	-1.772122e-01	1.048695e+00	6.536982e-01	-2.067162e-01	1.135281e+00	8.628706e-01	-2.286750e-01	1.212633e+00	1.066214e+00	-2.444081e-01	1.282759e+00	1.287453e+00	-2.597258e-01	1.385128e+00	1.684201e+00	-2.614050e-01	1.432781e+00	1.861529e+00	-2.549560e-01	1.506421e+00	2.132920e+00	-2.484244e-01	1.536860e+00	2.247846e+00	-2.283050e-01	1.594636e+00	2.474128e+00	-2.149571e-01	1.622045e+00	2.584694e+00	-1.822309e-01	1.674793e+00	2.800211e+00	-1.630955e-01	1.700370e+00	2.904863e+00	-1.197079e-01	1.750390e+00	3.108349e+00	-6.992032e-02	1.799293e+00	3.304930e+00	-4.261559e-02	1.823598e+00	3.401431e+00	1.664696e-02	1.872066e+00	3.591341e+00	8.228322e-02	1.920879e+00	3.778632e+00	1.547160e-01	1.970765e+00	3.965202e+00	2.330652e-01	2.021234e+00	4.149420e+00	2.740335e-01	2.046427e+00	4.239918e+00	3.594847e-01	2.096890e+00	4.418087e+00	4.486464e-01	2.146968e+00	4.591214e+00	5.412526e-01	2.196779e+00	4.759657e+00	6.366446e-01	2.246158e+00	4.923012e+00	7.333137e-01	2.294445e+00	5.079593e+00	8.721921e-01	2.360473e+00	5.290870e+00	9.593449e-01	2.400198e+00	5.415847e+00	1.046415e+00	2.439471e+00	5.535186e+00	1.199476e+00	2.510451e+00	5.733502e+00
8             	-9.756131e-02	6.654464e-01	2.651026e-01	-1.252678e-01	7.050814e-01	4.023955e-01	-1.397541e-01	7.274528e-01	4.888600e-01	-1.478911e-01	7.451440e-01	5.478230e-01	-1.517359e-01	7.591807e-01	5.827201e-01	-1.592169e-01	7.873420e-01	6.959073e-01	-1.697254e-01	8.496248e-01	9.617934e-01	-1.704936e-01	8.707864e-01	1.043835e+00	-1.678907e-01	8.995638e-01	1.151755e+00	-1.653148e-01	9.114521e-01	1.196952e+00	-1.568599e-01	9.359991e-01	1.291498e+00	-1.511404e-01	9.483616e-01	1.338634e+00	-1.382593e-01	9.714528e-01	1.422953e+00	-1.315709e-01	9.819635e-01	1.459053e+00	-1.179984e-01	1.001226e+00	1.521749e+00	-1.042487e-01	1.018393e+00	1.575045e+00	-9.735021e-02	1.026217e+00	1.598941e+00	-8.380282e-02	1.040175e+00	1.641578e+00	-7.134996e-02	1.051454e+00	1.676574e+00	-6.017439e-02	1.060393e+00	1.705024e+00	-5.098215e-02	1.066870e+00	1.726499e+00	-4.718614e-02	1.069258e+00	1.734855e+00	-4.118827e-02	1.072559e+00	1.747431e+00	-3.744419e-02	1.073996e+00	1.754879e+00	-3.685557e-02	1.073149e+00	1.756272e+00	-3.891284e-02	1.070591e+00	1.753151e+00	-4.518887e-02	1.065511e+00	1.743535e+00	-6.649327e-02	1.051260e+00	1.712326e+00	-8.574378e-02	1.039438e+00	1.685555e+00	-1.062180e-01	1.027484e+00	1.658189e+00	-9.051100e-02	1.035008e+00	1.677883e+00
9             	8.169964e-03	-2.724770e-01	3.321046e-02	1.758035e-02	-3.598555e-01	5.190721e-03	3.129913e-02	-4.191659e-01	-6.746041e-02	4.460233e-02	-4.624498e-01	-1.614313e-01	5.915103e-02	-5.071407e-01	-2.988167e-01	6.123634e-02	-5.228726e-01	-3.152557e-01	5.772468e-02	-5.123502e-01	-2.335455e-01	5.785861e-02	-5.176347e-01	-2.459105e-01	5.677674e-02	-5.324463e-01	-2.960113e-01	5.530353e-02	-5.395214e-01	-3.221978e-01	5.194903e-02	-5.483835e-01	-3.606438e-01	4.971459e-02	-5.517791e-01	-3.796260e-01	4.296474e-02	-5.586415e-01	-4.251561e-01	3.800288e-02	-5.627032e-01	-4.530911e-01	2.482964e-02	-5.722263e-01	-5.164498e-01	7.732231e-03	-5.834728e-01	-5.855144e-01	-2.362192e-03	-5.899297e-01	-6.219282e-01	-2.593732e-02	-6.048307e-01	-6.986906e-01	-5.520151e-02	-6.233281e-01	-7.830967e-01	-9.049916e-02	-6.453018e-01	-8.746726e-01	-1.320213e-01	-6.705233e-01	-9.727140e-01	-1.547116e-01	-6.839554e-01	-1.023001e+00	-2.039931e-01	-7.124351e-01	-1.125929e+00	-2.577714e-01	-7.425257e-01	-1.230400e+00	-3.171782e-01	-7.750379e-01	-1.338303e+00	-3.811190e-01	-8.091858e-01	-1.447522e+00	-4.508240e-01	-8.457559e-01	-1.559928e+00	-5.655781e-01	-9.047320e-01	-1.733220e+00	-6.430839e-01	-9.434549e-01	-1.843440e+00	-7.250790e-01	-9.840392e-01	-1.954886e+00	-8.214721e-01	-1.030456e+00	-2.079875e+00
10            	9.887966e-02	-8.767120e-01	-2.154363e-01	1.222955e-01	-9.746717e-01	-3.142867e-01	1.383223e-01	-1.026385e+00	-4.035058e-01	1.533048e-01	-1.066247e+00	-5.117268e-01	1.688415e-01	-1.109275e+00	-6.588485e-01	1.700761e-01	-1.121738e+00	-6.647762e-01	1.687646e-01	-1.124099e+00	-6.416841e-01	1.690966e-01	-1.134596e+00	-6.748956e-01	1.677063e-01	-1.153413e+00	-7.396213e-01	1.660612e-01	-1.161248e+00	-7.688351e-01	1.619062e-01	-1.172123e+00	-8.163800e-01	1.590304e-01	-1.176766e+00	-8.406938e-01	1.507774e-01	-1.186466e+00	-8.960481e-01	1.452487e-01	-1.191841e+00	-9.269295e-01	1.319995e-01	-1.203278e+00	-9.902394e-01	1.164742e-01	-1.215400e+00	-1.052491e+00	1.077549e-01	-1.221909e+00	-1.083696e+00	8.810879e-02	-1.235992e+00	-1.147249e+00	6.478542e-02	-1.251948e+00	-1.214225e+00	3.768741e-02	-1.269557e+00	-1.284353e+00	7.153119e-03	-1.288403e+00	-1.356397e+00	-8.849515e-03	-1.297856e+00	-1.391872e+00	-4.223882e-02	-1.316869e+00	-1.461709e+00	-7.662507e-02	-1.335561e+00	-1.528679e+00	-1.126114e-01	-1.354547e+00	-1.594250e+00	-1.502768e-01	-1.373992e+00	-1.658772e+00	-1.910528e-01	-1.394891e+00	-1.724665e+00	-2.561280e-01	-1.427866e+00	-1.823088e+00	-2.982182e-01	-1.448811e+00	-1.882975e+00	-3.435188e-01	-1.471576e+00	-1.944448e+00	-4.065682e-01	-1.503790e+00	-2.025544e+00
