# Residuals   
# Time        	p             	Ux            	Uy            
1             	1.000000e+00	1.000000e+00	1.000000e+00
2             	2.337565e-01	5.994900e-02	1.496293e-01
3             	2.551219e-01	2.053571e-02	1.851265e-02
4             	1.847383e-01	8.464281e-03	1.003093e-02
5             	1.458856e-01	2.449037e-02	4.784075e-02
6             	2.742257e-01	1.766484e-02	1.039072e-01
7             	1.756457e-01	1.469354e-02	1.460910e-01
8             	1.473706e-01	1.711145e-02	3.661494e-02
9             	4.291595e-01	7.890617e-03	1.109028e-02
10            	1.667997e-01	6.931937e-03	1.210346e-02
11            	1.552955e-01	7.798810e-03	2.111307e-02
12            	3.592100e-01	5.520475e-03	2.158026e-02
13            	2.846915e-01	6.544390e-03	2.298106e-02
14            	2.993106e-01	6.013480e-03	1.515763e-02
15            	3.890459e-01	4.039784e-03	8.393707e-03
16            	2.006739e-01	3.904251e-03	9.444664e-03
17            	2.084527e-01	3.655827e-03	9.724935e-03
18            	3.690446e-01	3.450397e-03	9.575680e-03
19            	6.057852e-01	3.679989e-03	1.037288e-02
20            	5.387178e-01	3.306274e-03	8.530101e-03
21            	2.482939e-01	2.875082e-03	6.651829e-03
22            	1.793253e-01	2.685053e-03	6.819948e-03
23            	1.926112e-01	2.524762e-03	6.820263e-03
24            	2.580657e-01	2.449780e-03	7.221428e-03
25            	2.662236e-01	2.458348e-03	7.262727e-03
26            	2.058400e-01	2.407111e-03	6.572297e-03
27            	1.580026e-01	2.293908e-03	6.094532e-03
28            	1.395243e-01	2.161150e-03	5.950444e-03
29            	1.444850e-01	2.064351e-03	6.085373e-03
30            	1.502344e-01	2.032968e-03	6.318334e-03
31            	1.352829e-01	2.029629e-03	6.158302e-03
32            	1.152005e-01	2.001641e-03	5.812185e-03
33            	1.003317e-01	1.939242e-03	5.607904e-03
34            	9.295734e-02	1.868389e-03	5.557056e-03
35            	9.120681e-02	1.823225e-03	5.590031e-03
36            	8.933713e-02	1.801539e-03	5.566240e-03
37            	8.145109e-02	1.783172e-03	5.422530e-03
38            	7.378245e-02	1.751217e-03	5.280857e-03
39            	6.864049e-02	1.707354e-03	5.210634e-03
40            	6.410917e-02	1.667013e-03	5.172593e-03
41            	6.118561e-02	1.640315e-03	5.119415e-03
42            	5.836068e-02	1.618167e-03	5.043055e-03
43            	5.409745e-02	1.592803e-03	4.946209e-03
44            	4.968603e-02	1.561705e-03	4.859545e-03
45            	4.650471e-02	1.527356e-03	4.803971e-03
46            	4.400563e-02	1.497246e-03	4.767243e-03
47            	4.095169e-02	1.471968e-03	4.727827e-03
48            	3.846459e-02	1.447924e-03	4.659549e-03
49            	3.623317e-02	1.422222e-03	4.578502e-03
50            	3.378720e-02	1.395266e-03	4.506047e-03
51            	3.161729e-02	1.369702e-03	4.438199e-03
52            	2.978961e-02	1.347468e-03	4.367018e-03
53            	2.802295e-02	1.325699e-03	4.303465e-03
54            	2.639039e-02	1.303252e-03	4.247702e-03
55            	2.480972e-02	1.279833e-03	4.183202e-03
56            	2.320773e-02	1.255771e-03	4.118585e-03
57            	2.179000e-02	1.231757e-03	4.051549e-03
58            	2.065084e-02	1.210280e-03	3.988476e-03
59            	1.963359e-02	1.189133e-03	3.914872e-03
60            	1.867326e-02	1.167635e-03	3.837328e-03
61            	1.789846e-02	1.145567e-03	3.767799e-03
62            	1.691716e-02	1.122953e-03	3.709009e-03
63            	1.592484e-02	1.100600e-03	3.655307e-03
64            	1.523635e-02	1.079160e-03	3.599930e-03
65            	1.455514e-02	1.059999e-03	3.543978e-03
66            	1.397216e-02	1.041539e-03	3.480669e-03
67            	1.335455e-02	1.022838e-03	3.419375e-03
68            	1.269807e-02	1.004030e-03	3.363926e-03
69            	1.211049e-02	9.858036e-04	3.317421e-03
70            	1.161057e-02	9.685531e-04	3.271471e-03
71            	1.109512e-02	9.526903e-04	3.226028e-03
72            	1.060183e-02	9.373609e-04	3.182572e-03
73            	1.009154e-02	9.228256e-04	3.142248e-03
74            	9.572017e-03	9.086831e-04	3.103683e-03
75            	9.120450e-03	8.958849e-04	3.068819e-03
76            	8.781025e-03	8.841519e-04	3.038703e-03
77            	8.417193e-03	8.739083e-04	3.005261e-03
78            	8.052150e-03	8.640489e-04	2.974305e-03
79            	7.702872e-03	8.546578e-04	2.945610e-03
80            	7.351284e-03	8.457317e-04	2.918571e-03
81            	7.017385e-03	8.368637e-04	2.888203e-03
82            	6.734107e-03	8.283333e-04	2.854618e-03
83            	6.496600e-03	8.199176e-04	2.822891e-03
84            	6.261419e-03	8.123128e-04	2.795021e-03
85            	6.036323e-03	8.044997e-04	2.766292e-03
86            	5.828720e-03	7.961375e-04	2.733449e-03
87            	5.637990e-03	7.874960e-04	2.698627e-03
88            	5.471548e-03	7.786745e-04	2.659929e-03
89            	5.322857e-03	7.697770e-04	2.624197e-03
90            	5.189127e-03	7.605406e-04	2.591603e-03
91            	5.086658e-03	7.510205e-04	2.558734e-03
92            	4.973290e-03	7.414331e-04	2.525640e-03
93            	4.863023e-03	7.318409e-04	2.490752e-03
94            	4.755056e-03	7.213962e-04	2.450390e-03
95            	4.642934e-03	7.110477e-04	2.411152e-03
96            	4.531468e-03	7.017445e-04	2.381569e-03
97            	4.443970e-03	6.917111e-04	2.345335e-03
98            	4.365136e-03	6.820852e-04	2.312692e-03
99            	4.267891e-03	6.724403e-04	2.277148e-03
100           	4.154204e-03	6.633568e-04	2.245250e-03
101           	4.044663e-03	6.541382e-04	2.213579e-03
102           	3.937157e-03	6.446693e-04	2.183339e-03
103           	3.830592e-03	6.356548e-04	2.152920e-03
104           	3.717772e-03	6.271714e-04	2.128498e-03
105           	3.607552e-03	6.186208e-04	2.101674e-03
106           	3.504821e-03	6.105268e-04	2.080699e-03
107           	3.411808e-03	6.029309e-04	2.060151e-03
108           	3.315410e-03	5.962491e-04	2.042153e-03
109           	3.217846e-03	5.903361e-04	2.027996e-03
110           	3.128027e-03	5.850535e-04	2.014290e-03
111           	3.048697e-03	5.803721e-04	2.003438e-03
112           	2.974559e-03	5.757699e-04	1.996841e-03
113           	2.910616e-03	5.715868e-04	1.991234e-03
114           	2.855044e-03	5.677795e-04	1.987233e-03
115           	2.806980e-03	5.639105e-04	1.984960e-03
116           	2.758152e-03	5.600597e-04	1.982335e-03
117           	2.697423e-03	5.564998e-04	1.980390e-03
118           	2.640932e-03	5.533244e-04	1.981735e-03
119           	2.592109e-03	5.504159e-04	1.984583e-03
120           	2.546731e-03	5.474499e-04	1.988261e-03
121           	2.518481e-03	5.449443e-04	1.990816e-03
122           	2.488404e-03	5.424034e-04	1.992967e-03
123           	2.457667e-03	5.402361e-04	1.997124e-03
124           	2.421057e-03	5.384353e-04	2.002896e-03
125           	2.380883e-03	5.365141e-04	2.012905e-03
126           	2.340259e-03	5.347172e-04	2.024031e-03
127           	2.300523e-03	5.333226e-04	2.032975e-03
128           	2.263438e-03	5.320194e-04	2.040616e-03
129           	2.234647e-03	5.310988e-04	2.048009e-03
130           	2.212670e-03	5.306012e-04	2.059259e-03
131           	2.203328e-03	5.303170e-04	2.070097e-03
132           	2.192594e-03	5.298323e-04	2.078396e-03
133           	2.179023e-03	5.296459e-04	2.091178e-03
134           	2.158854e-03	5.296894e-04	2.105626e-03
135           	2.138565e-03	5.295722e-04	2.118805e-03
136           	2.113507e-03	5.297913e-04	2.131550e-03
137           	2.102321e-03	5.298107e-04	2.146119e-03
138           	2.100682e-03	5.299931e-04	2.164496e-03
139           	2.098770e-03	5.301275e-04	2.182225e-03
140           	2.091009e-03	5.303029e-04	2.202448e-03
141           	2.079708e-03	5.304502e-04	2.224052e-03
142           	2.071883e-03	5.305086e-04	2.243623e-03
143           	2.065383e-03	5.307332e-04	2.258756e-03
144           	2.066584e-03	5.309500e-04	2.278826e-03
145           	2.073339e-03	5.310906e-04	2.304560e-03
146           	2.072101e-03	5.309861e-04	2.331616e-03
147           	2.062847e-03	5.310131e-04	2.358478e-03
148           	2.062840e-03	5.311346e-04	2.389274e-03
149           	2.089140e-03	5.312622e-04	2.418212e-03
150           	2.118183e-03	5.313720e-04	2.449287e-03
151           	2.130931e-03	5.313017e-04	2.486087e-03
152           	2.144973e-03	5.314127e-04	2.521818e-03
153           	2.169767e-03	5.315756e-04	2.558765e-03
154           	2.194643e-03	5.316145e-04	2.600593e-03
155           	2.215216e-03	5.317963e-04	2.644337e-03
156           	2.232418e-03	5.321121e-04	2.689403e-03
157           	2.266827e-03	5.326223e-04	2.735598e-03
158           	2.296285e-03	5.331395e-04	2.787145e-03
159           	2.317421e-03	5.337005e-04	2.840180e-03
160           	2.352676e-03	5.346043e-04	2.892218e-03
161           	2.373563e-03	5.359281e-04	2.950388e-03
162           	2.400411e-03	5.372115e-04	3.009232e-03
163           	2.431034e-03	5.386672e-04	3.067207e-03
164           	2.459364e-03	5.402713e-04	3.132000e-03
165           	2.500556e-03	5.423401e-04	3.201349e-03
166           	2.508986e-03	5.447126e-04	3.268595e-03
167           	2.547934e-03	5.471749e-04	3.340945e-03
168           	2.581984e-03	5.497699e-04	3.415108e-03
169           	2.600436e-03	5.526223e-04	3.487320e-03
170           	2.643555e-03	5.559165e-04	3.567989e-03
171           	2.660305e-03	5.594453e-04	3.650316e-03
172           	2.700401e-03	5.628698e-04	3.728965e-03
173           	2.727486e-03	5.667682e-04	3.811021e-03
174           	2.771176e-03	5.710992e-04	3.899231e-03
175           	2.802814e-03	5.758094e-04	3.985202e-03
176           	2.836796e-03	5.806772e-04	4.070470e-03
