# y+ ()       
# Time        	patch         	min           	max           	average       
200           	airfoil-l1	2.469421e+00	3.009688e+01	1.889690e+01
200           	wall-l1	1.411404e+02	1.461621e+02	1.432120e+02
200           	airfoil-l2	3.038614e+01	3.307047e+01	3.223237e+01
200           	wall-l2	1.271166e+02	1.532122e+02	1.452548e+02
200           	wall-h2	1.495901e+02	1.875962e+02	1.686618e+02
200           	airfoil-h2	1.627324e+00	4.937047e+01	1.491608e+01
200           	wall-h1	1.485631e+02	1.493997e+02	1.488091e+02
200           	airfoil-h1	3.712711e+00	4.939020e+01	2.459006e+01
400           	airfoil-l1	1.149887e+00	3.168122e+01	2.046371e+01
400           	wall-l1	7.541144e+01	9.423752e+01	8.078216e+01
400           	airfoil-l2	3.195185e+01	3.553644e+01	3.410032e+01
400           	wall-l2	6.301969e+01	1.017567e+02	8.417001e+01
400           	wall-h2	2.044901e+02	2.715323e+02	2.307232e+02
400           	airfoil-h2	2.646107e+00	3.616583e+01	2.555344e+01
400           	wall-h1	1.550356e+02	2.041134e+02	1.825024e+02
400           	airfoil-h1	2.920210e+01	3.661268e+01	3.314321e+01
600           	airfoil-l1	1.597772e+00	3.756373e+01	1.860163e+01
600           	wall-l1	1.186003e+02	1.294978e+02	1.238491e+02
600           	airfoil-l2	2.865615e+01	3.239913e+01	3.141603e+01
600           	wall-l2	1.153137e+02	1.387573e+02	1.285585e+02
600           	wall-h2	1.502839e+02	1.791926e+02	1.675615e+02
600           	airfoil-h2	2.589335e+00	3.755005e+01	1.858377e+01
600           	wall-h1	1.398650e+02	1.498863e+02	1.429752e+02
600           	airfoil-h1	3.136164e+01	3.887762e+01	3.533689e+01
800           	airfoil-l1	2.232718e+00	3.836767e+01	1.826149e+01
800           	wall-l1	1.546358e+02	1.608573e+02	1.573441e+02
800           	airfoil-l2	2.788844e+01	3.109446e+01	3.057156e+01
800           	wall-l2	1.434095e+02	1.726441e+02	1.621234e+02
800           	wall-h2	1.582500e+02	1.966768e+02	1.773271e+02
800           	airfoil-h2	2.104244e+01	3.868429e+01	3.033488e+01
800           	wall-h1	1.581359e+02	1.643937e+02	1.614281e+02
800           	airfoil-h1	3.127398e+01	3.955383e+01	3.538478e+01
1000          	airfoil-l1	6.768877e-01	3.952535e+01	1.811595e+01
1000          	wall-l1	1.526399e+02	1.578086e+02	1.546044e+02
1000          	airfoil-l2	2.728374e+01	3.071787e+01	3.016009e+01
1000          	wall-l2	1.387883e+02	1.672409e+02	1.580667e+02
1000          	wall-h2	1.722282e+02	2.093145e+02	1.905518e+02
1000          	airfoil-h2	1.995603e+01	4.022502e+01	3.114794e+01
1000          	wall-h1	1.706615e+02	1.720512e+02	1.713174e+02
1000          	airfoil-h1	3.214122e+01	4.080077e+01	3.653557e+01
1200          	airfoil-l1	2.547432e+00	3.984544e+01	1.809206e+01
1200          	wall-l1	1.539942e+02	1.591272e+02	1.559050e+02
1200          	airfoil-l2	2.709558e+01	3.060220e+01	3.002833e+01
1200          	wall-l2	1.400841e+02	1.687380e+02	1.595008e+02
1200          	wall-h2	1.754228e+02	2.124384e+02	1.936923e+02
1200          	airfoil-h2	2.077111e+01	4.045532e+01	3.148217e+01
1200          	wall-h1	1.733110e+02	1.752440e+02	1.742678e+02
1200          	airfoil-h1	3.232855e+01	4.103197e+01	3.675069e+01
1400          	airfoil-l1	2.173516e+00	3.991198e+01	1.807946e+01
1400          	wall-l1	1.544230e+02	1.595324e+02	1.563202e+02
1400          	airfoil-l2	2.705005e+01	3.057251e+01	2.999389e+01
1400          	wall-l2	1.404690e+02	1.691813e+02	1.599238e+02
1400          	wall-h2	1.760414e+02	2.131752e+02	1.943698e+02
1400          	airfoil-h2	2.125334e+01	4.052302e+01	3.166916e+01
1400          	wall-h1	1.738985e+02	1.758621e+02	1.748736e+02
1400          	airfoil-h1	3.236563e+01	4.109571e+01	3.679806e+01
1600          	airfoil-l1	2.061819e+00	3.993612e+01	1.807619e+01
1600          	wall-l1	1.545345e+02	1.596383e+02	1.564318e+02
1600          	airfoil-l2	2.703801e+01	3.056508e+01	2.998549e+01
1600          	wall-l2	1.405778e+02	1.693014e+02	1.600424e+02
1600          	wall-h2	1.761908e+02	2.133794e+02	1.945393e+02
1600          	airfoil-h2	2.132535e+01	4.055311e+01	3.171484e+01
1600          	wall-h1	1.740166e+02	1.760100e+02	1.750034e+02
1600          	airfoil-h1	3.238330e+01	4.112476e+01	3.682127e+01
1800          	airfoil-l1	2.009628e+00	3.994514e+01	1.807473e+01
1800          	wall-l1	1.546052e+02	1.596818e+02	1.564826e+02
1800          	airfoil-l2	2.703179e+01	3.056153e+01	2.998122e+01
1800          	wall-l2	1.406263e+02	1.693667e+02	1.600967e+02
1800          	wall-h2	1.762686e+02	2.134792e+02	1.946289e+02
1800          	airfoil-h2	2.138863e+01	4.056506e+01	3.174254e+01
1800          	wall-h1	1.740914e+02	1.760881e+02	1.750779e+02
1800          	airfoil-h1	3.238890e+01	4.113599e+01	3.682902e+01
2000          	airfoil-l1	1.986518e+00	3.994924e+01	1.807413e+01
2000          	wall-l1	1.546222e+02	1.596990e+02	1.565025e+02
2000          	airfoil-l2	2.702954e+01	3.055995e+01	2.997942e+01
2000          	wall-l2	1.406432e+02	1.693711e+02	1.601146e+02
2000          	wall-h2	1.763073e+02	2.135021e+02	1.946675e+02
2000          	airfoil-h2	2.140729e+01	4.057002e+01	3.175193e+01
2000          	wall-h1	1.741183e+02	1.761257e+02	1.751106e+02
2000          	airfoil-h1	3.239162e+01	4.114100e+01	3.683241e+01
